rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
7.220248177786085,10,1,123.4,0.971077,1244,,
6.643595324553091,20,2,112.65,0.9471527500000002,2273,,
8.179955061768744,30,4,132.46666666666667,0.9069069999999998,4004,,
7.640604228520681,40,5,127.2,0.8807740000000001,5128,,
7.7505965307798625,50,8,132.0,0.8453875,6650,,
7.3484638260254815,60,9,128.36666666666667,0.8195334999999999,7762,,
7.233861608363492,70,11,126.48571428571428,0.7925170000000001,8924,,
6.779338419459014,80,12,120.15,0.7746610000000003,9692,,
6.9204901181136504,90,18,121.84444444444445,0.742948,11056,520,0.03812443395509035
6.8539897471368,100,24,121.02,0.7163035,12202,1096,0.05713825949715101
6.759167586832717,110,31,123.95,0.6805682500000003,13739,1864,0.0481046514105401
6.4487676773385525,120,35,120.11,0.6655720000000002,14384,2184,0.0955544552707579
5.710973169149048,130,39,110.88,0.6467859999999999,15192,2592,0.08792443749553058
5.479100287999653,140,43,108.56,0.6260469999999998,16084,3040,0.06948959999135695
4.858157099091921,150,46,97.83,0.6156077500000001,16533,3264,0.09913950687041506
4.595546655045152,160,49,92.93,0.6011462499999998,17155,3576,0.08098267385503277
4.195137379885784,170,51,86.74,0.5885215000000003,17698,3848,0.11051726707955822
4.184411787542563,180,55,86.77,0.57059575,18469,4232,0.08286276686703786
3.6438512763850692,190,58,78.45,0.55822675,19001,4496,0.10370885522570461
3.458893920315692,200,63,76.74,0.5355580000000002,19976,4984,0.13500393531285226
3.200705512129302,210,67,69.19,0.5173764999999999,20758,5376,0.10771426756400615
3.1877893726917903,220,71,69.01,0.5027987499999998,21385,5688,0.09823219361715019
3.0624471496598114,230,73,66.34,0.49022050000000006,21926,5960,0.09871811338234693
3.0157720077203503,240,77,64.02,0.47487550000000023,22586,6288,0.06823308987077326
3.1675084427325078,250,81,67.15,0.4571590000000003,23348,6672,0.15307171922177076
3.1572990941056718,260,84,66.34,0.44458074999999997,23889,6944,0.08268263004720211
3.219236301397386,270,87,67.1,0.43018900000000015,24508,7248,0.14630869729444385
3.1590357369669015,280,90,65.34,0.41635524999999995,25103,7544,0.09649625816382468
