rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/loss
0.965125,299.0,-2.9899999999999802,3000,10,25,,
0.9302499999999999,299.0,-2.9899999999999802,6000,20,49,,
0.8953749999999999,299.0,-2.9899999999999802,9000,30,73,,
0.8604999999999999,299.0,-2.9899999999999802,12000,40,102,992,3.238399202132314e-06
0.8256250000000002,299.0,-2.9899999999999802,15000,50,132,2496,8.781809555102882e-07
0.7907500000000001,299.0,-2.9899999999999802,18000,60,162,3992,4.793784569301351e-07
0.7558750000000001,299.0,-2.9899999999999802,21000,70,193,5496,3.9222888048584537e-07
0.7210000000000001,299.0,-2.9899999999999802,24000,80,223,6992,4.4678622757032826e-07
0.6861250000000001,299.0,-2.9899999999999793,27000,90,256,8496,5.52532220865487e-07
0.6535285,297.04,-2.9703999999999793,29804,100,287,9896,1.598709832961731e-06
0.6226176250000001,293.63,-2.9362999999999797,32463,110,314,11224,6.561585792042024e-06
0.59417125,288.1,-2.8809999999999816,34910,120,337,12448,4.4214160880073905e-05
0.5747807500000001,274.78,-2.7477999999999825,36578,130,354,13288,5.174231796445383e-05
0.556052875,260.89,-2.608899999999985,38189,140,369,14088,0.008665101820952259
0.5360230000000001,248.12,-2.4811999999999865,39912,150,386,14952,0.0006236992703634314
0.5207593750000001,231.25,-2.3124999999999876,41225,160,399,15608,0.00858226490981906
0.502554625,216.91,-2.16909999999999,42791,170,414,16392,0.007494951449189102
0.48738400000000004,199.96,-1.999599999999992,44096,180,427,17040,0.013652082030603196
0.4629366249999999,190.99,-1.909899999999993,46199,190,449,18096,0.019237112574046478
0.44718475,176.5,-1.7649999999999946,47554,200,463,18776,0.013501238659955561
0.433711375,161.5,-1.6149999999999958,48713,210,474,19352,0.014164261287078261
0.42408587499999995,145.31,-1.453099999999997,49541,220,483,19768,0.020833268179558218
0.41416975,137.16,-1.3715999999999977,50394,230,492,20192,0.02595890057273209
0.40624150000000026,127.87,-1.2786999999999977,51076,240,498,20536,0.019396503223106265
0.398011,117.72,-1.1771999999999982,51784,250,506,20888,0.02697442180942744
0.38901324999999987,112.33,-1.1232999999999984,52558,260,514,21272,0.02514308108948171
0.3781438749999999,106.02,-1.0601999999999987,53493,270,524,21744,0.0320941552054137
0.3706457500000001,99.42,-0.9941999999999989,54138,280,530,22064,0.038222564151510596
0.35985775,87.67,-0.8767,55066,290,540,22528,0.032483388436958194
0.3535918750000001,79.51,-0.7951000000000006,55605,300,546,22800,0.04708639346063137
0.342676,77.31,-0.7731000000000001,56544,310,555,23264,0.04790239408612251
0.3320972500000001,78.13,-0.7813000000000001,57454,320,565,23720,0.05124264536425471
0.3262266250000001,74.65,-0.7465000000000002,57959,330,570,23976,0.05344369588419795
0.3189726249999999,74.07,-0.7406999999999999,58583,340,577,24288,0.06639801524579525
0.3095331250000001,75.11,-0.7510999999999997,59395,350,585,24696,0.0589325784239918
0.30132587499999997,74.43,-0.7442999999999997,60101,360,593,25048,0.05971815134398639
0.2935255,71.79,-0.7178999999999998,60772,370,600,25384,0.06005710968747735
0.28616687500000015,71.67,-0.7166999999999996,61405,380,606,25696,0.05901435459963977
0.2791221250000002,68.45,-0.6844999999999996,62011,390,613,26000,0.05168786412104964
0.2714612500000001,69.65,-0.6964999999999998,62670,400,620,26328,0.06114841252565384
0.26253324999999994,67.94,-0.6793999999999998,63438,410,628,26712,0.06139250285923481
0.25279150000000017,67.22,-0.6722000000000002,64276,420,637,27136,0.05920725455507636
0.24439825000000015,69.39,-0.6939000000000003,64998,430,644,27496,0.06875506229698658
0.23206412500000007,73.76,-0.7376,66059,440,655,28024,0.07376496773213148
0.221032,75.13,-0.7513000000000002,67008,450,665,28496,0.06608796748332679
0.21176687500000002,76.04,-0.7604000000000002,67805,460,674,28896,0.05552704958245158
0.20424550000000008,75.8,-0.7580000000000001,68452,470,681,29224,0.08029584214091301
0.197305375,75.44,-0.7544000000000001,69049,480,687,29520,0.06607527285814285
0.1904815000000003,75.25,-0.7525000000000002,69636,490,694,29816,0.07246802491135895
0.18397149999999995,74.26,-0.7426000000000001,70196,500,700,30096,0.05750321876257658
0.17500862500000003,74.29,-0.7429000000000001,70967,510,708,30480,0.07286674110218883
0.1675105,72.36,-0.7236000000000001,71612,520,715,30800,0.06496860133484006
0.16098887500000014,70.75,-0.7075000000000005,72173,530,721,31080,0.06352907977998257
0.1537116249999999,66.4,-0.6640000000000005,72799,540,728,31392,0.07415323937311769
0.13828525000000003,70.18,-0.7018000000000002,74126,550,742,32056,0.07450421480461955
0.12213812500000021,76.1,-0.7609999999999997,75515,560,757,32752,0.08489675167948008
0.1017595,87.16,-0.8715999999999988,77268,570,776,33632,0.06597948307171464
0.07,109.61,-1.0960999999999972,80110,580,807,35048,0.05224924208596349
0.07,133.74,-1.3373999999999953,83110,590,838,36552,0.047330163419246674
0.07,158.14,-1.581399999999993,86110,600,870,38048,0.03267519106157124
0.07,180.43,-1.804299999999991,89110,610,902,39552,0.029914615675807
0.07,203.98,-2.0397999999999894,92110,620,935,41048,0.024649022263474762
0.07,228.37,-2.283699999999987,95110,630,967,42552,0.02221874112728983
0.07,252.11,-2.5210999999999855,98110,640,998,44048,0.023273251950740814
0.07,268.84,-2.688399999999982,101110,650,1029,45552,0.023873041849583387
0.07,284.95,-2.8494999999999804,104110,660,1059,47048,0.027905689901672304
0.07,297.42,-2.9741999999999793,107110,670,1091,48552,0.02173554094042629
0.07,299.0,-2.989999999999979,110110,680,1123,50048,0.010952082113362849
