time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
47438,0.07,18.13,214,0.6365033561413957,1320,18712,0.25788927637040615
47642,0.07,18.15,215,0.6248135300578574,1330,18816,0.29040640965104103
47801,0.07,18.11,216,0.6128344982834758,1340,18896,0.27723595686256886
47977,0.07,17.68,217,0.6042328055960214,1350,18984,0.24304255843162537
48134,0.07,17.28,218,0.5884868602889116,1360,19064,0.23578032106161118
48327,0.07,17.38,219,0.59800260461104,1370,19160,0.26056260988116264
48528,0.07,17.79,220,0.6183515240680004,1380,19256,0.26040939427912235
48716,0.07,17.81,221,0.6292650992978037,1390,19352,0.25499512255191803
48875,0.07,17.62,222,0.6241772021260541,1400,19432,0.20511763356626034
49048,0.07,17.1,223,0.5887429450141063,1410,19520,0.2338634468615055
49228,0.07,16.9,224,0.5751182215633978,1420,19608,0.2645014878362417
49436,0.07,16.94,225,0.5805101125029455,1430,19712,0.2368878461420536
49610,0.07,17.09,226,0.5867812070320116,1440,19800,0.26543338503688574
49796,0.07,17.19,227,0.5837723842090985,1450,19896,0.268425514921546
49950,0.07,17.16,228,0.5727732348977606,1460,19968,0.22225778549909592
50148,0.07,17.21,229,0.5742719332569927,1470,20072,0.3180761355906725
50351,0.07,17.23,230,0.5771043215896369,1480,20168,0.2549932897090912
50526,0.07,17.1,231,0.5644445932128567,1490,20256,0.2975682523101568
50674,0.07,16.99,232,0.5638773258772599,1500,20336,0.21876092813909054
50853,0.07,17.05,233,0.5558433873968052,1510,20424,0.24429336935281754
51043,0.07,17.15,234,0.562844478938596,1520,20520,0.2712225876748562
51269,0.07,17.33,235,0.5621882707860637,1530,20632,0.23603923246264458
51460,0.07,17.5,236,0.5688065849777886,1540,20728,0.24742434173822403
51669,0.07,17.73,237,0.5901421816646764,1550,20832,0.24865202885121107
51833,0.07,17.83,238,0.5938974017842572,1560,20912,0.24239076673984528
52003,0.07,17.55,239,0.5768879249364802,1570,21000,0.24700282514095306
52166,0.07,17.15,240,0.5484927475368384,1580,21080,0.24405401572585106
52330,0.07,17.04,241,0.5615295738794073,1590,21160,0.26830420829355717
52519,0.07,17.45,242,0.5838750443956389,1600,21256,0.24870617128908634
52705,0.07,17.52,243,0.606182906817787,1610,21352,0.24981333129107952
52881,0.07,17.38,244,0.6039119854980983,1620,21440,0.2346383687108755
53101,0.07,17.32,245,0.6056051368886979,1630,21544,0.24334528297185898
53236,0.07,16.76,246,0.5771583877795979,1640,21616,0.2906791903078556
53437,0.07,16.68,247,0.5731322026031381,1650,21712,0.31006957963109016
53667,0.07,17.34,249,0.6217635716246787,1660,21832,0.24912346713244915
53936,0.07,18.33,250,0.6446946133407633,1670,21960,0.24302709102630615
54116,0.07,18.5,251,0.646674237516249,1680,22056,0.2389309387654066
54330,0.07,19.0,252,0.6491056143237175,1690,22160,0.25676947273314
