time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
3000,-17.81206469323485,10,0.965125,299.0,21,,
6000,-18.092492905899583,20,0.9302499999999999,299.0,42,,
8955,-16.595755773078327,30,0.895898125,297.5,63,,
11510,-14.62533719424473,40,0.86619625,286.75,81,,
14510,-14.821833718838537,50,0.83132125,289.2,102,,
17510,-15.373397442917618,60,0.79644625,290.8333333333333,123,,
20510,-15.198543959721036,70,0.7615712499999999,292.0,147,0.00020161231441306882,248
23396,-14.562100772162477,80,0.7280215000000001,291.45,174,0.0001471688156016171,1696
25980,-13.890150826759067,90,0.6979825,287.6666666666667,201,0.009565554088112549,2984
28980,-13.697210328873744,100,0.6631075,288.8,230,0.027374922348826658,4488
31406,-12.795028934093148,110,0.6349052500000001,283.06,255,0.009658246399339987,5696
34034,-11.845578864159252,120,0.6043547500000002,279.34,282,0.0008238795635406859,7016
36734,-11.366593350874137,130,0.57296725,276.79,310,0.010628926596837118,8360
38687,-11.233432330663462,140,0.5502636249999999,270.77,331,0.0019390364323044196,9336
40090,-10.018205454345152,150,0.53395375,254.8,346,0.011079176241764799,10040
42413,-8.990448352318264,160,0.5069488750000002,248.03,367,0.01266201758699026,11200
44303,-8.118124557876012,170,0.4849776250000001,236.93,384,0.01370258184033446,12144
45646,-7.603477555109618,180,0.4693652500000003,221.5,397,0.017181902716401964,12816
46698,-7.098925547955268,190,0.45713575000000006,206.18,407,0.0283112449105829,13344
48090,-6.43004379270719,200,0.4409537499999999,190.1,420,0.049946516985073686,14040
48882,-5.796399417757766,210,0.43174674999999996,173.76,427,0.021061451523564756,14440
49873,-5.298708671682608,220,0.42022637499999993,157.39,437,0.030023904284462333,14936
51229,-4.9575800101958425,230,0.404462875,143.95,449,0.029272152693010867,15608
51996,-4.498418631931667,240,0.39554650000000013,132.09,457,0.038316171849146485,15992
52867,-4.436729080598876,250,0.38542112500000003,126.77,465,0.04928934294730425,16432
53639,-3.89264575698329,260,0.37644662500000015,111.26,472,0.03970007202588022,16816
54452,-3.6572849522764903,270,0.36699550000000025,100.49,480,0.03815080551430583,17224
55107,-3.3819637664130813,280,0.3593811250000002,93.61,486,0.05164471990428865,17552
55734,-3.2509476997120417,290,0.3520922500000001,89.36,492,0.06293594278395176,17864
56653,-3.0810902477315922,300,0.34140887500000006,84.63,501,0.059199532493948936,18320
57323,-3.0569685195088807,310,0.33362012499999993,83.41,508,0.044028630247339606,18656
57969,-2.881655328024554,320,0.32611037500000006,79.96,514,0.060808503068983555,18984
58655,-2.589277135263593,330,0.31813562500000014,73.26,520,0.06388778472319245,19320
59516,-2.6096470849267193,340,0.3081265000000002,74.2,528,0.07433757418766618,19752
60379,-2.6160158141989736,350,0.2980941250000001,74.12,537,0.08759001083672047,20184
61025,-2.5981559588726104,360,0.29058437500000023,72.86,543,0.06540043000131845,20512
61709,-2.525437609631413,370,0.282632875,71.57,550,0.0687378360889852,20848
62281,-2.487795966742775,380,0.27598337500000025,70.74,555,0.07010515686124563,21136
62884,-2.469704216277389,390,0.2689735000000003,70.5,562,0.06327403523027897,21440
63468,-2.3071395443313154,400,0.26218450000000015,67.15,568,0.06017800886183977,21728
64054,-2.2742820579367096,410,0.25537224999999997,66.31,574,0.06462096888571978,22024
64558,-2.20816398798958,420,0.24951325000000013,64.89,579,0.07775185210630298,22272
65269,-2.199984588642122,430,0.2412478750000001,65.14,586,0.06846199091523886,22632
65776,-2.0613906652982714,440,0.23535399999999995,61.6,591,0.08209429681301117,22880
66379,-1.9810253598738257,450,0.228344125,59.0,597,0.07512768916785717,23184
66934,-1.9334575136555814,460,0.22189225,58.09,602,0.06604199577122927,23464
67473,-1.8691143192535669,470,0.21562637500000004,56.64,608,0.06205440033227205,23736
68041,-1.860618408375985,480,0.20902337500000023,56.6,613,0.06040492374449968,24016
68560,-1.834178864613815,490,0.20299000000000011,55.76,618,0.05459763528779149,24272
69036,-1.785071688817317,500,0.19745650000000003,54.68,624,0.06911699799820781,24512
69559,-1.7593442274365787,510,0.19137662499999997,54.05,629,0.07645020028576255,24776
70100,-1.7889313962668538,520,0.18508750000000007,54.42,635,0.062106383964419365,25048
70503,-1.6608938904830697,530,0.18040262500000004,51.34,639,0.0631915396079421,25248
70971,-1.657132253915705,540,0.1749621250000002,50.95,644,0.05308974301442504,25480
71402,-1.5682031887569383,550,0.16995174999999996,49.23,648,0.06200013309717178,25696
71900,-1.5501810300236931,560,0.1641625000000002,48.66,653,0.053179601207375526,25944
72380,-1.524656418309934,570,0.15858250000000018,48.07,658,0.05248638708144426,26184
72871,-1.497989577794421,580,0.15287462500000015,47.3,663,0.0548958913423121,26432
73403,-1.502636938976822,590,0.14669012500000023,47.43,668,0.05332541652023792,26696
73906,-1.5163870048282015,600,0.14084275000000002,47.7,673,0.047132138162851334,26952
74329,-1.4848063669939882,610,0.13592537500000013,46.7,678,0.04506080225110054,27160
75234,-1.562140146697597,620,0.12540475000000006,50.34,687,0.04347636317834258,27616
75798,-1.6062783557957447,630,0.11884825000000032,51.95,693,0.04088311130180955,27896
76336,-1.6094861032452852,640,0.11259399999999997,52.65,698,0.0506484629586339,28160
77090,-1.6598810231747796,650,0.10382875000000003,55.88,706,0.043999881483614445,28544
77589,-1.643811245941736,660,0.09802787500000021,55.89,711,0.05145093519240618,28792
78883,-1.8381683658804469,670,0.08298512500000021,64.03,724,0.041126477997750044,29440
80191,-1.9938232722418274,680,0.07,72.2,737,0.03926269384101033,30088
82021,-2.400299206683403,690,0.07,85.18,755,0.03615675517357886,31008
83538,-2.5888915048176684,700,0.07,95.32,770,0.03314468264579773,31768
85193,-2.880060185453159,710,0.07,107.64,787,0.02936137723736465,32592
87495,-3.229370618273555,720,0.07,121.61,809,0.026030551176518202,33744
89405,-3.495218477611835,730,0.07,135.07,828,0.02674250560812652,34696
91170,-3.7396082777116777,740,0.07,147.34,846,0.026872001588344574,35584
93168,-4.0937231496480955,750,0.07,159.78,866,0.02407732419669628,36576
95393,-4.373713746429866,760,0.07,177.04,888,0.021306180860847235,37696
96903,-4.474640260527483,770,0.07,179.2,902,0.022394872037693858,38448
99076,-4.617287512582771,780,0.07,187.85,924,0.021676125936210155,39536
101399,-4.662669205453468,790,0.07,192.78,948,0.01735885813832283,40696
103767,-4.987807333222593,800,0.07,201.29,971,0.01953374850563705,41880
106091,-5.233449583417463,810,0.07,207.98,995,0.01461914461106062,43040
108560,-5.167200714935388,820,0.07,209.65,1020,0.016502101439982653,44272
110981,-5.432707451773547,830,0.07,214.76,1045,0.014694834710098803,45488
113366,-5.635363083100907,840,0.07,220.96,1069,0.015164294745773077,46680
115999,-5.9480913996451115,850,0.07,227.31,1095,0.012496049981564283,47992
118459,-6.1036489856535265,860,0.07,229.66,1118,0.010766764869913459,49224
120779,-6.28966253202854,870,0.07,237.76,1140,0.011461860733106732,50384
122755,-6.253652528405321,880,0.07,235.79,1159,0.011117290356196463,51376
124828,-6.100532408331169,890,0.07,233.29,1179,0.009446373267564923,52408
127580,-6.136254559352438,900,0.07,237.13,1207,0.009217359125614166,53784
129872,-5.89052250451715,910,0.07,236.81,1228,0.010764725098852068,54928
131362,-5.731921413385735,920,0.07,227.02,1243,0.00951056188205257,55680
133395,-5.519895721928024,930,0.07,223.14,1262,0.007922477088868618,56696
135998,-5.391274585272851,940,0.07,225.32,1287,0.008786668884567916,57992
138143,-4.9660122860418205,950,0.07,220.44,1308,0.006350314826704562,59064
140417,-4.892707593963908,960,0.07,218.58,1330,0.005568511376623064,60208
142540,-5.0735639078600885,970,0.07,216.61,1351,0.005260523757897317,61264
144932,-5.127480763623039,980,0.07,220.77,1374,0.006009748962242156,62464
146638,-5.0694201266082795,990,0.07,217.1,1391,0.006259591958951205,63312
148535,-4.793735081220884,1000,0.07,208.55,1409,0.004938025143928826,64264
150628,-4.751012479356647,1010,0.07,206.56,1429,0.0039471162017434835,65312
152918,-4.8809024339523965,1020,0.07,214.56,1451,0.0038223077717702836,66456
154902,-4.779751533773659,1030,0.07,214.07,1471,0.003963100345572457,67448
157019,-4.680963425199059,1040,0.07,209.21,1491,0.0033070665667764843,68504
