rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/loss,train/n_updates
0.965125,-1.3227067724451502,10,21,299.0,3000,,
0.9302499999999999,0.14768588937346314,20,41,299.0,6000,,
0.895828375,1.8330507491785728,30,61,297.7,8961,,
0.860953375,0.6816431170469246,40,85,298.025,11961,0.011450886795500992,976
0.826310875,13.584748482596806,50,110,297.82,14941,0.048560965806245804,2464
0.7922031250000001,31.854029907036075,60,136,296.9166666666667,17875,0.18364331033080816,3936
0.760164625,42.43534983388269,70,160,293.72857142857146,20631,0.3723877929151058,5312
0.7321135000000001,53.502721672269914,80,180,287.05,23044,0.4813014082610607,6520
0.7071081250000002,58.96926333363983,90,199,278.94444444444446,25195,0.5094836875796318,7592
0.6791267500000001,64.09576389026869,100,220,275.02,27602,0.8819237872958183,8800
0.660631375,71.90115330552707,110,234,260.93,29193,0.6954059787094593,9592
0.6373697500000002,82.8655918551669,120,252,250.94,31194,1.1330826357007027,10592
0.616340125,92.57299621955383,130,268,239.42,33003,1.1215219795703888,11496
0.5952872500000002,102.35409190289232,140,284,227.53,34814,1.1590551920235157,12400
0.5783031249999999,103.58194081368666,150,297,212.34,36275,1.51828832924366,13136
0.5510773750000002,105.58563435816637,160,318,206.42,38617,1.5598869621753693,14304
0.5297803750000001,106.20426075204891,170,334,197.18,40449,1.6474521607160568,15224
0.50617,103.82516173570322,180,352,193.36,42480,1.488413855433464,16232
0.48537287500000004,103.80316089172362,190,368,189.74,44269,1.4306940883398056,17128
0.4697372500000001,101.18248107569622,200,380,179.12,45614,1.9878628551959991,17800
0.45313675,101.8062185201691,210,393,177.49,47042,2.0238896757364273,18520
0.432688375,100.73013507156443,220,408,175.07,48801,1.775586411356926,19400
0.4172968750000001,97.22819900824815,230,420,170.22,50125,1.9895640462636948,20056
0.400766125,96.08763051910087,240,433,166.33,51547,1.8961505442857742,20768
0.3872230000000001,94.50627233460807,250,444,163.37,52712,2.239793449640274,21352
0.3709596250000001,87.83483087204053,260,457,153.94,54111,2.2113810777664185,22048
0.3573118750000003,83.09995298285462,270,467,147.36,55285,1.8656854778528214,22640
0.34393150000000006,78.29168330306494,280,478,138.56,56436,2.1173673421144485,23216
0.3284702500000003,75.94239200064789,290,490,133.97,57766,1.9151326566934586,23880
0.3184727500000001,72.28377635957744,300,498,129.12,58626,1.8253115564584732,24312
0.30233725,72.01294007800335,310,511,128.72,60014,2.1000055372714996,25000
0.2814936250000002,73.72347793648748,320,527,129.06,61807,2.1840660870075226,25896
0.26470712500000015,76.35991168761134,330,541,130.26,63251,1.7945964336395264,26624
0.25494212500000024,73.11904031396968,340,548,124.44,64091,2.2829387187957764,27040
0.2356330000000002,77.36673211077435,350,564,129.4,65752,2.432417169213295,27872
0.22248512500000006,77.17932658250041,360,575,126.72,66883,2.118142679333687,28440
0.19734025000000033,87.55044343474124,370,595,136.61,69046,2.059121936559677,29520
0.1797516250000002,93.78377033062633,380,609,140.23,70559,1.9232187420129776,30272
0.156083125,101.90258902719131,390,628,147.29,72595,1.7141301929950714,31296
0.1457717500000001,103.23171445468839,400,636,147.56,73482,1.9398780763149261,31736
0.12860162500000005,106.2443240618685,410,650,148.45,74959,1.941934585571289,32472
0.10807187500000004,106.33723230868638,420,667,148.18,76725,2.0147209018468857,33360
0.0898787499999999,108.7322002126379,430,682,149.39,78290,1.942942127585411,34144
0.07,123.3186811733664,440,707,167.78,80969,1.9078416377305984,35480
0.07,134.98921235857676,450,733,179.28,83780,2.2676047682762146,36888
0.07,148.43418052687878,460,759,197.05,86688,1.4835226237773895,38336
0.07,152.90822915252053,470,784,202.41,89387,1.4844346642494202,39688
0.07,162.2859488990231,480,809,214.3,92089,2.2253440618515015,41040
0.07,163.65148171288496,490,829,216.22,94317,2.043137162923813,42152
0.07,179.7024699386664,500,854,234.33,97015,1.9511176496744156,43504
0.07,191.1496165894066,510,877,245.8,99639,1.902652159333229,44816
0.07,202.09642261237903,520,903,255.97,102422,2.0703288316726685,46208
0.07,213.50190575994296,530,929,269.06,105296,1.9963872134685516,47640
0.07,215.02022503233655,540,954,270.02,108071,1.939434140920639,49032
0.07,215.97590261798098,550,981,271.17,110997,1.9918955564498901,50496
0.07,212.95511347136488,560,1005,268.4,113628,2.611780896782875,51808
0.07,209.9360574026225,570,1031,269.26,116413,2.508913055062294,53200
0.07,211.42959536344236,580,1058,271.01,119290,1.5890507251024246,54640
0.07,216.76554577109783,590,1083,276.72,122089,1.7168809920549393,56040
0.07,219.3973997633155,600,1111,279.74,125089,1.7132242918014526,57544
0.07,220.3511445989559,610,1138,283.14,128053,1.8817932307720184,59024
0.07,214.42842348994756,620,1159,279.01,130423,2.5375152826309204,60208
0.07,213.3350333462399,630,1188,278.99,133295,2.074927121400833,61640
0.07,215.0746434619318,640,1215,280.3,136201,1.4094276130199432,63096
0.07,211.89663364257157,650,1243,281.04,139201,2.5256773829460144,64600
0.07,212.01883559676767,660,1272,284.73,142201,2.0861138105392456,66096
0.07,215.78148376240694,670,1299,285.8,145093,2.2339476346969604,67544
0.07,216.70624113280866,680,1326,287.03,148093,1.956841140985489,69040
0.07,217.2939078243658,690,1352,286.8,150869,2.1714885234832764,70432
0.07,215.29522282759592,700,1378,285.13,153702,2.146199882030487,71848
0.07,213.02655333237675,710,1404,283.4,156493,1.7272322997450829,73240
0.07,217.908862147268,720,1431,288.59,159382,2.2845729142427444,74688
0.07,215.56606767341887,730,1457,288.12,162207,2.217780791223049,76096
