rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
-10.378954004636906,0.16439500000000018,400,178.7,0.04592586803573795,1797,10,6
-10.041067873484234,0.07,1440,192.75,0.01830513276217971,3875,20,19
-8.138120844818737,0.07,1952,162.63333333333333,0.03654297128196049,4909,30,25
-6.417641214284387,0.07,2128,130.375,0.027208270394112333,5255,40,27
-5.378864912321952,0.07,2312,111.38,0.04553524530274444,5619,50,30
-4.653064524689373,0.07,2456,97.58333333333333,0.09093760580435628,5915,60,31
-4.171900679801424,0.07,2632,88.5,0.11825389766454464,6265,70,33
-3.7781477268349226,0.07,2792,81.275,0.0811627247458091,6582,80,35
-3.4771794458873084,0.07,2928,75.2,0.21486475132405758,6858,90,37
-3.304452282203595,0.07,3136,71.78,0.16081883068545721,7278,100,40
-2.4049030719934423,0.07,3288,56.87,0.08973567809152883,7584,110,42
-1.5421588023872197,0.07,3448,39.25,0.0791521690771333,7900,120,43
-1.2642319278198686,0.07,3616,32.19,0.12319398060208187,8228,130,46
-1.2388587583741693,0.07,3760,31.7,0.14707913817255758,8525,140,47
-1.2189503202998895,0.07,3904,30.82,0.16414531938789878,8801,150,49
-1.2627935048994139,0.07,4072,31.22,0.17192278226139024,9137,160,51
-1.235289252644864,0.07,4208,30.47,0.15409889238071628,9412,170,53
-1.2653143355593581,0.07,4384,30.89,0.17058028187602758,9771,180,56
