time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,train/loss
155971,1620,1205,62.1,-2.2884399433175533,0.07,72984,0.07822176050103735
156740,1630,1211,62.95,-2.2879084364068505,0.07,73368,0.09496788127580658
157346,1640,1216,63.16,-2.331956552490347,0.07,73672,0.1253870130458381
158062,1650,1222,63.82,-2.3476539773192346,0.07,74024,0.16362370690330863
158876,1660,1229,68.65,-2.51770841483259,0.07,74432,0.11564948022714816
159571,1670,1235,70.85,-2.552403408057205,0.07,74784,0.08858624391723424
160715,1680,1244,75.54,-2.7716166542427687,0.07,75352,0.06460423726821318
161668,1690,1252,79.02,-2.8895402802254804,0.07,75832,0.0948704102775082
162391,1700,1258,80.16,-2.9358091182431134,0.07,76192,0.12950166349764913
163209,1710,1264,76.49,-2.836967766436678,0.07,76600,0.11130303936079144
164242,1720,1273,81.71,-2.9728901153630267,0.07,77120,0.11650110066693742
165395,1730,1283,85.55,-3.0523274706010186,0.07,77696,0.1109649768914096
166100,1740,1288,86.54,-3.058303654393401,0.07,78048,0.17226498946547508
166632,1750,1293,84.7,-2.9871919733413597,0.07,78312,0.0858751674531959
167421,1760,1299,84.45,-2.9764257397938256,0.07,78704,0.1088131028227508
168194,1770,1306,85.23,-3.033614948434932,0.07,79096,0.1384153631515801
169175,1780,1314,83.6,-2.958797774441653,0.07,79584,0.11076857391162775
169947,1790,1320,81.79,-2.9080311777687395,0.07,79968,0.09417170129017904
170784,1800,1327,82.93,-2.953367187866082,0.07,80384,0.08595215616514906
171457,1810,1332,81.48,-2.902381238251037,0.07,80728,0.0935206889116671
172333,1820,1340,79.91,-2.938655537881745,0.07,81160,0.08471900151926093
173384,1830,1348,78.89,-2.9519027064439065,0.07,81688,0.07925521707511507
173909,1840,1353,77.09,-2.890564190521029,0.07,81952,0.05680462179589085
174436,1850,1357,77.04,-2.889071555261607,0.07,82216,0.12687978707253933
175459,1860,1365,79.38,-3.0023133155219437,0.07,82728,0.1271739536896348
176493,1870,1374,81.99,-3.174746269054404,0.07,83240,0.10170399557682686
177387,1880,1382,81.12,-3.0986391680476424,0.07,83688,0.12084161554230377
178603,1890,1392,85.56,-3.4016147072064795,0.07,84296,0.06666032882640138
179728,1900,1401,88.44,-3.4990093323516986,0.07,84856,0.07814023611717857
180417,1910,1407,88.6,-3.481617284146814,0.07,85208,0.050495557516114786
181199,1920,1414,87.66,-3.429278138846053,0.07,85592,0.151333653338952
182068,1930,1421,85.84,-3.3844473067016865,0.07,86032,0.10701419576071203
183437,1940,1433,94.28,-3.692517867446992,0.07,86712,0.12013912526890635
183926,1950,1437,93.9,-3.667364106099919,0.07,86960,0.09842136714723893
184947,1960,1445,93.88,-3.6885099841693916,0.07,87472,0.07638577866600826
185747,1970,1452,91.54,-3.51776177552681,0.07,87872,0.11728179623605683
186870,1980,1462,93.83,-3.547054682715231,0.07,88432,0.10070137635921128
187338,1990,1466,86.35,-3.1368982469235362,0.07,88664,0.09248752892017365
188563,2000,1476,87.35,-3.0790948442687163,0.07,89280,0.06886747872340493
189407,2010,1483,88.9,-3.1309402826114217,0.07,89696,0.05165232776198536
190489,2020,1492,91.9,-3.2142402594805803,0.07,90240,0.09689841856015846
191299,2030,1498,91.31,-3.1587256363750753,0.07,90648,0.09052371216239408
192080,2040,1504,85.43,-2.905506986834711,0.07,91032,0.05990400433074683
192782,2050,1510,87.56,-2.97206901778319,0.07,91384,0.06350311305141076
193349,2060,1515,83.02,-2.7976942557881648,0.07,91672,0.037583258585073054
193957,2070,1520,81.1,-2.753348616275978,0.07,91976,0.15279348846524954
194913,2080,1528,79.43,-2.7394770893618046,0.07,92456,0.10441804717993364
195566,2090,1533,81.28,-2.7998409440349494,0.07,92776,0.13187382693286054
196361,2100,1539,76.98,-2.7844636256073705,0.07,93176,0.09322869416791946
197273,2110,1548,77.66,-2.795945272875736,0.07,93632,0.12053693475900218
197996,2120,1554,74.07,-2.707029703619428,0.07,93992,0.07292611640878022
198764,2130,1560,73.65,-2.680800032808703,0.07,94376,0.10039071584469639
199385,2140,1565,72.05,-2.667295392082664,0.07,94688,0.11601052770856768
199977,2150,1570,70.95,-2.6315837361473684,0.07,94984,0.11392475059255958
