rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,train/loss,train/n_updates
80.7,10,1,0.98100475,-3.880627370725257,817,,
85.65,20,3,0.9597077499999999,-4.315262892862872,1733,,
75.4,30,3,0.9467109999999999,-3.5750343183609075,2292,,
68.95,40,4,0.9349465000000002,-3.206829600821032,2798,,
72.5,50,5,0.9145562499999998,-3.4671655448023118,3675,,
67.38333333333334,60,6,0.9046052500000002,-3.1812449829440794,4103,,
64.54285714285714,70,7,0.8933290000000002,-2.997856526762276,4588,,
63.8,80,8,0.8794720000000003,-2.954563826122569,5184,,
64.41111111111111,90,9,0.86312725,-2.96744867872529,5887,,
62.2,100,10,0.8530600000000002,-2.881602760966385,6320,,
57.03,110,10,0.846085,-2.6131080831950255,6620,,
53.41,120,11,0.8332045000000002,-2.3462828213547207,7174,,
53.25,130,12,0.82057975,-2.410577627453241,7717,,
51.54,140,13,0.8127910000000003,-2.335657268536676,8052,,
47.59,150,14,0.8015845000000001,-2.099163976393157,8534,,
48.93,160,15,0.7885180000000002,-2.1721026659354057,9096,,
49.59,170,16,0.7757072499999998,-2.2310454006794727,9647,,
52.53,180,20,0.7550147500000002,-2.443313396068753,10537,0.14041468564028037,264
52.51,190,25,0.7387165000000002,-2.475532012216983,11238,0.16850160921967472,616
55.49,200,31,0.7217207499999998,-2.5972996227491167,11969,0.14031242859709891,984
58.64,210,35,0.7074220000000002,-2.7762835265859325,12584,0.09368220308169839,1288
62.75,220,42,0.6849857500000003,-3.033979068298669,13549,0.07520737983941217,1768
64.34,230,48,0.6686642500000002,-3.051397773401256,14251,0.16839370038360357,2120
64.55,240,50,0.6603872500000003,-3.0609001832648177,14607,0.1492165268282406,2296
66.33,250,55,0.6450422499999999,-3.140749122302156,15267,0.13987397732125828,2632
64.21,260,58,0.6369047500000002,-3.012656206865137,15617,0.1125275252998108,2808
65.18,270,62,0.6218387500000002,-3.043429008687213,16265,0.11219466512557119,3128
62.9,280,67,0.60644725,-2.870098729481144,16927,0.11207293049665168,3456
61.68,290,72,0.5929855000000002,-2.7764893734376157,17506,0.16734048117359634,3752
59.22,300,75,0.5817092500000001,-2.674770395424102,17991,0.19526230938208755,3992
58.03,310,79,0.5701772499999997,-2.5737702703940237,18487,0.1577627070946619,4240
52.89,320,82,0.5596915000000003,-2.296060274431508,18938,0.1480548818653915,4464
51.81,330,87,0.5458810000000002,-2.288835586808443,19532,0.1402424109983258,4760
55.89,340,93,0.528118,-2.4589767955076005,20296,0.1491416683420539,5144
52.79,350,95,0.5199804999999998,-2.2992177892855308,20646,0.1920792292803526,5320
53.91,360,99,0.5092390000000002,-2.378438835957472,21108,0.21092607453465462,5552
51.27,370,102,0.5003110000000001,-2.2474872115915354,21492,0.20322200667578727,5744
48.35,380,105,0.4917085,-2.07656888554296,21862,0.13828043994726613,5928
45.88,390,107,0.48398949999999996,-1.9639438179896862,22194,0.17353733390336856,6096
45.06,400,110,0.4746197500000001,-1.8855315630232996,22597,0.1112731653265655,6296
44.64,410,114,0.46406425000000007,-1.8570652491931074,23051,0.165713207796216,6520
42.42,420,115,0.4587399999999998,-1.7463674013720407,23280,0.12860727915540338,6632
40.02,430,118,0.4505095000000001,-1.602241795618165,23634,0.16383081395179033,6816
37.72,440,122,0.4380939999999999,-1.5009912822631037,24168,0.17202526237815619,7080
38.4,450,125,0.42837550000000013,-1.5220137900902244,24586,0.14700798419653438,7288
36.78,460,128,0.42140049999999984,-1.447214329736515,24886,0.2094293348491192,7440
36.64,470,131,0.41279800000000033,-1.433802932932983,25256,0.146249083802104,7624
36.74,480,134,0.4039630000000003,-1.430816323445415,25636,0.1726005570963025,7816
37.55,490,137,0.39436075000000037,-1.4590359230605208,26049,0.1538441302254796,8024
37.4,500,140,0.3853397500000001,-1.459586434314122,26437,0.17900411784648895,8216
36.08,510,142,0.37785325000000003,-1.4218153997812621,26759,0.2171977167017758,8376
36.34,520,144,0.3719245,-1.436597740159835,27014,0.16236652003135532,8504
34.89,530,146,0.3670652500000001,-1.376877806857209,27223,0.17111911764368415,8608
32.44,540,148,0.36034599999999994,-1.261111847299519,27512,0.2583895567804575,8752
30.16,550,150,0.3559285,-1.1749463062832788,27702,0.1712490376085043,8848
30.01,560,152,0.3493022499999999,-1.1640281442417708,27987,0.2240395974367857,8992
29.5,570,155,0.3418855000000004,-1.1679310195814436,28306,0.1436482698773034,9152
28.25,580,156,0.33595675000000036,-1.1351018254819305,28561,0.2129569398239255,9280
27.02,590,159,0.32921425000000004,-1.0853958293614483,28851,0.17962081485893577,9424
25.0,600,160,0.32488975,-1.0005734982940493,29037,0.15169687091838568,9512
24.63,610,163,0.31826350000000003,-0.9817550049847479,29322,0.19769522920250893,9656
25.57,620,165,0.31014924999999993,-1.0184534968302823,29671,0.2975044585764408,9832
26.84,630,168,0.30233725,-1.0678753327896147,30007,0.1683456170721911,10000
26.46,640,170,0.2965015,-1.055675364772003,30258,0.2170086014084518,10128
28.3,650,173,0.28780600000000034,-1.1421158595336147,30632,0.12642531987512484,10312
28.67,660,175,0.2803195000000003,-1.1604086041087232,30954,0.1670702103874646,10472
29.21,670,178,0.27164725000000023,-1.1611990181931113,31327,0.18445447739213705,10656
29.47,680,181,0.2651140000000003,-1.1708375119959162,31608,0.1985945738852024,10800
29.63,690,183,0.25799950000000016,-1.1804333317274596,31914,0.13283931999467313,10952
31.04,700,186,0.25039674999999995,-1.2436716745432017,32241,0.1576418736949563,11120
30.81,710,188,0.24430525000000025,-1.2261868036586359,32503,0.1892812893493101,11248
28.87,720,189,0.24070150000000035,-1.159489125009005,32658,0.166462785564363,11328
27.83,730,191,0.2353075000000001,-1.1253873370484926,32890,0.21724710427224636,11440
29.23,740,194,0.22621674999999997,-1.194719131653934,33281,0.1664264528080821,11640
28.89,750,197,0.21831175000000036,-1.1613870348151143,33621,0.222922726534307,11808
29.59,760,200,0.20919774999999996,-1.1848023550146254,34013,0.19749848992796615,12000
30.42,770,204,0.19859575000000018,-1.2211282502830634,34469,0.15424962900578976,12232
30.16,780,206,0.19266700000000014,-1.2137086510424826,34724,0.20494856964796782,12360
29.93,790,208,0.18608724999999993,-1.1834003613995292,35007,0.170377591624856,12496
28.98,800,210,0.18069325000000014,-1.1362797879108166,35239,0.14740166632691398,12616
29.05,810,212,0.174439,-1.1479099910614086,35508,0.22346936166286469,12752
31.74,820,216,0.16458100000000042,-1.2512341057640157,35932,0.18688656075391918,12960
30.91,830,217,0.16111674999999992,-1.209906817932314,36081,0.21001746132969856,13040
29.58,840,219,0.15511825000000035,-1.154598803509561,36339,0.28471165522933006,13168
29.19,850,222,0.14811999999999992,-1.14740204300434,36640,0.19129171688109636,13312
28.06,860,224,0.1416332499999997,-1.0891454595511725,36919,0.2991495756432414,13456
26.93,870,227,0.13365850000000024,-1.0344914884590148,37262,0.23977058194577694,13624
26.15,880,228,0.1295432500000001,-0.9978938165031191,37439,0.2226929971948266,13712
25.69,890,230,0.12403300000000017,-0.9871118379009246,37676,0.23114345781505108,13832
25.83,900,232,0.11831349999999985,-0.99374052173489,37922,0.12635164672974497,13960
25.9,910,235,0.11189650000000007,-0.9840819906131746,38198,0.2718835324048996,14096
23.64,920,236,0.10729299999999997,-0.8855229439879979,38396,0.21488099172711372,14192
24.75,930,238,0.101248,-0.9191028555352322,38656,0.23596223630011082,14320
24.48,940,240,0.09587725000000002,-0.9011457446301153,38887,0.22131755575537682,14440
24.74,950,243,0.08827450000000026,-0.8957279740155762,39214,0.19505790155380964,14600
