rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
0.932389,13,-17.8783173109803,2908,289.8,10,,
0.8626389999999999,27,-19.57974106878276,5908,294.4,20,,
0.792889,41,-19.532878800765793,8908,295.93333333333334,30,,
0.7231389999999999,59,-19.48400892164066,11908,296.7,40,952,0.0001828776985348668
0.653575,80,-19.044770250008472,14900,297.0,50,2448,0.0003298533738416154
0.5838249999999999,100,-19.031784604682677,17900,297.3333333333333,60,3944,0.0005158240965101868
0.5140749999999998,122,-19.443682278895366,20900,297.57142857142856,70,5448,0.00981418538140133
0.4443250000000003,143,-19.367770215557847,23900,297.75,80,6944,0.0006094502205087338
0.37457499999999977,165,-19.470985487502542,26900,297.8888888888889,90,8448,0.0005955954839009792
0.30670825000000024,187,-19.508384178499917,29819,297.19,100,9904,0.0009905614933813922
0.24130600000000024,208,-19.805206433256114,32632,296.24,110,11312,0.0007643641292816028
0.17155600000000015,231,-19.692654308003224,35632,296.24,120,12808,0.0012735077907564119
0.10533999999999999,254,-19.677874680143976,38480,294.72,130,14232,0.011890650042914785
0.07,277,-19.626929993419754,41480,294.72,140,15736,0.0010090203795698471
0.07,301,-19.816834627310687,44480,294.8,150,17232,0.001028327998938039
0.07,325,-19.84749213616125,47480,294.8,160,18736,0.0011640239936241414
0.07,349,-19.736516991516577,50480,294.8,170,20232,0.0009794228462851606
0.07,373,-19.825228319513773,53480,294.8,180,21736,0.0013419875322142616
0.07,396,-19.845725023530054,56480,294.8,190,23232,0.00176843669032678
0.07,420,-19.88591836404068,59480,295.61,200,24736,0.0014566985264536925
0.07,444,-19.659158957037093,62480,297.48,210,26232,0.0012080209453415591
0.07,467,-19.653845339864485,65480,297.48,220,27736,0.0015069048167788424
0.07,490,-19.34333191919199,68331,297.51,230,29160,0.001620901959540788
0.07,513,-19.342450159662054,71207,296.27,240,30600,0.0014311762497527525
0.07,537,-19.509662221740303,74207,296.27,250,32096,0.0011931124827242456
0.07,560,-19.78717880423769,77207,296.27,260,33600,0.001703455825918354
0.07,584,-19.683577821187274,80207,296.27,270,35096,0.0012596878477779683
0.07,608,-19.655683994411877,83207,296.27,280,36600,0.0010181061370531097
0.07,631,-19.761582144357035,86207,296.27,290,38096,0.0010909108823398128
0.07,655,-19.925668794369347,89207,296.27,300,39600,0.0013046835592831485
0.07,679,-20.177600519214597,92207,296.27,310,41096,0.004054055392771261
0.07,703,-20.1664085547553,95207,296.27,320,42600,0.0012895986146759242
0.07,726,-20.11283263915125,98207,297.76,330,44096,0.0012978393424418755
0.07,750,-20.18023210596378,101207,299.0,340,45600,0.001859937830886338
0.07,774,-20.245542327456675,104207,299.0,350,47096,0.0016658018430462107
0.07,796,-19.901749102504183,106994,296.87,360,48496,0.0021798684174427763
0.07,820,-19.76622692660788,109994,296.87,370,49992,0.0016757921839598566
0.07,844,-19.81281929948787,112994,296.87,380,51496,0.0012809933905373327
0.07,868,-19.884127043927897,115994,296.87,390,52992,0.0014214931579772383
0.07,891,-19.34665354207444,118994,296.87,400,54496,0.002269837168569211
0.07,915,-18.81975852573393,121994,296.87,410,55992,0.0029617870168294758
0.07,937,-18.50325407596511,124880,295.73,420,57432,0.001919352580443956
0.07,961,-19.117509729455787,127880,295.73,430,58936,0.01401709129277151
0.07,985,-19.10873814428729,130880,295.73,440,60432,0.0021968237415421754
0.07,1008,-18.754604229176692,133792,294.85,450,61888,0.0031380397122120485
0.07,1032,-18.63771955757436,136792,296.98,460,63392,0.002595152473077178
0.07,1055,-18.501906679985197,139792,296.98,470,64888,0.00211360321554821
0.07,1080,-18.51665701925339,142792,296.98,480,66392,0.003847519983537495
0.07,1103,-18.113102529277683,145714,296.2,490,67856,0.00336230531684123
0.07,1127,-18.51093336774239,148714,296.2,500,69352,0.003729768330231309
0.07,1150,-18.68776017555625,151714,296.2,510,70856,0.0031315145461121574
0.07,1174,-19.083905676661633,154714,297.34,520,72352,0.0036635501601267606
0.07,1197,-18.686821455157663,157668,296.88,530,73832,0.004026976530440152
0.07,1221,-18.485217453938752,160668,296.88,540,75328,0.0044363748747855425
0.07,1245,-18.65545275035572,163668,297.76,550,76832,0.0028977488982491195
0.07,1269,-18.853141248499828,166668,297.76,560,78328,0.0052460354345384985
0.07,1293,-19.2557638379619,169668,297.76,570,79832,0.003832835180219263
0.07,1316,-18.983460836305635,172668,297.76,580,81328,0.003510224909405224
0.07,1339,-18.85751636189574,175502,296.88,590,82744,0.003399416877073236
0.07,1363,-18.92606545299265,178502,296.88,600,84248,0.0137825780257117
0.07,1387,-19.056069075636486,181502,296.88,610,85744,0.001945060896105133
0.07,1412,-19.10242838751276,184502,296.88,620,87248,0.012108520153560676
0.07,1436,-19.12960183732299,187502,297.34,630,88744,0.0018592976120999083
0.07,1460,-19.303526926751086,190502,297.34,640,90248,0.0021297132916515693
0.07,1485,-19.27693491710276,193502,297.34,650,91744,0.0018946475174743682
0.07,1507,-19.24999995939179,196330,295.62,660,93160,0.0014356058818520978
0.07,1531,-19.071081021935846,199330,295.62,670,94664,0.0021635911689372733
