time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
2008,0.9533139999999998,199.8,3,-11.248965348088621,10,,
3901,0.90930175,194.05,5,-11.71862684966058,20,,
6336,0.8526879999999998,210.2,8,-13.073978441363549,30,,
8221,0.8088617500000003,204.525,11,-12.792761405930731,40,,
10669,0.7519457500000002,212.38,17,-13.360487404983422,50,328,0.018716058501013322
11961,0.72190675,198.35,24,-12.293826019914952,60,976,0.03660883964766981
12881,0.7005167499999998,183.0142857142857,28,-11.048005088968617,70,1440,0.018357278278017475
13417,0.6880547499999998,166.7125,31,-9.907252830142193,80,1704,0.054747481663071085
13899,0.6768482500000002,153.43333333333334,34,-9.00429552014935,90,1944,0.018301986787264468
14350,0.6663625000000002,142.5,36,-8.279772282818339,100,2168,0.02736048876795394
14736,0.6573880000000002,126.28,38,-7.294847646034268,110,2360,0.02720716422845726
15302,0.6442285000000002,113.01,41,-6.307999410864328,120,2648,0.04523222849093145
15743,0.6339752500000002,93.07,43,-4.911135048369275,130,2864,0.045132911236578366
16264,0.6218619999999998,79.43,46,-3.8897162651169186,140,3128,0.0799881697021192
16654,0.6127945000000002,58.85,48,-2.4658128217500495,150,3320,0.07989245222051977
17132,0.6016810000000002,50.71,51,-1.9769280559280804,160,3560,0.05313838704751106
17467,0.5938922500000003,44.86,52,-1.7744536952653498,170,3728,0.05242724301206181
17841,0.5851967500000002,43.24,54,-1.7221531950033964,180,3920,0.08706246216752334
18119,0.5787332500000002,41.2,56,-1.6436899474342297,190,4056,0.06935696308210026
18599,0.5675732500000004,41.49,59,-1.7069664852720903,200,4296,0.06090884231525706
18905,0.5604587500000002,40.69,61,-1.6922236723540245,210,4448,0.09379457633622224
19417,0.5485547500000002,40.15,64,-1.6510257126273058,220,4704,0.07598859918653034
19859,0.5382782499999998,40.16,66,-1.6334729928423195,230,4928,0.03443966567283496
20161,0.5312567499999998,37.97,68,-1.5609133730628502,240,5080,0.07504023506771773
20531,0.5226542500000004,37.77,70,-1.554736414050394,250,5264,0.08288060627819505
20966,0.5125405000000001,37.34,72,-1.5424250842180038,260,5480,0.11497173286625184
21531,0.49940424999999977,39.64,75,-1.5994134282315071,270,5760,0.11324270535260439
21938,0.48994150000000025,39.97,77,-1.604552782774158,280,5968,0.0721640893316362
22247,0.48275725000000014,40.28,79,-1.6220844123110558,290,6120,0.07950918536516838
22672,0.47287599999999996,39.73,81,-1.5297127635644514,300,6328,0.056272432731930166
22937,0.46671474999999985,39.32,83,-1.493078712409107,310,6464,0.10828171717002988
23183,0.4609952500000002,36.66,84,-1.3727342701449927,320,6584,0.09269635239616036
23537,0.4527647499999998,35.78,86,-1.3502490142231793,330,6768,0.08439888959401287
23906,0.4441854999999999,36.45,88,-1.3765890268831185,340,6952,0.06884123556665145
24181,0.4377917499999999,35.5,90,-1.3439202418395997,350,7088,0.0821199348429218
24449,0.4315607499999998,33.83,91,-1.2384534357405932,360,7224,0.08128773243515752
24758,0.42437650000000027,31.27,93,-1.1535109389034448,370,7376,0.12886783108115196
25018,0.41833149999999986,29.8,94,-1.1032138241048415,380,7504,0.07299963443074375
25318,0.4113565000000001,29.71,96,-1.0852058814192025,390,7656,0.07961333449929953
25583,0.40519525,28.11,97,-1.0424668760119087,400,7784,0.07183324167272076
25807,0.39998725,27.7,98,-1.0512019752045267,410,7896,0.09870319039328024
26127,0.3925472499999998,28.44,100,-1.103383570544819,420,8056,0.0967150959186256
26350,0.38736249999999994,27.13,101,-1.0342834282409235,430,8168,0.0710949725471437
26682,0.3796434999999999,26.76,103,-1.0234968712814907,440,8336,0.12130488269031048
26886,0.37490049999999986,26.05,104,-0.9903021207455887,450,8440,0.1230548657476902
27084,0.3702970000000001,25.35,105,-0.9626961771637336,460,8536,0.08755177049897611
27379,0.3634382500000001,25.21,107,-0.9424779577638225,470,8688,0.1425252417102456
27625,0.35771874999999975,25.07,108,-0.9311488109641434,480,8808,0.11658702162094414
27915,0.3509762500000001,24.97,110,-0.9251152098327247,490,8952,0.08414705004543066
28187,0.3446522499999999,25.04,111,-0.913839680034734,500,9088,0.0781392510398291
28413,0.33939775000000005,25.06,113,-0.8965749815095749,510,9200,0.08633573912084103
28718,0.33230650000000017,24.91,114,-0.8697813862183098,520,9352,0.12335025198990479
28899,0.3280982499999998,24.49,115,-0.8603934476893297,530,9448,0.09633777476847172
29158,0.3220765000000002,23.76,117,-0.8405575545634756,540,9576,0.12030262826010585
29412,0.3161710000000002,24.26,118,-0.8722909943744829,550,9704,0.13131766021251678
29605,0.31168375000000026,24.21,119,-0.8755421456333262,560,9800,0.09920778998639435
29765,0.3079637500000001,22.86,120,-0.8103802588943576,570,9880,0.10937373928027228
30048,0.301384,23.23,122,-0.8377288559351682,580,10016,0.14041073061525822
30275,0.2961062499999999,22.6,123,-0.8162272360632714,590,10136,0.07151542569044977
30448,0.29208400000000034,21.61,124,-0.7753901565407156,600,10216,0.10584283201023936
30702,0.2861785,21.89,125,-0.7752472470369531,610,10344,0.14506278512999415
31004,0.27915700000000043,21.86,127,-0.7735405763013766,620,10496,0.1072805649600923
31239,0.2736932500000002,22.4,128,-0.8056374318358944,630,10616,0.10919776477385312
