rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-3.1369667890768405,280,93,64.04,0.40463725000000006,25607,7800,0.08964948484208435
-3.1543430433954445,290,98,64.97,0.38392150000000014,26498,8248,0.09720861003734171
-3.3989295166099236,300,104,69.98,0.35878825000000014,27579,8784,0.057391520123928785
-3.313087359601165,310,107,68.33,0.34748875,28065,9032,0.0882272687740624
-3.4162194118279903,320,111,70.23,0.3311207500000001,28769,9384,0.07923673244658858
-3.6615651718907976,330,118,76.59,0.2985707500000001,30169,10080,0.1017673509195447
-4.07576561038102,340,127,86.2,0.26139400000000024,31768,10880,0.1217499056365341
-4.216598025482355,350,132,89.36,0.24239875000000022,32585,11288,0.1141968360170722
-4.575528226331933,360,142,99.09,0.2015950000000002,34340,12168,0.04289772699121386
-5.281777331037218,370,154,117.16,0.14939875000000002,36585,13288,0.0880200796527788
-5.435841848038518,380,161,122.6,0.11726725000000016,37967,13976,0.09383186837658286
-5.744068817795307,390,171,132.32,0.07395250000000031,39830,14912,0.05907620454672724
-5.897688602214895,400,180,139.12,0.07,41591,15792,0.07954687287565321
-6.194927035742262,410,189,149.65,0.07,43130,16560,0.06803695647977293
-6.399604497569657,420,197,157.36,0.07,44605,17296,0.055601474712602794
-6.299584483812441,430,204,157.2,0.07,45989,17992,0.06315698032267392
-5.840899061662402,440,208,148.37,0.07,46705,18352,0.036481536692008376
-5.745033248055054,450,211,147.24,0.07,47409,18704,0.06414137815590948
-5.254158711523434,460,215,136.25,0.07,48065,19032,0.07839991804212332
-4.4909813814493695,470,217,117.33,0.07,48418,19208,0.03024413890670985
-4.300216469336899,480,222,112.72,0.07,49339,19664,0.06230195437092334
-3.8016792843976024,490,224,99.16,0.07,49846,19920,0.062176516046747565
-3.721886001118582,500,232,95.91,0.07,51282,20640,0.09329108207020909
-3.808442178311256,510,241,97.01,0.07,52931,21464,0.06893129571108148
-3.6254559525991494,520,245,91.51,0.07,53856,21920,0.08422850747592747
-3.58690374660494,530,253,91.65,0.07,55254,22624,0.06418185692746192
-3.6325750357301962,540,257,93.14,0.07,56119,23056,0.05526420660316944
-3.588309982228014,550,261,93.61,0.07,56870,23432,0.0680150156840682
-3.618255353048174,560,266,96.85,0.07,57850,23920,0.06725069042295218
-3.646495675043158,570,269,98.53,0.07,58371,24184,0.075519431498833
-3.509000733633103,580,273,97.0,0.07,59139,24568,0.08096016896888614
-3.519795507342985,590,277,98.89,0.07,59835,24912,0.08749197906581685
-3.1070208003054995,600,279,89.52,0.07,60334,25160,0.07104138494469225
-2.7081466262394027,610,284,81.29,0.07,61160,25576,0.06907886679982767
-2.5288402069216294,620,287,77.5,0.07,61706,25848,0.048863384407013655
-2.196723801389796,630,289,68.65,0.07,62219,26104,0.07950122514739633
-2.0973753660572108,640,293,67.13,0.07,62932,26464,0.028381704993080348
-2.046699355349547,650,296,64.89,0.07,63459,26728,0.05395846301689744
-1.947563011848471,660,298,60.24,0.07,63974,26984,0.07323269406333566
-1.938852607511665,670,301,60.44,0.07,64515,27256,0.12647938926238567
-1.9088454895278832,680,304,58.56,0.07,65095,27544,0.0496227508992888
-1.8149088941473293,690,306,55.13,0.07,65448,27720,0.08208133949665353
-1.8302166314641253,700,309,55.01,0.07,65935,27960,0.06580391409806907
-1.7772077931316408,710,311,51.2,0.07,66380,28184,0.09789819782599807
-1.7319971162484404,720,313,49.98,0.07,66804,28400,0.053223670925945044
-1.79711893524343,730,316,50.8,0.07,67399,28696,0.08541674941079691
-1.749389419906527,740,319,48.79,0.07,67911,28952,0.07310811209026724
-1.7308387906920697,750,321,48.06,0.07,68365,29176,0.07990086037898436
-1.7392999710080326,760,324,48.32,0.07,68906,29448,0.11186971247661859
-1.720311480101893,770,327,47.39,0.07,69354,29672,0.08315073163248599
-1.645111642450034,780,329,45.3,0.07,69725,29856,0.07678678311640397
-1.6790609336943694,790,331,45.87,0.07,70135,30064,0.10308200353756547
-1.6447255220191304,800,333,44.9,0.07,70525,30256,0.08121677278541028
-1.649575206864548,810,336,45.85,0.07,71065,30528,0.07940090983174741
-1.6379526008960388,820,338,44.55,0.07,71359,30672,0.06777116772718728
-1.5134005598312037,830,339,41.17,0.07,71616,30800,0.07820798130705953
-1.5135134123419838,840,342,40.68,0.07,72079,31032,0.1037367241224274
-1.542054465530984,850,345,41.89,0.07,72654,31320,0.08741965348599479
-1.481839553431512,860,347,39.53,0.07,72959,31472,0.10794077313039452
-1.446160454007861,870,348,38.05,0.07,73259,31624,0.07100175798404962
-1.4559396274000718,880,350,37.66,0.07,73591,31792,0.0809231421444565
-1.4375223179653085,890,352,37.83,0.07,74018,32008,0.06671690032817423
-1.3960714984882554,900,354,36.72,0.07,74297,32144,0.1050809791777283
-1.327599975082548,910,356,34.74,0.07,74639,32312,0.06600115937180817
-1.2981117544119223,920,357,34.22,0.07,74881,32440,0.09519468760117888
-1.3332899216450438,930,358,34.66,0.07,75182,32584,0.07486628380138427
-1.299371332662407,940,361,34.2,0.07,75599,32792,0.13441627193242311
-1.2661293792745272,950,363,32.91,0.07,76045,33016,0.12219031958375126
-1.2889355697562168,960,365,33.64,0.07,76423,33208,0.09980650583747774
-1.3128220724914454,970,367,34.18,0.07,76777,33384,0.09552910062484443
-1.3362944827297218,980,369,34.82,0.07,77173,33584,0.08572536933934316
-1.3628964746219345,990,371,35.08,0.07,77626,33808,0.04745480127166957
-1.4484545766308543,1000,374,37.5,0.07,78147,34072,0.10503628815058619
-1.4856884140009905,1010,376,38.22,0.07,78561,34280,0.08529069751966745
-1.5938596572000356,1020,379,40.94,0.07,79075,34536,0.07834170258138329
-1.626218184012822,1030,381,41.76,0.07,79458,34728,0.08073331229388714
-1.707519374885385,1040,384,43.82,0.07,80081,35040,0.1264276816509664
