rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
9.651319401886855,1,1601,159.1,10,0.9627767499999998,,
9.126010403921253,3,2915,144.75,20,0.93222625,,
8.6462665766721,4,4132,136.73333333333332,30,0.9039309999999999,,
10.518639935869484,7,6259,155.475,40,0.8544782500000002,,
9.934646883116182,9,7354,146.08,50,0.8290195000000001,,
10.18101439807007,11,8695,143.91666666666666,60,0.7978412499999998,,
10.737610685095646,16,10675,151.5,70,0.7518062500000002,0.06673253096232656,336
10.26920199105873,22,11839,146.9875,80,0.7247432500000001,0.028725150999889593,912
9.96475782291625,28,13057,144.07777777777778,90,0.6964247499999998,0.03840968322765548,1528
9.232499953335724,31,13662,135.62,100,0.6823585000000001,0.07673921929381322,1824
8.738460236563109,36,14574,128.73,110,0.6611545000000001,0.07741759297641693,2280
8.080294188135149,38,15033,120.18,120,0.6504827499999999,0.06891411430842709,2512
7.607928603868782,41,15631,113.99,130,0.6365792500000002,0.050008200691081583,2808
6.314682043576612,44,16287,99.28,140,0.6213272499999999,0.05055473474203609,3136
5.922890941368637,48,17096,96.42,150,0.6025180000000001,0.07917329634074122,3544
5.189446807824866,53,17985,91.9,160,0.5818487499999998,0.03151725014322437,3992
4.030398139626249,56,18527,77.52,170,0.5692472499999999,0.10005683213239536,4256
3.5548571641161044,58,19000,70.61,180,0.5582500000000001,0.07113050951738842,4496
3.198883288048462,63,19899,67.42,190,0.53734825,0.09312273724935949,4944
3.2314255264281284,67,20582,68.2,200,0.5214684999999998,0.10388167307246476,5288
3.186053965431066,72,21510,68.36,210,0.49989249999999985,0.04590134136378765,5752
3.3924925024241763,76,22330,71.97,220,0.48082749999999996,0.08788372878916562,6160
3.4216487632234505,80,23031,73.0,230,0.46452925,0.05847247410565615,6512
3.438522812590286,84,23798,74.11,240,0.44669649999999994,0.04805967636639252,6896
3.523879709418787,89,24710,75.14,250,0.42549249999999983,0.060672649822663516,7352
3.5861275520288176,94,25723,76.38,260,0.4019402499999999,0.06030531506985426,7856
3.665261279492867,98,26392,77.65,270,0.38638600000000023,0.1547174744773656,8192
3.8187688461384055,102,27187,80.87,280,0.36790225,0.09450624184682965,8592
3.8670912869228284,108,28173,81.74,290,0.3449777500000001,0.07491656416095793,9080
4.005548148071919,113,29100,84.18,300,0.3234250000000002,0.12140757776796818,9544
3.917589371964213,117,29836,82.26,310,0.30631300000000017,0.1426830489654094,9912
3.891427591911835,121,30640,82.1,320,0.2876200000000001,0.08288309688214213,10312
3.9736726215141815,126,31545,84.14,330,0.2665787500000001,0.09479684941470623,10768
4.04155328141655,131,32391,84.93,340,0.2469092500000003,0.1254132225876674,11192
4.013781329299847,136,33297,84.87,350,0.22584475000000004,0.18891421984881163,11648
3.8019258512333907,140,33879,80.56,360,0.21231325000000023,0.09544490149710327,11936
3.7612313162815645,143,34502,80.1,370,0.1978285000000003,0.1821718147257343,12248
3.786569289876177,148,35439,81.52,380,0.1760432500000002,0.13496928196400404,12712
3.7972007862507935,155,36565,82.92,390,0.14986375000000007,0.09819508343935013,13280
3.757548973086914,160,37548,83.48,400,0.12700900000000004,0.17718170187436044,13768
3.6702628147521783,163,38149,82.13,410,0.11303575000000032,0.25317705352790654,14072
3.4433945664086076,165,38526,77.86,420,0.10427050000000015,0.15308658150024712,14256
3.357873555769958,169,39324,76.79,430,0.08571700000000004,0.06571284052915871,14656
3.1904824356215333,173,39923,74.32,440,0.07179025000000017,0.10490314697381109,14960
3.1378993055206075,178,40844,74.47,450,0.07,0.1325168265029788,15416
3.6185982793286025,188,42634,86.55,460,0.07,0.123499067267403,16312
3.7009582433654185,193,43533,89.31,470,0.07,0.21409608842805028,16760
4.081511016599872,203,45446,99.07,480,0.07,0.20541240833699703,17720
4.148052586716021,210,46776,101.11,490,0.07,0.17752195801585913,18384
4.361367122125937,219,48436,107.88,500,0.07,0.17907582561019808,19216
4.8838868206545065,230,50642,123.93,510,0.07,0.14000870869494975,20320
5.189436612396367,238,52032,134.06,520,0.07,0.15522219345439225,21008
5.057919426482531,240,52575,131.51,530,0.07,0.167025460395962,21280
4.975359357943177,243,52990,129.67,540,0.07,0.09823157940991223,21488
4.7175117982756065,245,53326,123.82,550,0.07,0.11149154370650649,21656
4.18486331195554,248,53978,112.44,560,0.07,0.12432454037480056,21984
4.074953303413846,253,54821,111.88,570,0.07,0.15588040743023157,22408
3.677392547337499,260,56097,105.51,580,0.07,0.12613779958337545,23048
3.636821461468192,268,57721,108.45,590,0.07,0.09842260146979243,23856
3.472016800020772,276,59164,106.28,600,0.07,0.13897589896805584,24576
3.1267166628244643,283,60616,98.74,610,0.07,0.18068196438252926,25304
2.894461965220308,287,61313,91.81,620,0.07,0.2697085812687874,25656
2.9174453393941375,291,61988,93.13,630,0.07,0.14283219585195184,25992
2.932120018610842,294,62513,94.23,640,0.07,0.1258411646122113,26256
3.057356811398085,298,63275,98.49,650,0.07,0.12639063887763768,26632
3.0291017271101306,301,63876,97.98,660,0.07,0.1570934986229986,26936
2.9372109112165634,304,64364,94.43,670,0.07,0.10998484457377344,27176
2.7192777889749813,306,64808,86.11,680,0.07,0.2124853697605431,27400
2.361871804473884,308,65147,73.26,690,0.07,0.15490911807864904,27568
2.0318959462004,310,65461,61.97,700,0.07,0.1822632560506463,27728
1.7799676727479143,313,65948,52.32,710,0.07,0.19769809779245406,27968
2.020310925609262,319,67238,58.25,720,0.07,0.11097032547695562,28616
1.9609510462316209,322,67655,55.67,730,0.07,0.11408115364611149,28824
2.1384418925361732,327,68620,60.07,740,0.07,0.19846304354723543,29304
2.084304331908844,330,69123,57.48,750,0.07,0.12793221417814493,29560
2.0944340861008883,333,69644,56.68,760,0.07,0.24576161988079548,29816
2.206724636891811,337,70468,60.04,770,0.07,0.21446916437707841,30232
2.358735741034408,342,71375,64.67,780,0.07,0.143440677318722,30680
2.6445425108902656,348,72487,72.4,790,0.07,0.1862920019775629,31240
2.7512273408088324,351,73088,75.27,800,0.07,0.14737531205173582,31536
2.7460105202157705,353,73552,75.04,810,0.07,0.05544854968320578,31768
2.52557072822424,357,74256,69.18,820,0.07,0.11630641506053507,32120
2.9392098951101984,365,75721,79.66,830,0.07,0.2050300829578191,32856
2.9929111544927793,371,76807,80.87,840,0.07,0.14600668800994754,33400
3.2856178543715457,377,78024,88.01,850,0.07,0.17661083734128624,34008
3.581250128082118,384,79322,95.78,860,0.07,0.18087147478945553,34656
3.526477068325998,387,79903,93.35,870,0.07,0.1342569381231442,34944
3.470726718180418,391,80597,91.22,880,0.07,0.1464321225648746,35296
3.3898488321359164,396,81508,89.21,890,0.07,0.1639625708339736,35752
3.524786036877592,401,82435,92.47,900,0.07,0.23622679244726896,36216
3.6720996799557497,405,83273,96.21,910,0.07,0.1659769305260852,36632
3.686227589585182,409,84009,96.53,920,0.07,0.1795471659861505,37000
3.365611459110534,413,84796,89.75,930,0.07,0.23942207172513008,37392
3.425102302717367,421,86179,92.72,940,0.07,0.21044823015108705,38088
3.353828238947932,427,87484,93.6,950,0.07,0.19692958565428853,38736
3.2482005643539265,434,88782,93.6,960,0.07,0.18201933184172958,39384
3.396899847304419,442,90227,102.24,970,0.07,0.243073639459908,40112
3.4449082286628494,448,91363,106.66,980,0.07,0.21475302323233336,40680
3.452877191596187,454,92507,108.99,990,0.07,0.2154246843419969,41248
3.507073503350658,461,93959,114.24,1000,0.07,0.12234211748000234,41976
3.427474121861204,466,94711,113.38,1010,0.07,0.2619809079915285,42352
3.5505480761445476,473,96105,119.96,1020,0.07,0.06353655026759952,43048
3.586183618990172,479,97170,122.74,1030,0.07,0.13733190263155848,43584
3.4456348349221764,485,98232,119.53,1040,0.07,0.15592597471550107,44112
3.246376314436929,488,98929,113.45,1050,0.07,0.1389768049120903,44464
3.113444672098704,492,99692,108.1,1060,0.07,0.18840278149582446,44840
2.952818560790754,495,100259,99.32,1070,0.07,0.21712315606418997,45128
2.7614967629373357,497,100558,90.95,1080,0.07,0.09565310436300933,45272
2.577022323689767,499,100950,83.43,1090,0.07,0.11099270917475224,45472
2.354470114260616,502,101492,74.33,1100,0.07,0.26111990050412714,45744
2.2732738911817902,504,101909,70.98,1110,0.07,0.17205111728981137,45952
2.1224823639378285,508,102547,63.42,1120,0.07,0.0952703079674393,46272
2.0031937848109864,510,103030,57.6,1130,0.07,0.12630040850490332,46512
1.8964055014155878,513,103611,52.79,1140,0.07,0.16862971475347877,46800
1.8576286660907773,515,104052,50.23,1150,0.07,0.20234596286900342,47024
1.9178837350621516,520,104903,51.11,1160,0.07,0.15503493952564895,47448
2.0188709612235476,524,105735,53.76,1170,0.07,0.23147684521973133,47864
2.189079921217329,528,106524,58.66,1180,0.07,0.1092939383815974,48256
2.486036303682242,536,107894,68.44,1190,0.07,0.2136466841911897,48944
2.682805611125174,542,109007,74.15,1200,0.07,0.13505531789269298,49496
2.9506903913667037,548,110220,82.11,1210,0.07,0.14785031625069678,50104
2.9860762304510304,552,110979,83.32,1220,0.07,0.17965917172841728,50488
3.097579091681926,556,111780,86.5,1230,0.07,0.208482067566365,50888
3.2262595936891882,561,112697,89.86,1240,0.07,0.14992682868614793,51344
3.2930729259563236,565,113396,92.44,1250,0.07,0.21005414985120296,51696
3.334045631267352,570,114413,94.1,1260,0.07,0.2364698999444954,52200
3.4417518842494434,577,115664,98.29,1270,0.07,0.1742265723296441,52824
3.348493678742562,580,116235,96.11,1280,0.07,0.17530504945898429,53112
3.117393396271644,583,116864,88.7,1290,0.07,0.25030642352066934,53424
2.9504896107624417,587,117468,83.61,1300,0.07,0.14308236783836037,53728
2.7094011256743915,589,117924,76.04,1310,0.07,0.18812415353022516,53960
2.6084851899806383,591,118369,72.9,1320,0.07,0.1417900953674689,54184
2.4729358898324962,594,118814,69.34,1330,0.07,0.2190966309281066,54400
2.255003484754703,596,119151,63.54,1340,0.07,0.2190110573428683,54568
2.217439435108571,599,119694,61.98,1350,0.07,0.20348076708614826,54840
1.994470128659868,601,120039,55.26,1360,0.07,0.1737652770243585,55016
1.720332998449317,603,120428,46.64,1370,0.07,0.15611685579642653,55208
1.6216573595054748,605,120704,43.69,1380,0.07,0.17041351011721417,55344
