rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-2.6920186534195047,2,61.2,10,0.9855385000000002,622,,
-2.9459731161363076,3,65.05,20,0.9692867500000001,1321,,
-2.4296243123348185,4,55.266666666666666,30,0.960754,1688,,
-2.798011522534988,5,64.7,40,0.9388989999999998,2628,,
-2.9931233090558216,6,65.02,50,0.92325175,3301,,
-3.860850675663765,8,79.08333333333333,60,0.8882837500000001,4805,,
-4.078485810299712,10,81.92857142857143,70,0.8650337500000002,5805,,
-4.041648408825579,11,80.575,80,0.8482704999999998,6526,,
-4.371430356038903,13,84.14444444444445,90,0.8218352500000001,7663,,
-4.249995769032342,15,82.95,100,0.8048162500000001,8395,,
-4.814425665909765,17,88.96,110,0.7763815000000002,9618,,
-5.303773214082476,26,97.42,120,0.7404602500000003,11163,576,0.0653151823389635
-5.760236944394303,35,105.89,130,0.7122347500000001,12377,1184,0.11218136753814179
-6.145320186264364,45,110.29,140,0.6801497500000001,13757,1872,0.11221109214966418
-6.157261666846114,52,112.79,150,0.65869,14680,2336,0.07506124336941866
-5.82552300648667,59,108.02,160,0.63481225,15707,2848,0.06613893398753135
-6.136352350649343,73,116.4,170,0.5920787499999998,17545,3768,0.14122143782151397
-6.623027800274562,85,125.31,180,0.55459975,19157,4576,0.05763291454059072
-6.334521522613022,93,124.01,190,0.531187,20164,5080,0.08624057946144603
-6.627564699219601,103,130.53,200,0.49900900000000026,21548,5768,0.07743150557507761
-6.551306800653561,113,131.83,210,0.46755175000000027,22901,6448,0.07669551423168741
-6.270794260118432,122,127.31,220,0.4421395,23994,6992,0.08684697293210775
-6.242368796175945,131,127.04,230,0.4145417500000004,25181,7584,0.049864403263200074
-6.026643459452362,141,125.61,240,0.3857814999999999,26418,8208,0.06895287655061111
-6.427830456723923,153,132.38,250,0.3485814999999999,28018,9008,0.1068900513346307
-6.545345182478821,164,135.42,260,0.31763575,29349,9672,0.06863988409168087
-6.1104719360893816,171,126.06,270,0.29666424999999996,30251,10120,0.09620095288846642
-5.983605925488622,183,125.29,280,0.2609754999999999,31786,10888,0.05013381288154051
-6.067005668752752,192,125.58,290,0.23688850000000028,32822,11408,0.07804703142028302
-6.130624003468411,204,126.06,300,0.2035945,34254,12120,0.07025618234183639
-5.8188563940953415,211,121.46,310,0.18283225000000025,35147,12568,0.10814266657689586
-6.151174095684596,226,128.17,320,0.14181924999999995,36911,13448,0.09923976933350787
-6.110364367227955,235,127.63,330,0.11547699999999983,38044,14016,0.07917725021252409
-6.2369634400331915,247,129.55,340,0.08225274999999999,39473,14736,0.06168913358123973
-6.1415232710533125,259,127.97,350,0.07,40915,15456,0.07739671517629176
-6.083976379552972,269,126.34,360,0.07,42083,16040,0.10662404267350212
-6.091139084200132,276,126.03,370,0.07,42954,16472,0.0784813612117432
-6.013660925246517,289,126.94,380,0.07,44580,17288,0.03353451832663268
-5.88351837880483,296,124.54,390,0.07,45376,17680,0.08132853574352339
-5.515085268909783,301,116.73,400,0.07,46027,18008,0.05116320319939405
-5.539011353986593,309,117.55,410,0.07,47002,18496,0.13456978590693325
-4.995265937348387,314,106.4,420,0.07,47651,18824,0.09437927580438554
-4.964387330544749,324,107.95,430,0.07,48939,19464,0.07143375370651484
-4.6054011749495665,331,101.44,440,0.07,49717,19856,0.10866299731424078
-4.090844602700943,334,91.08,450,0.07,50123,20056,0.1274824941647239
-3.749898756323518,338,84.4,460,0.07,50623,20304,0.052038490714039654
-3.5179137591245846,342,79.97,470,0.07,51051,20520,0.06067777145653963
-3.227526130233297,349,72.72,480,0.07,51952,20968,0.0708959759795107
-3.1301385432366104,355,71.39,490,0.07,52615,21304,0.09188582899514586
-3.1566726009863033,361,73.12,500,0.07,53439,21712,0.08852978463983163
-2.9467594705315836,366,69.07,510,0.07,54009,22000,0.05147347960155457
-2.953554383473488,372,69.94,520,0.07,54745,22368,0.06898374282172881
-2.8556721265785656,381,67.34,530,0.07,55773,22880,0.09658522077370435
-2.9804113811710273,389,69.57,540,0.07,56774,23384,0.06103492242982611
-3.188435069804348,398,76.06,550,0.07,57829,23912,0.057917107187677175
-3.1747013007064737,402,76.06,560,0.07,58329,24160,0.07740873005241156
-3.40565816026775,411,82.38,570,0.07,59389,24688,0.08125523658236489
-3.3463614828177173,418,81.36,580,0.07,60188,25088,0.07721268915338442
-3.492643795603442,428,86.4,590,0.07,61355,25672,0.10924890742171556
-3.570418422507581,437,88.56,600,0.07,62395,26192,0.1233602877764497
-3.7648209191249737,446,94.87,610,0.07,63596,26792,0.12441423180280253
-3.771904808405279,454,96.57,620,0.07,64502,27248,0.0695596684818156
-3.968061663158839,467,101.24,630,0.07,65997,27992,0.08968917478341609
-3.94500845072157,478,104.29,640,0.07,67303,28648,0.061225419340189546
-4.233470370623894,492,111.0,650,0.07,69029,29512,0.031471357971895486
-4.299375874912086,499,113.95,660,0.07,69824,29904,0.08623767382232472
-4.211786833160975,507,112.36,670,0.07,70725,30360,0.06799488436081447
-4.1985866539318115,516,113.93,680,0.07,71681,30840,0.03096099433605559
-4.2630637139138505,527,115.0,690,0.07,72955,31472,0.05860468506580219
-4.264086113452601,537,115.5,700,0.07,74045,32016,0.059287564508849755
-4.024350063262603,543,110.63,710,0.07,74759,32376,0.08661896194098517
-3.9475624237422915,551,110.83,720,0.07,75685,32840,0.09756219817791134
-3.7879229245852697,561,109.24,730,0.07,77021,33504,0.09923507232451811
-3.905355447741327,573,109.1,740,0.07,78313,34152,0.09778072402696125
-3.830588326956774,587,110.63,750,0.07,80192,35088,0.09490064709098078
-4.0279381976484965,597,115.94,760,0.07,81518,35752,0.06748485527350567
-4.230468926824037,607,119.86,770,0.07,82811,36400,0.09800373391772155
-4.1859642741048875,612,116.86,780,0.07,83467,36728,0.10547591664362699
-3.9912784928091853,618,111.5,790,0.07,84205,37096,0.0509189976437483
-4.102808641263104,627,112.86,800,0.07,85431,37712,0.0773166346916696
-4.490067304519787,639,120.62,810,0.07,86921,38456,0.05106330828857608
-4.693730155505442,650,124.05,820,0.07,88190,39088,0.11669695939053781
-4.977508813627966,663,125.57,830,0.07,89678,39832,0.10548733363975771
-5.158883799340742,675,127.81,840,0.07,91194,40592,0.05850409681443125
-5.0157579247092166,686,121.09,850,0.07,92401,41200,0.040413540438748896
-4.767918830380006,690,113.54,860,0.07,92972,41480,0.08725258092454169
-4.656748457754063,698,110.9,870,0.07,94001,42000,0.05802967998897657
-5.147980271998547,712,122.17,880,0.07,95784,42888,0.05764485371764749
-5.173829057639439,718,123.44,890,0.07,96649,43320,0.057883957924786955
-5.064550604332425,725,120.96,900,0.07,97627,43808,0.06670697423396632
-4.942814512499673,735,118.17,910,0.07,98838,44416,0.08442407642723992
-4.8759333221536965,742,114.76,920,0.07,99766,44880,0.09601775181363337
