rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
-9.604169089349444,0.2811100000000002,272,153.6,0.01865901915698487,1546,10,4
-11.04376375583595,0.07,1200,169.05,0.00921952371027146,3401,20,16
-9.323845276941107,0.07,1984,164.46666666666667,0.018394936585536925,4964,30,25
-7.623117954391648,0.07,2464,147.275,0.02767845962262072,5931,40,30
-6.356008496814434,0.07,2648,124.9,0.05533018766800524,6295,50,32
-5.4838981273957605,0.07,2824,109.88333333333334,0.08275123054772848,6653,60,34
-5.000396995618242,0.07,3208,105.05714285714286,0.06346497102640569,7424,70,38
-4.5364117469252765,0.07,3408,96.6625,0.0641936279280344,7813,80,40
-4.14186682455921,0.07,3584,89.74444444444444,0.05427965089620557,8167,90,42
-3.8270694579595714,0.07,3720,83.38,0.10848450846970081,8438,100,43
-3.0875763128089146,0.07,3944,72.47,0.12635120120830834,8893,110,46
-1.9225080991780699,0.07,4064,56.32,0.13304380886256695,9133,120,48
-1.4066121785873031,0.07,4168,42.74,0.1856425777077675,9338,130,49
-1.218709389368497,0.07,4256,34.84,0.08822463039541617,9515,140,50
-1.1731864927516011,0.07,4400,33.99,0.08068520913366228,9794,150,51
-1.1484894455755128,0.07,4504,32.51,0.12318792619043961,10004,160,53
