rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.3318647499999998,310,78.54,149,28737,-4.027543174573949,9368,0.10001930734142661
0.3166825,320,76.58,154,29390,-3.941290258434068,9688,0.05310022970661521
0.2933162500000003,330,76.66,161,30395,-3.932814364384484,10192,0.09355045866686851
0.27004300000000003,340,79.25,169,31396,-4.094212765948564,10696,0.10799742618110031
0.2322152500000001,350,87.16,181,33023,-4.484124171803586,11504,0.07240408728830516
0.20959300000000003,360,90.77,189,33996,-4.684417551180922,11992,0.1113087113481015
0.18964449999999988,370,90.91,196,34854,-4.7116331512484395,12424,0.10063308360986412
0.16741750000000044,380,93.08,203,35810,-4.8278992526061595,12904,0.14225313253700733
0.13988950000000022,390,98.14,212,36994,-5.077377296498872,13496,0.13532691006548703
0.11391924999999992,400,103.23,221,38111,-5.358957003888228,14048,0.13317635911516845
0.08922775000000038,410,103.36,229,39173,-5.322405202623965,14584,0.08061961317434907
0.07,420,108.77,239,40367,-5.507735621879102,15176,0.14602279046084732
0.07,430,106.44,245,41139,-5.381937857877819,15568,0.056374130421318114
0.07,440,111.06,256,42602,-5.558906385161456,16296,0.038215733133256435
0.07,450,111.32,270,44255,-5.521466110491414,17120,0.06745956558734179
0.07,460,116.57,282,45753,-5.727535363562692,17872,0.08484942687209696
0.07,470,116.56,288,46610,-5.739237428806229,18304,0.09006433328613639
0.07,480,124.03,302,48313,-6.096077061659908,19152,0.08045727829448879
0.07,490,125.57,313,49651,-6.146392548968289,19824,0.06056233053095639
0.07,500,133.31,328,51542,-6.512250948340568,20768,0.08186633419245481
0.07,510,136.1,338,52883,-6.616759929558345,21440,0.05447712144814432
0.07,520,130.67,344,53534,-6.3803872956401175,21760,0.08045245183166116
0.07,530,131.41,350,54380,-6.372710984756753,22184,0.07270071131642908
0.07,540,132.97,363,55999,-6.415369080665622,22992,0.13510736700845882
0.07,550,123.48,369,56703,-5.970227220099587,23344,0.08010704268235713
0.07,560,124.9,382,58343,-6.015042900633684,24168,0.09749365010065958
0.07,570,125.82,389,59292,-6.0088530317946685,24640,0.08883388992398977
0.07,580,120.79,399,60492,-5.712671260643113,25240,0.0607322616269812
0.07,590,119.99,409,61750,-5.630974629069212,25872,0.1515684467740357
0.07,600,111.55,417,62797,-5.172816873832635,26392,0.12586757796816528
0.07,610,111.54,428,64137,-5.188050604099025,27064,0.10692731849849224
0.07,620,111.86,433,64820,-5.223225697934083,27408,0.07960551255382597
0.07,630,112.13,440,65693,-5.282484555479936,27840,0.06709342286922038
0.07,640,103.67,446,66466,-4.8892817022936885,28232,0.14665074460208416
0.07,650,109.06,456,67709,-5.09356252405924,28848,0.10943652642890811
0.07,660,99.02,461,68345,-4.665427859393301,29168,0.08000274043297395
0.07,670,96.53,467,69045,-4.643459395533371,29520,0.09102896740660071
0.07,680,95.33,475,70125,-4.624981697449488,30056,0.07124803168699145
0.07,690,92.3,482,71080,-4.495793478509295,30536,0.11068297794554383
0.07,700,94.31,491,72328,-4.544244201028278,31160,0.07255465548951179
0.07,710,90.92,499,73329,-4.302055368390792,31664,0.0907933801645413
0.07,720,92.85,505,74205,-4.46855882635957,32096,0.06061621359549463
0.07,730,94.14,512,75207,-4.474152713850067,32600,0.1116479350021109
0.07,740,97.05,520,76271,-4.555277744777123,33128,0.13479930208995938
0.07,750,92.96,527,77105,-4.324183052867031,33552,0.0938563538948074
0.07,760,96.34,535,78079,-4.349904397033927,34032,0.07083725975826383
0.07,770,95.73,540,78718,-4.15871044043919,34352,0.08113978715846315
0.07,780,90.21,544,79246,-3.8701794782204564,34616,0.10359730804339051
0.07,790,86.97,549,79877,-3.624112659414607,34936,0.08838300441857427
0.07,800,81.92,555,80620,-3.452762242322655,35304,0.04463697667233646
0.07,810,78.48,560,81277,-3.277678944032228,35632,0.07218895963160321
0.07,820,76.85,566,81990,-3.0463033363858973,35992,0.12128065957222134
0.07,830,73.35,571,82642,-2.856015726876554,36320,0.09596865577623248
0.07,840,65.7,573,82941,-2.5328977175988294,36464,0.1361155934864655
0.07,850,64.71,579,83676,-2.48155751352772,36832,0.07798570086015388
0.07,860,59.92,583,84171,-2.356698650742283,37080,0.07717190531548113
0.07,870,62.88,591,85106,-2.498602575145883,37552,0.10739863727940246
0.07,880,67.98,598,86144,-2.6542925033589944,38064,0.11387968482449651
0.07,890,67.33,602,86710,-2.7037433888913203,38352,0.06979065644554794
0.07,900,66.88,608,87408,-2.659279340872077,38696,0.10923165176063776
0.07,910,68.71,615,88248,-2.7400232650949796,39120,0.08698244404513389
0.07,920,72.73,624,89363,-2.8335217261469876,39680,0.08598689403152093
0.07,930,79.84,634,90726,-3.1088268040582596,40360,0.0811162744066678
0.07,940,83.33,639,91374,-3.25426775880133,40680,0.053724585042800754
0.07,950,85.42,647,92318,-3.3729367574486395,41152,0.06959319277666509
0.07,960,85.45,651,92816,-3.41078391457763,41400,0.08435256889788434
0.07,970,84.1,657,93616,-3.4263565178182467,41800,0.08141902060015127
0.07,980,80.31,662,94275,-3.3152809220890394,42136,0.1180351534858346
0.07,990,80.27,667,94837,-3.315686321126259,42416,0.0664636212750338
0.07,1000,83.89,675,95897,-3.4617029601447133,42944,0.08582279901020229
0.07,1010,88.72,686,97220,-3.71856037311006,43608,0.10755070066079497
0.07,1020,83.04,690,97767,-3.619949193267539,43880,0.07505949109327048
0.07,1030,75.81,695,98407,-3.3735171100670573,44200,0.1333820890286006
0.07,1040,75.99,700,99073,-3.4399019174588443,44536,0.07197040907340124
0.07,1050,75.51,707,99969,-3.4678006283069056,44984,0.0865970968734473
