rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,train/loss,train/n_updates
-2.8045273403873354,496,10,0.9884679999999998,0,48.6,,
-4.155031239505344,1453,20,0.9662177500000002,1,71.65,,
-5.201672725244552,2787,30,0.9352022499999999,2,91.9,,
-5.371267023408386,3916,40,0.9089529999999998,4,96.9,,
-5.398599276304988,5005,50,0.8836337500000002,5,99.1,,
-5.39540110818823,5921,60,0.8623367500000001,6,97.68333333333334,,
-5.254632442920803,6791,70,0.8421092500000003,8,96.01428571428572,,
-4.908006101653891,7293,80,0.8304377500000002,8,90.1625,,
-5.0899094925182915,8571,90,0.8007242500000001,10,94.23333333333333,,
-4.946042117985887,9286,100,0.7841005000000001,11,91.86,,
-4.925786752009147,9842,110,0.7711735000000002,12,92.46,,
-4.555074343032602,10242,120,0.7618735000000001,13,86.89,0.10298652232449967,120
-4.2883130377109,11101,130,0.7419017499999999,18,82.14,0.16720709390938282,544
-4.0167222562298335,11794,140,0.7257895000000002,21,77.78,0.07426899837810197,896
-3.799713225983409,12445,150,0.7106537500000002,25,73.4,0.08337601530365646,1216
-3.802327443311142,13573,160,0.6844277500000002,30,75.52,0.11982505989726633,1784
-3.996936576179925,14916,170,0.6532030000000002,37,80.25,0.11056831091991626,2456
-4.532263063800864,16599,180,0.6140732499999999,46,92.06,0.08411426589009352,3296
-4.3626849392175915,17662,190,0.5893585000000001,51,89.91,0.11074822145747021,3824
-4.536658908950261,18874,200,0.5611795000000002,58,94.88,0.1191447377204895,4432
-5.068970896885556,20642,210,0.5200735,67,107.0,0.09359601477626711,5320
-5.703366683093326,22487,220,0.47717725000000033,77,121.45,0.08423621172551066,6240
-5.9885545967616824,24184,230,0.43772199999999994,86,129.83,0.10042637411970645,7088
-6.332413566922457,25696,240,0.4025679999999998,94,138.02,0.10837449284736067,7840
-6.640878058581787,27172,250,0.3682510000000001,103,146.27,0.02583765401504934,8584
-6.637282865645232,28415,260,0.3393512500000003,110,147.42,0.08212986052967608,9200
-6.8729137057242005,30450,270,0.29203750000000017,121,154.34,0.08093950664624572,10224
-6.9223253377633425,32406,280,0.24656050000000007,132,157.07,0.091033915290609,11200
-7.4152988300693154,34786,290,0.19122550000000005,146,170.24,0.06502436206210405,12392
-7.569395146955781,36532,300,0.15063099999999996,155,175.58,0.07199576881248504,13264
-7.757659202328739,39022,310,0.09273850000000017,169,182.8,0.056737025268375874,14504
-7.904425670565454,41474,320,0.07,182,188.87,0.03228676167782396,15736
-8.174273138773067,44151,330,0.07,197,198.67,0.05505306797567755,17072
-8.525781592513198,46727,340,0.07,210,209.31,0.053333172807469964,18360
-8.90107049580413,49415,350,0.07,225,221.43,0.07732644566567615,19704
-9.262253466750911,51885,360,0.07,238,233.7,0.021134103822987527,20936
-9.068486799493161,53863,370,0.07,249,233.13,0.04585928225424141,21928
-9.044174058355193,56083,380,0.07,261,235.77,0.045288257650099695,23040
-9.023483732537645,58767,390,0.07,275,238.81,0.020665707474108785,24376
-9.279615932773531,61296,400,0.07,289,246.64,0.05358712503220886,25640
-8.940639214084136,63054,410,0.07,298,239.32,0.04471262410515919,26520
-8.805747085801702,65322,420,0.07,311,237.48,0.044822974130511284,27656
-8.645667695336794,67647,430,0.07,323,233.96,0.04511873974115588,28816
-8.353495810689441,69609,440,0.07,334,227.82,0.05504886087146588,29800
-8.313915007230733,72222,450,0.07,348,227.07,0.02886629939894192,31104
-8.439149784152038,74966,460,0.07,363,229.81,0.028534825367387384,32480
-8.747442194852509,77573,470,0.07,377,236.1,0.05440628150245175,33784
-9.04293175046761,80434,480,0.07,392,242.51,0.04725082535878755,35216
-8.96337421946163,82727,490,0.07,404,238.6,0.03701755894871894,36360
-8.984467466836328,85420,500,0.07,419,240.24,0.04732847222476266,37704
-9.365418740521633,88204,510,0.07,434,250.5,0.02053994774178136,39096
-9.43431769489776,90786,520,0.07,448,253.64,0.04806577894487418,40392
-9.53246381452779,93400,530,0.07,462,256.53,0.04831562118488364,41696
-9.82035671989775,96185,540,0.07,477,264.76,0.04882112899213098,43088
-9.721172606531129,98671,550,0.07,490,263.49,0.030323086481075734,44328
-9.61362464550583,101285,560,0.07,504,262.19,0.020949515645042993,45640
-9.636162074953557,104186,570,0.07,520,265.13,0.040367333946051076,47088
-9.352027143411327,106588,580,0.07,533,260.54,0.031301353497838136,48288
-9.325595975049511,109127,590,0.07,547,263.0,0.02963244378042873,49560
-9.255454340543649,111911,600,0.07,561,263.91,0.0007015942537691444,50952
-9.136977979989828,114624,610,0.07,576,263.2,0.0109537763564731,52304
-9.035553970997615,117031,620,0.07,589,261.45,0.02117036739946343,53512
-9.08891385879998,120031,630,0.07,605,265.31,0.031184951614704914,55008
-9.039528451381393,122915,640,0.07,621,266.3,0.02134706496144645,56456
-9.050662924560966,125656,650,0.07,635,268.85,0.010824008673807839,57824
-9.048718060515625,128365,660,0.07,650,269.8,0.010805256619278225,59176
-9.058721633287199,131365,670,0.07,667,270.79,0.010918269432295347,60680
-9.221492488921827,134276,680,0.07,684,275.88,0.011053701968194218,62136
-9.381328277344249,137276,690,0.07,700,280.49,0.010897264131926931,63632
-9.48515329334015,140276,700,0.07,716,282.65,0.0003073274092457723,65136
-9.594213109508617,143276,710,0.07,732,285.52,0.011254281724177417,66632
-9.691814648512855,145977,720,0.07,747,288.46,0.011346158500600723,67984
-9.56586355853197,148680,730,0.07,762,285.49,0.03244043603990576,69336
-9.612248332259426,151680,740,0.07,778,286.65,0.02218516436550999,70832
-9.713327619242483,154680,750,0.07,794,289.24,0.011385766432795208,72336
-9.813770914514393,157680,760,0.07,810,292.15,0.011394308074159198,73832
-9.82995692537834,160680,770,0.07,826,292.15,0.03293518975988263,75336
-9.858895838712963,163680,780,0.07,842,293.04,0.011414765551307937,76832
-9.858259401628537,166680,790,0.07,858,293.04,0.011493613077618647,78336
-9.864785221746844,169680,800,0.07,874,293.04,0.011290221943454526,79832
-9.880149793636182,172680,810,0.07,890,293.04,0.00022392475148080848,81336
-9.983143034071006,175680,820,0.07,906,296.03,0.00014984158588049468,82832
-10.01317808449556,178475,830,0.07,922,296.95,0.01151114096865058,84232
-9.928777354334782,181219,840,0.07,937,294.39,0.034407692659442546,85608
-9.943652490061224,184219,850,0.07,953,294.39,0.011520938998728525,87104
-9.933949712469003,187219,860,0.07,969,294.39,0.00011297485343675362,88608
-9.927224110535622,190219,870,0.07,985,294.39,0.00011922351040993817,90104
-9.95417319857071,193219,880,0.07,1001,294.39,9.80214372248156e-05,91608
-9.956554983496824,196219,890,0.07,1017,294.39,0.011670747382595437,93104
-9.896190803200431,199035,900,0.07,1032,292.55,8.516509842593223e-05,94512
