rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
-1.8817591415650674,570,67693,0.21306887500000005,55.82,440,23840,0.07135933917015791
-1.8144888863081183,575,68202,0.20715174999999997,54.37,450,24096,0.07584145106375217
-1.85045327856895,581,68846,0.19966525000000002,55.37,460,24416,0.06112254969775677
-1.8698874528896348,587,69489,0.19219037500000002,55.54,470,24744,0.07238782104104757
-1.8331800657528448,592,70058,0.18557575000000004,54.73,480,25024,0.07398401806131005
-1.855838566043145,598,70600,0.17927500000000007,54.88,490,25296,0.07514554681256413
-1.887641392721835,603,71197,0.172334875,55.31,500,25592,0.05783714936114848
-1.8774391408253501,608,71724,0.1662085000000002,55.53,510,25856,0.055684343446046114
-1.875143888187798,613,72250,0.16009374999999992,55.56,520,26120,0.061967610381543636
-1.8708579328430313,619,72797,0.15373487500000005,55.36,530,26392,0.06294392747804523
-1.8826297276133153,624,73322,0.14763175000000017,55.29,540,26656,0.06658595008775592
-1.8622012636983074,628,73800,0.14207500000000006,54.98,550,26896,0.06938293715938926
-1.949244541082322,636,74535,0.13353062500000012,55.89,560,27264,0.040446523344144225
-1.8968822982451545,641,75064,0.1273810000000002,54.75,570,27528,0.05795157980173826
-1.9181385419525514,646,75651,0.12055712500000004,54.93,580,27824,0.06174696423113346
-1.883552011062145,651,76135,0.11493062500000006,54.35,590,28064,0.07574199046939611
-1.8920049202901015,658,76821,0.10695587500000037,55.24,600,28408,0.051950900349766016
-1.862711717460592,662,77261,0.10184087500000005,54.37,610,28624,0.05208591837435961
-1.8622161868135612,667,77746,0.09620275000000011,53.96,620,28872,0.05358026409521699
-1.8298459666396616,671,78233,0.09054137500000015,53.36,630,29112,0.0662357322871685
-1.8120563166744623,676,78745,0.08458937500000008,53.23,640,29368,0.053636990021914244
-1.7916383383480994,680,79150,0.07988125000000001,52.5,650,29568,0.05958138918504119
-1.6972505330642227,687,79795,0.07238312499999999,51.6,660,29896,0.0512321749702096
-1.638343369308417,690,80206,0.07,50.42,670,30096,0.04593008570373058
-1.6004364008306942,696,80746,0.07,49.95,680,30368,0.048297657165676355
-1.564262609509221,700,81156,0.07,49.21,690,30576,0.05367235210724175
-1.5865481551634426,706,81834,0.07,49.13,700,30912,0.04423676570877433
-1.6494924212724582,711,82376,0.07,50.15,710,31184,0.040837209206074476
-1.735368346152282,719,83214,0.07,53.68,720,31600,0.0442963729146868
-1.8285179454655498,728,84105,0.07,57.72,730,32048,0.054823010228574276
-1.8178038385540376,734,84719,0.07,58.74,740,32352,0.04244905197992921
-1.9152341504188783,745,85941,0.07,66.91,750,32968,0.03583459020592272
-2.09329266808823,761,87641,0.07,77.46,760,33816,0.03614892205223441
-2.51870781341448,784,90024,0.07,97.18,770,35008,0.039721140172332525
-3.4890354644230617,810,92766,0.07,119.2,780,36376,0.03244876698590815
-4.30823297926221,839,95766,0.07,145.1,790,37880,0.02785440068691969
-4.742903308917589,862,98189,0.07,162.55,800,39088,0.026406137505546212
-5.226007771173513,889,101015,0.07,185.39,810,40504,0.02794402977451682
-5.5410838913021845,912,103497,0.07,201.83,820,41744,0.02353451820090413
-6.650843618431928,940,106405,0.07,222.0,830,43200,0.02602826221846044
-7.466176234617351,969,109405,0.07,245.86,840,44696,0.020626218290999532
-8.37582154054631,997,112405,0.07,263.64,850,46200,0.019992389366962016
-8.881117349664212,1025,115405,0.07,276.64,860,47696,0.016857029986567795
-9.544807175084872,1050,118079,0.07,279.55,870,49032,0.014044075272977352
-9.1389383055649,1073,120393,0.07,275.27,880,50192,0.015093769412487745
-9.565284081202964,1100,123328,0.07,274.62,890,51656,0.018126339418813586
-9.58795716770402,1126,126056,0.07,277.67,900,53024,0.01374883542302996
-9.484022284774536,1153,128961,0.07,278.46,910,54480,0.015241002081893384
-9.348609950028928,1175,131284,0.07,276.87,920,55640,0.01438129844609648
-8.606364164931891,1203,134284,0.07,277.79,930,57136,0.01518186368048191
-8.17118342943117,1227,136731,0.07,272.26,940,58360,0.014462367864325643
-7.487425685807174,1246,138834,0.07,263.29,950,59416,0.01141166256275028
-7.270464035418429,1274,141737,0.07,262.32,960,60864,0.016171749914065003
-6.9617407639660795,1300,144612,0.07,264.33,970,62304,0.008828949998132885
-7.485783841315768,1329,147612,0.07,271.19,980,63800,0.010949603980407119
-6.889965967301225,1355,150373,0.07,269.45,990,65184,0.010566832846961915
-6.995706771758449,1383,153295,0.07,271.39,1000,66640,0.008527674595825374
-7.526724649148902,1409,156000,0.07,269.39,1010,67992,0.00892379297874868
-7.991927471413799,1432,158465,0.07,270.81,1020,69232,0.010256939334794879
-8.007354611103922,1452,160496,0.07,261.12,1030,70240,0.00806978257605806
-8.622419556885138,1477,163206,0.07,263.75,1040,71600,0.006553559738676995
-9.33813839672855,1505,166206,0.07,272.72,1050,73096,0.006478656199760735
-9.505243251574017,1531,168886,0.07,270.49,1060,74440,0.005729003343731165
-9.300844240082007,1553,171295,0.07,265.83,1070,75640,0.006728547275997698
-8.698408190414288,1577,173785,0.07,260.73,1080,76888,0.0053897700272500515
-8.354604862887204,1594,175625,0.07,251.52,1090,77808,0.00544205610640347
-7.91383190093454,1613,177586,0.07,241.91,1100,78792,0.0052910823142156005
-7.129801621998082,1624,178735,0.07,226.35,1110,79360,0.0059861429035663605
-6.690942189191106,1640,180504,0.07,219.39,1120,80248,0.004938947997288778
-6.349201621724097,1653,181752,0.07,211.56,1130,80872,0.004875761107541621
-5.507052630992893,1667,183266,0.07,199.6,1140,81632,0.004787800426129252
-4.765997572996687,1686,185349,0.07,190.43,1150,82672,0.004805332806427032
-4.308804486462227,1704,187195,0.07,182.09,1160,83592,0.005246402753982693
-4.067181663804155,1720,188886,0.07,174.91,1170,84440,0.005275661183986813
-3.885732262868211,1738,190789,0.07,169.04,1180,85392,0.004891128541203216
-3.7916245816531835,1752,192279,0.07,165.54,1190,86136,0.004556454427074641
-3.7324595769807423,1762,193371,0.07,156.85,1200,86680,0.004473807901376858
-3.904357151020231,1781,195283,0.07,164.48,1210,87640,0.004382053040899336
-3.9285142939192643,1801,197441,0.07,168.37,1220,88720,0.004026009264634922
-4.015617379250404,1815,198859,0.07,170.07,1230,89424,0.0038324843626469374
-3.9130717720029766,1823,199769,0.07,164.03,1240,89880,0.004436568764504045
