rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9413635,10,2,2522,251.2,-14.823758744939951,,
0.9073255,20,4,3986,198.3,-10.950431915667972,,
0.8587330000000002,30,6,6076,201.53333333333333,-11.850173193137332,,
0.8259505000000003,40,8,7486,186.15,-10.850327682906293,,
0.7763815000000002,50,12,9618,191.36,-11.09739967062643,,
0.7165825000000003,60,23,12190,202.16666666666666,-11.539978684833564,1088,0.02767767480781913
0.66531625,70,34,14395,204.64285714285714,-11.47377290545381,2192,0.04591369259378553
0.6389275000000001,80,39,15530,193.125,-10.602670381355626,2760,0.02750822242887807
0.6053312499999999,90,47,16975,187.61111111111111,-10.088313126776892,3480,0.06340743125474546
0.5828717499999998,100,52,17941,178.41,-9.478436566329858,3968,0.009406884139025351
0.55106575,110,59,19309,166.87,-8.535644065661849,4648,0.04531368338211905
0.5271414999999997,120,64,20338,162.52,-8.257656051891642,5168,0.053776867120177485
0.4887325000000001,130,73,21990,158.14,-7.50151578595091,5992,0.027191306224267464
0.4561592499999999,140,80,23391,158.05,-7.2448501103475245,6688,0.04467700034729205
0.4227955000000002,150,87,24826,151.08,-6.595699614434307,7408,0.035866493490175344
0.39040825000000023,160,95,26219,139.29,-5.749412101246488,8104,0.04376009703264572
0.3546265000000003,170,103,27758,132.63,-5.183028059866838,8872,0.018397471387288533
0.32860975000000014,180,109,28877,132.47,-5.158055147499465,9432,0.05964869476156309
0.2979197499999999,190,116,30197,131.22,-5.02661367370856,10096,0.05069171001377981
0.2578134999999999,200,126,31922,138.81,-5.235471343019635,10960,0.03513819942600094
0.22400799999999998,210,134,33376,139.67,-5.163419956497133,11680,0.010937740065855905
0.18390174999999997,220,143,35101,146.63,-5.30507933195074,12544,0.026053257373860106
0.13051975000000038,230,156,37397,153.07,-5.42195317263081,13696,0.03396595490630716
0.08897200000000016,240,165,39184,156.93,-5.457602190146356,14584,0.04975552816176787
0.07,250,173,40590,156.64,-5.335768667489581,15288,0.0628727413713932
0.07,260,183,42548,162.29,-5.370924794540237,16272,0.019182937074219808
0.07,270,193,44522,166.64,-5.41056642557974,17256,0.012166426226031035
0.07,280,200,45929,169.52,-5.412224638386002,17960,0.018921112234238535
0.07,290,204,46686,163.89,-5.168505351392695,18336,0.039254102448467165
0.07,300,215,48699,166.77,-5.1281203736127114,19344,0.06814228865550831
0.07,310,227,51027,175.51,-5.3078125372619605,20512,0.03464074194198474
0.07,320,234,52458,172.57,-5.130342444140052,21224,0.041232646559365094
0.07,330,244,54313,168.16,-4.9158730868250515,22152,0.03309544641524553
0.07,340,252,55888,166.04,-4.783015430701134,22936,0.040263749193400145
0.07,350,263,57927,172.37,-4.91314326504587,23960,0.018784780171699822
0.07,360,271,59575,169.27,-4.8077170906691045,24784,0.012785440747393295
0.07,370,278,60864,162.42,-4.591633808024644,25424,0.019094852090347558
0.07,380,289,63064,170.35,-4.778967747432922,26528,0.03393925749696791
0.07,390,296,64299,175.13,-4.902616820558012,27144,0.05220024939626455
0.07,400,302,65554,167.55,-4.673807360873309,27776,0.06405506131704897
0.07,410,313,67528,164.01,-4.501503875688062,28760,0.05963426362723112
0.07,420,318,68492,159.34,-4.367495367411025,29240,0.032908960361965
0.07,430,323,69508,150.95,-4.133811642940434,29752,0.05551478185225278
0.07,440,330,70881,148.93,-4.0603437333403045,30440,0.027241434319876134
0.07,450,336,71963,139.36,-3.786272246443965,30976,0.03386962157674134
0.07,460,342,73141,134.66,-3.6450331229675417,31568,0.038379293167963624
0.07,470,348,74286,133.22,-3.5766491615477047,32136,0.03922421525930986
0.07,480,353,75240,120.76,-3.209209409446945,32616,0.04437786428024992
0.07,490,360,76675,122.76,-3.2537867322247975,33336,0.038952552480623126
0.07,500,367,78006,123.52,-3.28909327628928,34000,0.038091615424491465
0.07,510,374,79362,117.34,-3.1666277272569308,34680,0.037209292699117213
0.07,520,383,81029,124.37,-3.3576171825065195,35512,0.04505515523487702
0.07,530,388,81975,123.67,-3.3373221651332465,35984,0.03940751071786508
0.07,540,395,83403,124.22,-3.3466628842531327,36696,0.04424475383711979
0.07,550,402,84664,126.01,-3.360814998965679,37328,0.0389330493635498
0.07,560,410,86229,129.88,-3.471171098633414,38112,0.03690320870373398
0.07,570,417,87608,132.22,-3.5277201585092577,38800,0.018878837290685624
0.07,580,424,89036,136.96,-3.637949273836412,39512,0.04948742873966694
0.07,590,430,90132,133.57,-3.5117460494162844,40064,0.025447103776969016
0.07,600,437,91461,133.55,-3.473773304600853,40728,0.04454049136256799
0.07,610,441,92278,128.16,-3.3502700470225877,41136,0.031810364220291376
0.07,620,446,93200,120.71,-3.137750846362995,41592,0.036472484935075045
0.07,630,456,94945,128.7,-3.305422172422551,42472,0.03946746251313016
0.07,640,462,96210,127.07,-3.2600697059388763,43104,0.04460209864191711
0.07,650,466,96949,121.85,-3.1455791917132268,43472,0.03708169766468927
0.07,660,470,97828,114.99,-2.913404308528888,43912,0.04884906951338053
0.07,670,477,99105,113.97,-2.863900266026464,44552,0.060498028295114636
0.07,680,481,99930,107.94,-2.705003236282855,44960,0.04299161839298904
0.07,690,486,100823,105.91,-2.6560045565778165,45408,0.05339802766684443
0.07,700,490,101653,100.92,-2.534570619203283,45824,0.03877943166298792
0.07,710,497,103052,106.74,-2.6459344587335174,46520,0.01999194285599515
0.07,720,504,104350,110.5,-2.7215636091337676,47168,0.03467579378047958
0.07,730,510,105415,103.7,-2.5711593617862785,47704,0.05493406718596816
0.07,740,515,106413,101.03,-2.522801655876169,48200,0.03615262993844226
0.07,750,521,107490,104.41,-2.601687927052268,48744,0.03646889829542488
0.07,760,526,108469,105.41,-2.6411358483946645,49232,0.023839017376303673
0.07,770,530,109366,101.61,-2.564480290965924,49680,0.06214795005507767
0.07,780,537,110720,106.9,-2.701535031981754,50352,0.03480749879963696
0.07,790,545,112178,112.55,-2.8607656479589183,51088,0.023378813231829554
0.07,800,550,113224,114.71,-2.9039613432697355,51608,0.04016421618871391
0.07,810,555,114204,110.52,-2.7955925319927273,52096,0.05707775545306504
0.07,820,563,115670,112.2,-2.8392820937441376,52832,0.043452948972117156
0.07,830,568,116620,111.05,-2.799635991946575,53304,0.04270654427818954
0.07,840,571,117204,106.91,-2.67436889058828,53600,0.02993604599032551
0.07,850,575,117875,102.85,-2.6482291924506205,53936,0.02876039530383423
0.07,860,579,118655,100.86,-2.629586560313638,54320,0.044626317627262324
0.07,870,583,119428,99.62,-2.61014283896826,54712,0.04964335320983082
0.07,880,587,120337,95.17,-2.4833289565897965,55168,0.03717332903761417
0.07,890,595,121711,94.33,-2.452456266724253,55848,0.030651467706775293
0.07,900,601,122857,95.33,-2.4682625461024754,56424,0.03640525753144175
0.07,910,604,123562,92.58,-2.4086840929736795,56776,0.03981314948759973
0.07,920,607,123985,82.15,-2.1715329822797984,56992,0.0380430847289972
0.07,930,610,124729,80.09,-2.126583361939428,57360,0.06012738909339532
0.07,940,613,125203,78.99,-2.123922985371091,57600,0.07338471570983529
0.07,950,616,125729,77.54,-2.033070994580765,57864,0.04263109405292198
0.07,960,621,126716,79.61,-2.0765715341934325,58352,0.04488021694123745
0.07,970,624,127378,78.5,-2.052593911976663,58688,0.041462895926088095
0.07,980,630,128560,81.23,-2.1349777527672256,59272,0.06440652994206175
0.07,990,633,129110,72.99,-1.9531881227131922,59552,0.05128817004151642
0.07,1000,636,129700,67.43,-1.8484470530880708,59848,0.036421296128537506
0.07,1010,640,130490,68.28,-1.860164973596622,60240,0.057227614626754075
