rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss
-6.965681054556711,94782,740,0.07,880,157.46,42384,0.04404834256274626
-6.9179223017504095,96279,754,0.07,890,159.57,43136,0.0430880599305965
-6.465670656393048,97189,762,0.07,900,151.32,43592,0.11616411036811769
-5.914462325515923,98676,776,0.07,910,144.37,44336,0.11944033019244671
-5.743594597576878,100231,789,0.07,920,142.98,45112,0.1665404073719401
-5.655827641197253,102125,807,0.07,930,140.37,46056,0.04427545767975971
-6.055524906399057,104063,825,0.07,940,146.51,47024,0.08800385025097057
-6.250386472901575,105626,839,0.07,950,150.75,47808,0.07894498872337863
-6.649081949961471,107813,859,0.07,960,155.31,48904,0.08270815905416384
-6.603383295564688,108863,867,0.07,970,152.52,49424,0.09252193858264945
-6.806453505133732,110314,879,0.07,980,154.32,50152,0.03973053948720917
-6.739434106760654,111262,886,0.07,990,148.83,50624,0.09691985149402171
-7.031097455358424,112655,897,0.07,1000,153.66,51320,0.09780764789320529
-7.09174845484485,114065,908,0.07,1010,152.89,52032,0.0611334327259101
-7.54722723272092,116623,928,0.07,1020,162.92,53304,0.115429540455807
-7.325296484379111,118040,939,0.07,1030,158.15,54016,0.07928580846055411
-7.020385073829225,119544,951,0.07,1040,153.81,54768,0.023219795228214934
-7.191014967988793,121593,968,0.07,1050,158.67,55792,0.022824547195341438
-6.544543948715259,122220,973,0.07,1060,143.07,56104,0.10103032330516726
-6.985965550899839,124419,990,0.07,1070,154.56,57208,0.04264717729529366
-7.0627209706072245,126286,1004,0.07,1080,158.72,58136,0.09980654646642506
-7.212860216113032,127904,1016,0.07,1090,165.42,58944,0.0709549814928323
-7.225875927459984,129349,1028,0.07,1100,165.94,59672,0.03178000933257863
-7.584465378538165,131813,1047,0.07,1110,176.48,60904,0.09169782866956666
-7.197948877938154,133341,1060,0.07,1120,166.18,61664,0.06286986928898841
-7.505358517914629,135664,1078,0.07,1130,175.24,62824,0.04502429306739941
-7.926340499813043,138202,1098,0.07,1140,185.58,64096,0.07860111980699003
-7.818422902885755,139914,1112,0.07,1150,182.21,64952,0.0336709784460254
-8.233871890798214,141613,1125,0.07,1160,192.93,65800,0.07935710961464792
-8.073858131324723,143380,1139,0.07,1170,188.61,66688,0.054187458503292874
-8.368147211799094,145579,1157,0.07,1180,191.93,67784,0.0624151456868276
-8.622848805110937,147622,1173,0.07,1190,196.18,68808,0.04488172667333856
-8.885698935525468,149706,1190,0.07,1200,202.57,69848,0.06258084950968623
-8.77137757600817,151590,1206,0.07,1210,196.77,70792,0.05055444489698857
-9.040162334564512,153392,1220,0.07,1220,199.51,71688,0.0639486609143205
-9.144998921049613,155562,1238,0.07,1230,197.98,72776,0.05730492202565074
-8.702386816794851,156638,1247,0.07,1240,183.36,73312,0.06597268709447235
-8.753502525855316,158239,1260,0.07,1250,182.25,74112,0.02321638290595729
-8.779044887567329,160104,1275,0.07,1260,183.91,75048,0.07336264487821609
-8.859945787978909,161887,1290,0.07,1270,184.07,75936,0.03128525451757014
-8.569410752374658,163579,1304,0.07,1280,179.0,76784,0.059187245613429695
-8.586480547367712,165691,1321,0.07,1290,179.69,77840,0.048073491285322234
-8.4130577132317,167355,1335,0.07,1300,175.49,78672,0.060228389338590205
-8.310104569845446,169258,1350,0.07,1310,175.68,79624,0.025167842191876844
-8.21464550765026,171397,1368,0.07,1320,179.05,80696,0.033003961958456784
-7.970866659722207,173407,1384,0.07,1330,177.45,81696,0.02191723563009873
-8.114063565892394,175145,1398,0.07,1340,184.07,82568,0.03607258896226995
-7.934110569114235,176667,1411,0.07,1350,183.28,83328,0.07716996193630621
-8.131093829110284,178804,1428,0.07,1360,186.0,84400,0.031778881239006296
-8.241450182355674,180975,1445,0.07,1370,189.88,85480,0.026407989498693496
-8.210017458269272,182671,1459,0.07,1380,189.92,86328,0.02722088515292853
-8.319124363516574,184913,1477,0.07,1390,191.22,87456,0.035920302412705496
-8.355297553059664,186515,1490,0.07,1400,190.6,88256,0.08782635210081935
-8.593385534038015,188643,1508,0.07,1410,192.85,89320,0.03295467363204807
-8.480712834209776,190255,1521,0.07,1420,187.58,90120,0.03530272271018475
-8.653582322434547,192386,1538,0.07,1430,188.79,91192,0.026241053506964818
-8.916972135387287,194541,1556,0.07,1440,192.96,92264,0.043372564774472266
-9.319999768225324,196747,1574,0.07,1450,199.8,93368,0.017032011615810916
-9.494221169486966,199317,1595,0.07,1460,204.13,94656,0.07456164894392714
