rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-6.279999999999992,62.8,0,638,0.9851664999999998,10,,
-7.470000000000001,74.7,1,1514,0.9647995000000001,20,,
-7.476666666666668,74.76666666666667,2,2273,0.9471527500000002,30,,
-9.797500000000017,97.975,5,3959,0.9079532499999999,40,,
-9.562000000000019,95.62,6,4831,0.8876792499999998,50,,
-9.233333333333352,92.33333333333333,7,5600,0.8697999999999999,60,,
-9.444285714285732,94.44285714285714,9,6681,0.8446667499999999,70,,
-9.95375000000002,99.5375,11,8043,0.81300025,80,,
-9.862222222222242,98.62222222222222,13,8966,0.7915404999999999,90,,
-10.510000000000025,105.1,19,10610,0.7533174999999999,100,304,0.06565866850723978
-10.452000000000023,104.52,23,11190,0.7398325000000003,110,592,0.11319041422029841
-11.352000000000027,113.52,36,12966,0.6985405000000003,120,1480,0.07726291515973571
-12.361000000000036,123.61,49,14734,0.6574344999999999,130,2360,0.049181204945853096
-11.93600000000003,119.36,59,15995,0.6281162499999999,140,2992,0.05972798048060213
-12.469000000000037,124.69,69,17400,0.5954500000000003,150,3696,0.08071814654977061
-13.564000000000043,135.64,83,19264,0.5521120000000003,160,4624,0.06250142206044984
-13.51300000000004,135.13,91,20294,0.5281645000000004,170,5144,0.0313963539992983
-13.28400000000004,132.84,100,21427,0.5018222500000001,180,5712,0.02123609216141631
-13.257000000000037,132.57,107,22323,0.48099024999999995,190,6160,0.08516738529579015
-12.900000000000032,129.0,117,23610,0.4510675000000002,200,6800,0.11783743953128578
-13.435000000000034,134.35,126,24725,0.42514375000000015,210,7360,0.043628243132843636
-13.141000000000036,131.41,138,26207,0.39068725000000004,220,8096,0.09808209538459778
-12.389000000000028,123.89,146,27223,0.3670652500000001,230,8608,0.08891965273505775
-12.57200000000003,125.72,158,28667,0.33349225000000005,240,9328,0.12198554469796363
-11.976000000000022,119.76,165,29476,0.3146829999999997,250,9736,0.06792963216139469
-10.850000000000009,108.5,171,30214,0.29752449999999986,260,10104,0.11337090593588073
-10.45400000000001,104.54,176,30848,0.28278400000000037,270,10416,0.10171492652443703
-9.994000000000007,99.94,182,31521,0.26713675000000003,280,10760,0.06926810225559166
-10.25300000000001,102.53,191,32676,0.24028300000000025,290,11336,0.09226352821860928
-9.457000000000006,94.57,195,33167,0.2288672500000004,300,11576,0.12712493009166792
-9.231000000000005,92.31,202,34056,0.2081980000000001,310,12024,0.10403365902311634
-8.578000000000001,85.78,209,34885,0.18892374999999983,320,12440,0.1284738270624075
-8.227000000000002,82.27,215,35550,0.17346250000000019,330,12768,0.13996842282358557
-7.768,77.68,222,36535,0.15056124999999987,340,13264,0.1178981303673936
-7.759000000000002,77.59,229,37335,0.13196124999999992,350,13664,0.10675425920635462
-7.953000000000004,79.53,236,38267,0.11029224999999987,360,14128,0.024989319834276102
-8.228000000000003,82.28,244,39176,0.08915799999999985,370,14584,0.0964777746994514
-8.824000000000005,88.24,255,40445,0.07,380,15216,0.10803164646495134
-8.084000000000001,80.84,258,40860,0.07,390,15424,0.0856161755946232
-8.841000000000003,88.41,269,42108,0.07,400,16048,0.12150938651757315
-9.073000000000006,90.73,279,43229,0.07,410,16608,0.11000123983831145
-9.534000000000004,95.34,289,44519,0.07,420,17256,0.09918082610238343
-10.743000000000011,107.43,305,46393,0.07,430,18192,0.11151562984741759
-10.553000000000008,105.53,311,47188,0.07,440,18592,0.05089875543490052
-11.067000000000009,110.67,322,48502,0.07,450,19248,0.08835198849556036
-10.84100000000001,108.41,328,49208,0.07,460,19600,0.11399670821265317
-10.577000000000009,105.77,333,49853,0.07,470,19920,0.12534661761310417
-10.35400000000001,103.54,342,50899,0.07,480,20448,0.10064431086357217
-10.71200000000001,107.12,349,51672,0.07,490,20832,0.15170268452493474
-10.720000000000006,107.2,359,52928,0.07,500,21456,0.07749413784767967
-10.87700000000001,108.77,370,54206,0.07,510,22096,0.1039014193956973
-10.678000000000006,106.78,380,55297,0.07,520,22648,0.1422452720144065
-9.823000000000002,98.23,388,56316,0.07,530,23152,0.11705770240223501
-9.862000000000002,98.62,395,57150,0.07,540,23568,0.14360649077570997
-9.65,96.5,405,58252,0.07,550,24120,0.11879309713549446
-9.724,97.24,412,59032,0.07,560,24512,0.15580380040046293
-10.24,102.4,422,60193,0.07,570,25096,0.1313654564000899
-10.356000000000002,103.56,432,61355,0.07,580,25672,0.06700595404254273
-10.293000000000001,102.93,438,62065,0.07,590,26032,0.1048220997035969
-9.684,96.84,444,62712,0.07,600,26352,0.07838934441679157
-9.067999999999998,90.68,449,63374,0.07,610,26680,0.14612404454965144
-8.614999999999998,86.15,455,64012,0.07,620,27000,0.09369006229098886
-8.311999999999998,83.12,461,64728,0.07,630,27360,0.18415074299264234
-8.563999999999998,85.64,471,65814,0.07,640,27904,0.10811754588212352
-8.863999999999995,88.64,483,67216,0.07,650,28600,0.09440765068575274
-8.889999999999995,88.9,490,68022,0.07,660,29008,0.06780378102848772
-8.841999999999995,88.42,499,69135,0.07,670,29560,0.1357244715327397
-8.765999999999998,87.66,508,70221,0.07,680,30104,0.12195544733549468
-8.816999999999998,88.17,515,70982,0.07,690,30488,0.1499262284487486
