rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.51116875,98,82.71,260,21025,-3.8180483201047313,5512,0.11274802219122648
0.49842775000000006,102,75.95,270,21573,-3.3692594400572107,5784,0.1044080821739044
0.4858494999999998,107,74.33,280,22114,-3.2909867709737006,6056,0.11171037309395615
0.47166699999999984,111,73.0,290,22724,-3.202971622740602,6360,0.09356217581080273
0.4578332500000001,116,71.98,300,23319,-3.105385287321166,6656,0.12226030509918928
0.445441,120,61.13,310,23852,-2.5352303810389256,6920,0.14993212558329105
0.43535049999999986,124,57.74,320,24286,-2.38493797446693,7136,0.13908010872546583
0.42951474999999983,126,51.95,330,24537,-2.145872870426283,7264,0.08488828112604097
0.4235627500000001,128,48.26,340,24793,-1.9670271290660457,7392,0.1304042434785515
0.41189125000000004,132,45.76,350,25295,-1.8322080051417362,7640,0.13041780050843954
0.4055905000000001,134,44.41,360,25566,-1.789765475722479,7776,0.14974316372536123
0.39171025000000004,139,44.9,370,26163,-1.7854932752260142,8080,0.13116976682795212
0.38380525000000043,142,42.89,380,26503,-1.710192918243697,8248,0.14014328765915707
0.3775510000000002,144,39.48,390,26772,-1.5743747085958473,8384,0.14000865901471116
0.36618175,148,38.42,400,27261,-1.5157356273177465,8624,0.1306795201380737
0.36125275000000023,150,35.21,410,27473,-1.388038206482389,8736,0.1021622460684739
0.3534872499999999,152,34.21,420,27807,-1.341680388852415,8896,0.11153892663423903
0.34451275000000003,155,35.56,430,28193,-1.4130370663249483,9096,0.14777925587259233
0.3351430000000001,158,37.03,440,28596,-1.4811337484869964,9296,0.1384576316922903
0.3254245,162,36.19,450,29014,-1.4529661543453105,9504,0.18400033842772245
0.31319500000000045,166,38.74,460,29540,-1.5675398524468138,9768,0.09213900248869322
0.3051505000000003,169,36.23,470,29886,-1.4795056582016213,9936,0.1363565744832158
0.2956645000000001,172,36.91,480,30294,-1.5358194542271528,10144,0.11975101227289997
0.28462075,176,38.97,490,30769,-1.6007126758744732,10384,0.11082511613494717
0.2770412499999999,179,37.34,500,31095,-1.5501830369481076,10544,0.13883102126419544
0.2677179999999998,182,39.23,510,31496,-1.6318343849574728,10744,0.18240475561469793
0.2557907500000002,186,41.02,520,32009,-1.699725168998248,11000,0.1459051413985435
0.24807175000000015,189,40.48,530,32341,-1.6680751254404687,11168,0.17259191256016493
0.24063174999999992,191,39.65,540,32661,-1.6350742147800994,11328,0.16134131234139204
0.23098300000000027,195,39.62,550,33076,-1.625280900723637,11536,0.16261621366720647
0.22100874999999987,198,38.65,560,33505,-1.5662938198284342,11752,0.17107951204525307
0.2168935000000004,199,36.96,570,33682,-1.4891230239809121,11840,0.17833171493839473
0.20575675000000015,203,37.67,580,34161,-1.5064593070647172,12080,0.17978219781070948
0.19568949999999974,207,37.25,590,34594,-1.5090551314813156,12296,0.18617966677993536
0.1904349999999999,209,36.25,600,34820,-1.4705195441637242,12408,0.13739452604204416
