rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
0.9302499999999999,13,-21.266811539899393,3000,299.0,10,,
0.8604999999999999,27,-20.56400753748934,6000,299.0,20,,
0.7907499999999998,41,-20.367784470051443,9000,299.0,30,,
0.7209999999999999,59,-20.16868248161382,12000,299.0,40,992,0.0001688337742962176
0.65145925,80,-19.84942707894752,14991,298.82,50,2488,0.0002742319684330141
0.5817092500000001,101,-20.008232938606557,17991,298.85,60,3992,0.00045029527973383665
0.5119592499999999,122,-19.64101067842122,20991,298.87142857142857,70,5488,0.0005560313620662782
0.4422092499999999,143,-19.775349585201642,23991,298.8875,80,6992,0.0006882068100821925
0.3734124999999999,165,-19.69201730759121,26950,298.44444444444446,90,8472,0.0007033465335553046
0.30366249999999984,187,-19.752800292076866,29950,298.5,100,9968,0.0014226366693037562
0.2339125000000003,210,-19.76477862661416,32950,298.5,110,11472,0.0008760338241700083
0.1641625000000002,233,-19.857208684076497,35950,298.5,120,12968,0.0005402224487625062
0.09441250000000023,256,-19.873175336262896,38950,298.5,130,14472,0.010464195613167249
0.07,280,-20.151015032551033,41950,298.5,140,15968,0.0005835527845192701
0.07,303,-19.908305905238997,44772,296.81,150,17384,0.0006886357987241354
0.07,327,-19.88965725271066,47772,296.81,160,18880,0.0006261031521717086
0.07,350,-20.04672687010921,50772,296.81,170,20384,0.0006246830598684028
0.07,374,-20.068075173283763,53772,296.81,180,21880,0.0008059993706410751
0.07,398,-20.23625118899117,56772,297.22,190,23384,0.0009461740919505246
0.07,422,-20.18496575446769,59772,297.22,200,24880,0.0009621372082619928
0.07,445,-20.055156923135723,62772,297.22,210,26384,0.000713369096047245
0.07,469,-19.869408804912467,65772,297.22,220,27880,0.0008213563560275361
0.07,493,-19.733197900812854,68772,297.22,230,29384,0.000997365546936635
0.07,515,-19.19844952395754,71571,295.21,240,30784,0.0010794609188451432
0.07,539,-19.548676743941822,74571,296.99,250,32280,0.0006240243310458027
0.07,563,-19.780084022986284,77571,296.99,260,33784,0.0015654608796467073
0.07,586,-19.86580885624322,80571,296.99,270,35280,0.012324249400990084
0.07,610,-19.688706028640475,83571,296.99,280,36784,0.0009732184989843518
0.07,634,-19.833603072719406,86571,296.99,290,38280,0.0014306793127616402
0.07,658,-19.680766145816687,89571,296.99,300,39784,0.0011464876479294617
0.07,682,-19.64030633468437,92571,296.99,310,41280,0.0012725660490104929
0.07,705,-19.518863324976593,95571,296.99,320,42784,0.0010475574781594332
0.07,729,-19.424865288203492,98517,296.45,330,44256,0.0014779551711399108
0.07,753,-19.824508242921823,101517,298.46,340,45752,0.0013420386167126708
0.07,777,-19.89836796690697,104517,298.46,350,47256,0.0008264880598289892
0.07,801,-19.738549905441577,107517,298.46,360,48752,0.012683998946158681
0.07,825,-19.85106489762253,110517,298.46,370,50256,0.001259154436411336
0.07,848,-19.99029192276173,113517,298.46,380,51752,0.001618890768440906
0.07,871,-19.546873439060136,116328,296.57,390,53160,0.013643114689330105
0.07,894,-20.114124469828553,119328,296.57,400,54656,0.0015869934068177827
0.07,921,-20.30191046280118,122328,296.57,410,56160,0.0009334169699286576
0.07,949,-20.82034913499506,125328,296.57,420,57656,0.0008431990136159584
0.07,976,-21.07601612442402,128328,297.11,430,59160,0.0016900654009077698
0.07,1003,-21.039760945396214,131328,297.11,440,60656,0.0008957936988736037
0.07,1033,-20.85984992369684,134328,297.11,450,62160,0.0007399981404887512
0.07,1059,-20.625883883971333,137328,297.11,460,63656,0.0006412271286535542
0.07,1085,-20.575534718350955,140328,297.11,470,65160,0.0011292560957372189
0.07,1111,-20.360588829206495,143167,295.5,480,66576,0.0009785082220332697
0.07,1139,-20.65870929839394,146167,297.39,490,68080,0.0009825048400671221
0.07,1165,-19.94744026331727,149167,297.39,500,69576,0.0012741491154883988
0.07,1187,-19.426355846911697,151761,293.33,510,70880,0.0013625914762087632
0.07,1211,-19.217917834506483,154761,293.33,520,72376,0.0010380164239904843
0.07,1235,-18.835789394157665,157756,293.28,530,73872,0.0016017847447074018
0.07,1259,-18.638622795063405,160756,293.28,540,75376,0.0015992816843208857
0.07,1282,-18.570144178163943,163691,292.63,550,76840,0.0013164197662263177
0.07,1305,-18.68106476824862,166691,292.63,560,78344,0.00208531558746472
0.07,1329,-18.54288681312726,169659,292.31,570,79824,0.0017465614655520767
0.07,1353,-18.896401435094788,172659,293.92,580,81328,0.0018791943657561205
0.07,1376,-18.768050250535666,175659,293.92,590,82824,0.003141149070870597
0.07,1400,-19.017038545245388,178659,293.92,600,84328,0.0026293821501894854
0.07,1424,-19.51066017456705,181659,297.98,610,85824,0.01385935494909063
0.07,1447,-19.221206642953497,184587,297.26,620,87288,0.0033888943144120276
0.07,1471,-19.419840560316665,187587,297.31,630,88792,0.004419132848852314
0.07,1495,-19.454523422449903,190587,297.31,640,90288,0.0027342686807969585
0.07,1519,-19.532587794195805,193587,297.96,650,91792,0.01404138802899979
0.07,1541,-19.237576141391827,196431,296.4,660,93208,0.0034677680814638734
0.07,1565,-19.271885651469166,199431,296.72,670,94712,0.004774403787450865
