rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9954430000000001,10,18.6,0,196,0.5728570918802111,,
0.9634510000000001,20,77.6,1,1572,4.478465681395036,,
0.9525002500000002,30,67.1,2,2043,3.730543934291407,,
0.9317379999999998,40,72.4,3,2936,3.886355856236186,,
0.9115337500000003,50,75.1,4,3805,3.932960338886116,,
0.8939102499999999,60,75.05,6,4563,3.9694027804697365,,
0.8685677500000001,70,79.75714285714285,7,5653,4.227280608948104,,
0.8490377500000001,80,80.1625,9,6493,4.254404400146358,,
0.8380870000000002,90,76.37777777777778,9,6964,3.9617950142756846,,
0.8236022499999998,100,74.87,11,7587,3.8051972151573263,,
0.811582,110,78.08,11,8104,3.999542048161836,,
0.79030825,120,73.47,13,9019,3.616104425430621,,
0.740251,130,90.29,23,11172,4.630717864701392,584,0.11338983311361517
0.7145132500000002,140,92.43,30,12279,4.693957120161993,1136,0.15177223026330466
0.6867760000000002,150,95.67,39,13472,4.820034072988552,1728,0.1525419929967029
0.6661532499999998,160,96.96,45,14359,4.832536004720364,2176,0.07673433610034408
0.6410665000000001,170,96.85,52,15438,4.803407392003765,2712,0.11623200836766046
0.6206995,180,97.21,58,16314,4.756056590001438,3152,0.07890376923023723
0.6002627500000002,190,101.29,65,17193,4.956893154382817,3592,0.06986639399838168
0.57036325,200,107.92,74,18479,5.300435296877928,4232,0.09049513237550855
0.5503915000000004,210,111.34,80,19338,5.409057924211236,4664,0.10129190512816422
0.529141,220,111.33,86,20252,5.340805767092071,5120,0.05248452626983635
0.50275225,230,101.15,94,21387,4.566140724973801,5688,0.1653511389158666
0.4828967500000001,240,98.62,101,22241,4.467887868940952,6120,0.015385027654701844
0.4695280000000003,250,92.44,105,22816,4.132385341059145,6400,0.05801643303129822
0.4360479999999999,260,97.97,115,24256,4.373137165500598,7120,0.08687902323435992
0.41905225,270,94.49,121,24987,4.125425698371249,7488,0.06839316571131349
0.40556724999999993,280,91.53,125,25567,3.9935220180209274,7776,0.1080821452778764
0.37515624999999997,290,95.82,135,26875,4.196661951089353,8432,0.08947012707358226
0.34679125,300,95.16,144,28095,4.178221764655294,9040,0.09253854095004499
0.32760999999999985,310,94.82,150,28920,4.193462191165993,9456,0.12401234067510813
0.30817300000000003,320,94.04,156,29756,4.159057318304836,9872,0.11468202385003679
0.28485325000000006,330,92.72,164,30759,4.117021887455995,10376,0.11825276142917573
0.2674855000000004,340,91.65,170,31506,4.0327803739098655,10752,0.08465967571828514
0.2372372500000004,350,98.91,180,32807,4.3991203884825545,11400,0.15009820787236094
0.20610549999999994,360,97.9,190,34146,4.302060292881662,12072,0.12423243129160255
0.17018425000000004,370,106.04,202,35691,4.665199186936453,12840,0.1761026531457901
0.1453300000000003,380,110.93,210,36760,4.877886587748659,13376,0.13980949576944113
0.1149887500000003,390,110.9,220,38065,4.868320323060316,14032,0.09432187065249309
0.07,400,120.23,237,40218,5.222474599290625,15104,0.06136934598907828
0.07,410,139.13,258,42933,6.010378966528098,16464,0.1047461210982874
0.07,420,155.07,276,45363,6.661389304723664,17680,0.1168800086597912
0.07,430,164.92,291,47351,7.071064724059356,18672,0.15963536011986434
0.07,440,173.16,302,48922,7.355374690856865,19456,0.07724050764227286
0.07,450,167.35,308,49642,7.049124873630608,19816,0.23281462211161852
0.07,460,160.51,313,50297,6.724670526753011,20144,0.15046566515229642
0.07,470,151.76,318,50967,6.322079757696101,20480,0.063978128018789
0.07,480,151.45,326,52005,6.247751090385383,21000,0.1473199436441064
0.07,490,143.36,330,52501,5.878977239154585,21248,0.22113654017448425
0.07,500,127.31,334,53049,5.16304095102668,21520,0.13984107470605522
0.07,510,107.38,340,53771,4.257444159656114,21880,0.12171841505914927
0.07,520,88.44,344,54307,3.4501232013015137,22152,0.10998066118918359
0.07,530,77.56,351,55207,2.9676000383252243,22600,0.11032110208179802
0.07,540,73.14,359,56336,2.8029081995253553,23160,0.15343440044671297
0.07,550,70.82,363,56824,2.726180475414161,23408,0.12344191508600488
0.07,560,72.69,370,57666,2.8273612274535878,23832,0.19811671320348978
0.07,570,71.06,374,58173,2.748585372377783,24080,0.1693952267523855
0.07,580,70.31,382,59136,2.7527129978310088,24560,0.1563896129373461
0.07,590,84.44,397,61045,3.387658176100853,25520,0.12426845449954271
0.07,600,96.01,410,62750,3.933226335255378,26368,0.19535575807094574
0.07,610,108.49,426,64720,4.554124204035667,27352,0.21612424094928429
0.07,620,119.99,439,66406,5.0882728625018885,28200,0.1390116548864171
0.07,630,121.67,447,67474,5.132983966349369,28736,0.0931630926206708
0.07,640,120.65,455,68501,5.115395741769632,29248,0.09514266316546127
0.07,650,126.77,464,69601,5.381598797152667,29800,0.21672663348726928
0.07,660,127.13,471,70479,5.385310322063498,30232,0.19877977680880576
0.07,670,128.97,477,71170,5.4676384696232745,30584,0.11330954730510712
0.07,680,125.46,481,71782,5.285374778829575,30888,0.11039596667978913
0.07,690,115.62,489,72707,4.815127933733528,31352,0.11257451074197888
0.07,700,104.39,493,73289,4.283093194953285,31640,0.1735225137672387
0.07,710,94.2,501,74240,3.7256894418226123,32112,0.18528456520289183
0.07,720,84.98,507,75004,3.2512278006390614,32496,0.08154306834330782
0.07,730,81.66,513,75740,3.1522691299987384,32864,0.19419452326837927
0.07,740,77.34,517,76335,2.9745957609710256,33160,0.2189618991687894
0.07,750,73.97,523,77098,2.8370234593550663,33544,0.12521116848802194
0.07,760,70.25,527,77604,2.684603470559083,33800,0.1269428712548688
0.07,770,68.46,532,78116,2.620232909577823,34056,0.08222178847063333
0.07,780,67.08,535,78590,2.565968579500977,34288,0.09691467724042013
0.07,790,65.48,542,79355,2.4863672206836576,34672,0.20189065241720527
0.07,800,65.1,546,79899,2.501640829029031,34944,0.09960366145242006
0.07,810,64.8,553,80820,2.4682624512929894,35408,0.2058180208550766
0.07,820,67.13,561,81817,2.5746685071330035,35904,0.15968019719002768
0.07,830,68.68,569,82708,2.617904495206618,36352,0.06635681667830795
0.07,840,72.12,576,83647,2.7693528194349217,36816,0.1427055395906791
0.07,850,75.88,585,84786,2.9115073112228926,37392,0.14198575884802267
0.07,860,81.38,594,85842,3.1122228771208205,37920,0.16257996164495125
0.07,870,83.9,600,86606,3.2124836319954295,38296,0.1916939549264498
0.07,880,84.9,605,87180,3.265045397555869,38584,0.1928096839110367
0.07,890,84.58,611,87913,3.225653677656628,38952,0.19094485603272915
0.07,900,85.42,616,88541,3.197780832066,39264,0.14496341161429882
0.07,910,80.84,619,89004,3.0809981203544994,39496,0.15074523858493194
0.07,920,78.33,625,89750,2.997488867625068,39872,0.11524193658260629
0.07,930,78.52,633,90660,3.0206203601154424,40328,0.21029120404273272
0.07,940,75.93,638,91340,2.8636568189519904,40664,0.22010000236332417
0.07,950,78.36,649,92722,2.8996668528833216,41360,0.08466749655781314
0.07,960,83.01,662,94243,3.065194831745359,42120,0.06836892961291596
0.07,970,88.28,672,95534,3.2717039982740586,42760,0.1644414224429056
0.07,980,94.11,681,96691,3.4392569761304044,43344,0.10010703280568123
0.07,990,102.41,694,98254,3.752589517870465,44120,0.2080666278488934
0.07,1000,108.43,703,99484,3.9278176556621194,44736,0.11452615889720619
0.07,1010,119.66,716,101070,4.355574422476749,45528,0.10178106016246602
0.07,1020,122.1,724,102060,4.443120411723102,46024,0.13051864464068785
0.07,1030,119.28,729,102688,4.307653853075933,46336,0.17618833028245717
0.07,1040,118.99,735,103339,4.300677213283988,46664,0.16103000566363335
0.07,1050,114.98,743,104320,4.159085060680082,47152,0.18623654078692198
0.07,1060,111.14,752,105457,3.9973890177411677,47728,0.1004082562867552
0.07,1070,105.87,758,106221,3.7548864050394872,48104,0.09764332807390019
0.07,1080,105.67,767,107358,3.788816169347311,48672,0.09838754357770085
0.07,1090,99.83,775,108337,3.5945790536176854,49168,0.09746243013069034
0.07,1100,95.57,781,109141,3.5225549921445274,49568,0.23418424528790638
0.07,1110,86.22,787,109792,3.1849073167718767,49888,0.16537989466451108
0.07,1120,83.89,793,110549,3.0844816756058684,50272,0.17424071283312514
0.07,1130,85.92,800,111380,3.188003019289627,50688,0.19890071835834533
0.07,1140,89.74,808,112413,3.3787165712746012,51200,0.09608776937238872
0.07,1150,94.37,820,113857,3.548340142720225,51928,0.1393506806343794
0.07,1160,92.01,827,114758,3.442918680814807,52376,0.14211792452260852
0.07,1170,94.57,836,115778,3.518111558882071,52888,0.1241629314608872
0.07,1180,94.44,845,116902,3.5077348693721913,53448,0.09906781744211912
0.07,1190,99.93,857,118430,3.615701692164495,54208,0.0949344098335132
0.07,1200,105.79,868,119820,3.769328371420475,54904,0.1525310347788036
0.07,1210,111.03,878,120995,3.888113713199776,55496,0.167982121813111
0.07,1220,115.75,888,122224,4.030645029844082,56104,0.10883504914818332
0.07,1230,124.94,902,123974,4.258413500880025,56984,0.1847659945487976
0.07,1240,139.54,922,126467,4.671148593521881,58232,0.12195527937728912
0.07,1250,152.21,942,129178,4.977279372858508,59584,0.17178399674594402
0.07,1260,159.69,954,130827,5.2607886184382116,60408,0.12546608902630396
0.07,1270,164.16,965,132294,5.470201020889126,61144,0.14326372349751182
0.07,1280,167.66,977,133768,5.540823058771767,61880,0.14412526070373133
0.07,1290,170.93,992,135623,5.747165479503578,62808,0.03281822591088712
0.07,1300,174.1,1005,137330,5.937265382799565,63664,0.0966085659165401
0.07,1310,183.84,1021,139479,6.4968153254136345,64736,0.048903775081271306
0.07,1320,197.19,1040,142043,7.166919263970819,66016,0.10960312717361376
0.07,1330,201.35,1056,144209,7.45049334286121,67104,0.15543787917704321
0.07,1340,186.93,1064,145260,7.0067868888846885,67624,0.0949314713361673
0.07,1350,178.74,1079,147152,6.978377542184867,68568,0.11104569560848176
0.07,1360,177.64,1090,148691,6.990034428855385,69344,0.0642281495674979
0.07,1370,178.56,1103,150250,7.042014719366729,70120,0.15571274436661042
0.07,1380,185.31,1119,152399,7.417388026489318,71192,0.10887443981482647
0.07,1390,183.46,1132,154069,7.397426793343268,72032,0.12588403112022206
0.07,1400,180.56,1142,155486,7.247868795461559,72736,0.15324314153986052
0.07,1410,179.95,1158,157574,7.053488077497143,73784,0.09365399085800163
0.07,1420,173.63,1173,159506,6.6888643598431425,74752,0.14047781063709408
0.07,1430,171.62,1188,161471,6.622143693634561,75728,0.0920039149641525
0.07,1440,171.87,1196,162547,6.648943131148878,76272,0.10606565250782296
0.07,1450,164.22,1205,163674,6.292254723320776,76832,0.14990299980854616
0.07,1460,161.44,1215,164935,6.203042079607411,77464,0.09321880873176269
0.07,1470,157.88,1224,166138,6.0995584398515135,78064,0.09346033717156388
0.07,1480,150.26,1236,167525,5.809072631936401,78760,0.16672307279077359
0.07,1490,148.56,1248,169025,5.7743165984205795,79512,0.0923722559818998
0.07,1500,141.69,1254,169755,5.546629829135277,79872,0.10556603147415444
0.07,1510,133.58,1264,171032,5.35500426565113,80512,0.25526486794115044
0.07,1520,133.29,1279,172935,5.3615622446248095,81464,0.13350545917637646
0.07,1530,127.39,1291,174310,5.147047901107686,82152,0.10609541751910001
0.07,1540,133.92,1305,176039,5.423657863639892,83016,0.12267865086323582
0.07,1550,132.86,1313,177060,5.380333753020659,83528,0.09211847302503884
0.07,1560,138.39,1328,178874,5.603291570360447,84432,0.07790532454964705
0.07,1570,143.64,1342,180602,5.79402816703182,85296,0.0621604927291628
0.07,1580,148.47,1357,182472,5.960221307538912,86232,0.07896532226004638
0.07,1590,153.48,1373,184473,6.1671389576622735,87232,0.08057086053304374
0.07,1600,167.47,1390,186602,6.782242484835857,88296,0.10651251583476551
0.07,1610,172.4,1405,188372,6.940470194756759,89184,0.1206069301115349
0.07,1620,173.08,1420,190343,7.013568005125134,90168,0.047967257065465674
0.07,1630,179.03,1436,192313,7.3267525369418705,91152,0.09186447280808352
0.07,1640,175.51,1447,193690,7.201782902544704,91840,0.10571843711659312
0.07,1650,181.87,1460,195347,7.524797556736278,92672,0.12115469516720623
0.07,1660,192.39,1484,198213,8.066270310272614,94104,0.10654199155396782
