rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9822835000000001,10,75.2,0,762,-4.1491663008501645,,
0.9621955000000001,20,80.3,1,1626,-4.8420667801277535,,
0.94687375,30,75.16666666666667,2,2285,-4.6028974863716,,
0.9367600000000003,40,67.0,3,2720,-4.005248015074261,,
0.9103014999999999,50,76.16,5,3858,-4.5576707713547115,,
0.8860052500000002,60,80.71666666666667,6,4903,-4.853796769684054,,
0.8536412499999999,70,88.92857142857143,8,6295,-5.452189074607294,,
0.8444807500000002,80,82.6125,9,6689,-5.078407590878972,,
0.8151625000000002,90,87.33333333333333,11,7950,-5.472623670101824,,
0.7942607500000001,100,87.49,13,8849,-5.497107689876908,,
0.7898432500000001,110,81.77,13,9039,-5.15443850951447,,
0.76942975,120,81.91,15,9917,-5.1456684837150455,,
0.7434595000000004,130,86.49,22,11034,-5.415353689791901,512,0.11155895212141331
0.72418525,140,90.43,28,11863,-5.676454026992528,928,0.0652101358773507
0.7017954999999999,150,88.68,35,12826,-5.647521751093828,1408,0.08397418420645408
0.6708032500000003,160,91.56,45,14159,-5.877767845955206,2072,0.09373196128581185
0.640555,170,90.65,54,15460,-5.711946224373966,2728,0.07616333902115002
0.6066565000000004,180,101.29,64,16918,-6.190345116915007,3456,0.08586641684814822
0.59007925,190,95.81,69,17631,-5.731486011154371,3808,0.1053103655576706
0.57682675,200,92.52,74,18201,-5.4147477445457035,4096,0.1134725506126415
0.5510192500000003,210,101.72,82,19311,-5.863152768428067,4648,0.09676587767899036
0.5227472499999999,220,105.1,91,20527,-5.9406537853938515,5256,0.06855357508175075
0.4931500000000002,230,106.66,100,21800,-5.8698083348780665,5896,0.07198601355776191
0.4751544999999999,240,106.11,106,22574,-5.798672317703846,6280,0.05167863063979894
0.4605535000000004,250,102.76,111,23202,-5.40632633595815,6600,0.06344421405810863
0.4493004999999999,260,94.27,114,23686,-4.736965252494865,6840,0.08000190107850358
0.4320257500000003,270,88.69,120,24429,-4.416379593586303,7208,0.06213826686143875
0.4036375000000002,280,86.32,129,25650,-4.264587218492536,7824,0.13740543852327392
0.38582800000000017,290,86.85,135,26416,-4.339886045421359,8200,0.09893068094970658
0.35992749999999984,300,92.29,143,27530,-4.685778306645437,8760,0.1607518345117569
0.33193450000000024,310,93.23,153,28734,-4.785061081455149,9360,0.12722383928485215
0.31324150000000006,320,89.11,159,29538,-4.596681053042836,9768,0.08426775992847979
0.2952925000000002,330,84.1,165,30310,-4.3696222266780005,10152,0.10181559179909527
0.27862225000000007,340,83.53,171,31027,-4.340803149828552,10512,0.07955786504317075
0.2533495000000001,350,88.12,179,32114,-4.656738179964357,11056,0.14644310623407364
0.22951824999999992,360,93.53,187,33139,-4.97823122318267,11568,0.10124833369627595
0.19899100000000025,370,99.23,198,34452,-5.2376528225375765,12224,0.11005499702878296
0.18266950000000015,380,94.04,204,35154,-5.031017754620272,12576,0.10775081184692681
0.17232325000000004,390,90.83,207,35599,-4.758141680403488,12792,0.08869158488232642
0.15100300000000022,400,88.86,214,36516,-4.608041076173974,13256,0.09347914787940681
0.13021750000000043,410,85.76,221,37410,-4.407706899682362,13704,0.10276011773385108
0.0985742500000002,420,91.33,232,38771,-4.64665946122325,14384,0.10232520999852568
0.07537075000000049,430,93.59,240,39769,-4.716399147208027,14880,0.11696901894174516
0.07,440,97.42,249,40869,-4.835017867241137,15432,0.07686284766532481
0.07,450,105.07,264,42721,-5.158094829214437,16360,0.11821956373751163
