rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,train/loss,train/n_updates
-3.0597586110718256,308,64880,91.72,670,0.07,0.05805972043890506,27432
-3.1525445437992095,312,65745,92.61,680,0.07,0.06113435159204528,27872
-3.5918436829964624,321,67456,105.24,690,0.07,0.0690889151301235,28720
-4.042479121690965,331,69317,118.15,700,0.07,0.08900024858303368,29656
-4.299023417939162,340,70919,124.92,710,0.07,0.05390665645245463,30456
-4.342228033920791,346,72033,124.57,720,0.07,0.06346901011420414,31016
-4.203406266182164,350,72779,119.48,730,0.07,0.06353740266058594,31384
-4.334370621434959,358,74389,121.78,740,0.07,0.07532015774631873,32192
-4.384123146345515,363,75280,122.33,750,0.07,0.06352032197173685,32632
-4.552802415501441,369,76515,127.02,760,0.07,0.07007011806126684,33256
-4.4852976030431755,375,77503,125.23,770,0.07,0.08178010175470263,33744
-4.31337679401953,377,77867,120.22,780,0.07,0.0798799458425492,33928
-3.887655159604133,379,78354,107.98,790,0.07,0.028617516509257257,34176
-3.4068077915919197,381,78752,93.35,800,0.07,0.05989775958005339,34368
-3.050651062128919,384,79248,82.29,810,0.07,0.08086056797765195,34616
-2.7603351144324524,386,79524,73.91,820,0.07,0.05921759258490056,34760
-2.5809357564143944,387,79829,69.5,830,0.07,0.06202483444940299,34912
-2.1293841895486367,389,80200,57.11,840,0.07,0.08419684914406389,35096
-2.032525274338512,393,80776,53.96,850,0.07,0.0733282444998622,35384
-1.7219044786992543,395,81153,45.38,860,0.07,0.0518492481787689,35576
-1.5114828119684716,398,81666,40.63,870,0.07,0.06224493682384491,35832
-1.5811158271047183,402,82363,43.96,880,0.07,0.08067451417446136,36176
-1.6059952630490948,405,82908,44.54,890,0.07,0.06683972536120564,36448
-1.630973178046294,407,83415,45.63,900,0.07,0.076828210381791,36704
-1.5524134206493159,409,83796,44.48,910,0.07,0.05793840845581144,36896
-1.6310511579323508,413,84416,47.92,920,0.07,0.07361608848441392,37200
-1.6904314907749602,415,84899,49.7,930,0.07,0.13533258461393416,37448
-1.7138533050175724,418,85355,50.55,940,0.07,0.10837420111056417,37672
-1.6959549497909203,420,85840,49.64,950,0.07,0.0912967782933265,37912
-1.7370208823079363,423,86265,50.12,960,0.07,0.0772500867024064,38128
-1.8161144233993172,426,86910,51.44,970,0.07,0.1546217859722674,38448
-1.8662199124535892,430,87649,51.86,980,0.07,0.07055287784896791,38824
-2.0664306742680894,435,88524,55.16,990,0.07,0.06275950081180781,39256
-2.0098277626178334,436,88862,53.47,1000,0.07,0.12019616411998868,39424
-2.1614869747979197,441,89650,57.54,1010,0.07,0.07054385542869568,39824
-2.093274452124588,443,90004,54.88,1020,0.07,0.057569780852645636,40000
