rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9915137500000002,10,35.5,0,365,-2.2525059236897613,,
0.9783077499999999,20,45.65,1,933,-2.8961035720180197,,
0.94980325,30,70.96666666666667,2,2159,-4.144959867702044,,
0.93087775,40,73.325,3,2973,-4.343633385590513,,
0.9108130000000001,50,75.72,5,3836,-4.577904249401437,,
0.8842847499999998,60,81.95,6,4977,-4.933067276387038,,
0.8486425000000002,70,92.0,9,6510,-5.642455333423964,,
0.8193010000000001,80,96.15,11,7772,-6.023309468643721,,
0.7838680000000002,90,102.28888888888889,14,9296,-6.535850426273008,,
0.7682904999999999,100,98.66,15,9966,-6.40431669646592,,
0.7432735000000001,110,105.77,22,11042,-6.899114951094372,520,0.10253453743280261
0.7161407499999999,120,111.76,30,12209,-7.299594804634737,1104,0.0840355672298756
0.6722215000000002,130,118.39,43,14098,-7.862845455260409,2048,0.07605614670319483
0.6380905000000002,140,124.93,53,15566,-8.222347048356133,2776,0.05695783490955364
0.6148405000000002,150,126.3,60,16566,-8.162445832695497,3280,0.0585420208517462
0.57343225,160,132.7,73,18347,-8.393824652499418,4168,0.06832985125947744
0.5516470000000002,170,126.74,80,19284,-7.855443993134218,4640,0.06916038447525352
0.5134240000000003,180,130.56,92,20928,-7.811408940855857,5456,0.09857681684661657
0.48268750000000027,190,128.54,101,22250,-7.3886710368960875,6120,0.08131382532883435
0.45787975000000036,200,132.51,109,23317,-7.4697559243226195,6656,0.08958414877997711
0.42665500000000023,210,135.18,119,24660,-7.453770980897636,7328,0.042026979848742485
0.40724125,220,131.86,125,25495,-7.195266064082788,7744,0.0348554874653928
0.3927099999999999,230,119.22,130,26120,-6.288926135536432,8056,0.11006217036629096
0.36211300000000024,240,117.7,140,27436,-6.086704655530083,8712,0.12043112382525578
0.3306325,250,121.24,150,28790,-6.38478259548936,9392,0.035444242937956005
0.2948972500000002,260,118.8,162,30327,-6.3007003908694355,10160,0.08061262394767255
0.27185650000000006,270,119.34,169,31318,-6.390815749036218,10656,0.07338472211267799
0.23630725000000008,280,118.19,181,32847,-6.374449014101654,11416,0.07239730894798413
0.20633800000000035,290,117.86,191,34136,-6.394881113093391,12064,0.03688289079582319
0.18913300000000022,300,114.59,197,34876,-6.14084926216294,12432,0.06425029912497848
0.1573037500000002,310,114.85,207,36245,-6.16233003045244,13120,0.10315153910778463
0.12433525000000001,320,120.68,219,37663,-6.382020361326137,13824,0.09201412147376686
