rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-2.8615877705407455,399,70.29,660,0.07,60537,25264,0.08179219014709815
-3.12299311002975,409,79.42,670,0.07,61910,25952,0.1270362101495266
-3.161677624292939,419,82.36,680,0.07,63205,26600,0.07904741587117314
-3.4476051770011202,432,94.33,690,0.07,64836,27416,0.10853342351038009
-3.8134226032583896,446,104.21,700,0.07,66524,28256,0.09945083258207887
-4.167389001365762,461,115.14,710,0.07,68466,29232,0.12679889230639674
-4.577384871225082,476,127.29,720,0.07,70436,30216,0.11628957884386182
-5.0264197983546595,491,140.22,730,0.07,72291,31144,0.09077383344992995
-5.280600206048154,503,147.9,740,0.07,73955,31976,0.08974349912023172
-5.5022731324877165,514,154.68,750,0.07,75458,32728,0.08753684689872898
-5.391898609647085,518,153.46,760,0.07,75983,32984,0.1433602777251508
-5.405546094522055,529,153.3,770,0.07,77340,33664,0.07991789450170472
-5.347280956632158,538,151.27,780,0.07,78432,34208,0.058270552050089464
-5.418746127573976,551,151.75,790,0.07,80111,35048,0.09912886790698394
-5.060383909672795,557,142.72,800,0.07,80896,35440,0.11682444912730716
-4.898262917136763,568,137.91,810,0.07,82357,36176,0.0887164941377705
-4.659487732352361,579,131.63,820,0.07,83699,36848,0.13831774369464256
-4.590762701613491,593,131.18,830,0.07,85509,37752,0.0600928261410445
-4.733159546728507,608,134.95,840,0.07,87550,38768,0.07889262252137996
-4.9072134539864125,624,139.22,850,0.07,89480,39736,0.02979817526647821
-5.4858930095461895,640,153.89,860,0.07,91472,40728,0.09910937451058999
-5.420076388363261,649,151.77,870,0.07,92617,41304,0.11729410840780474
-5.679400106713456,663,158.32,880,0.07,94364,42176,0.0885754484042991
-5.5613356700492655,674,155.56,890,0.07,95767,42880,0.10784495154803153
-5.654297695548395,682,158.82,900,0.07,96878,43432,0.14422675129026175
-5.516177087469311,691,155.39,910,0.07,97996,43992,0.1254995220224373
-5.311222605810949,698,150.37,920,0.07,98836,44416,0.0795378444599919
-5.145537394308413,708,144.7,930,0.07,100079,45032,0.1085609957226552
-4.748843558534315,715,133.23,940,0.07,100973,45480,0.10716352344024926
-4.382183384955205,721,122.02,950,0.07,101782,45888,0.11668820527847856
-3.992988027851471,728,111.17,960,0.07,102689,46344,0.08776986776501872
-3.834351561314972,733,106.15,970,0.07,103332,46664,0.07788984225771856
-3.548990147208278,740,98.59,980,0.07,104323,47160,0.07827991060912609
-3.313657050935985,744,89.77,990,0.07,104844,47416,0.07709533275919966
-3.1765652537556117,748,84.38,1000,0.07,105416,47704,0.04944517601688858
-3.2345031067428267,756,83.58,1010,0.07,106454,48224,0.12336887588026002
-3.5547067748621224,767,88.49,1020,0.07,107785,48888,0.09643349034013227
-3.5622339760493453,777,88.17,1030,0.07,108996,49496,0.10488545728730969
-3.4597863883105684,782,86.14,1040,0.07,109687,49840,0.07510252248903271
-3.4083782225501222,788,85.84,1050,0.07,110466,50232,0.05839978187577799
-3.5285632837282566,797,87.76,1060,0.07,111565,50776,0.0670651844702661
-3.6145779724845966,804,89.87,1070,0.07,112419,51208,0.04928081475372892
-3.6014816814864052,813,90.53,1080,0.07,113476,51736,0.13113712045014836
-3.649219015958225,818,92.32,1090,0.07,114176,52080,0.12297502905130386
-3.751645331130722,826,96.31,1100,0.07,115147,52568,0.10610795134562068
-3.912131523649038,839,100.89,1110,0.07,116643,53320,0.06686236047244165
-3.7092444995732996,849,99.74,1120,0.07,117859,53928,0.05924535699887201
-3.454456820901161,854,94.22,1130,0.07,118518,54256,0.08878231822745875
-3.575035523814529,862,97.04,1140,0.07,119491,54744,0.05979943669808563
-3.5302315742100485,867,95.06,1150,0.07,120072,55032,0.12576848734170198
-3.691744050235952,882,101.72,1160,0.07,121837,55912,0.10415207220648881
-3.8704249817717367,893,107.26,1170,0.07,123245,56616,0.06710505257069599
-3.953792515658744,903,108.43,1180,0.07,124419,57208,0.07719678489957005
-4.222705396770062,913,113.66,1190,0.07,125642,57816,0.13305841697729193
-4.247140613427859,921,113.95,1200,0.07,126642,58320,0.11985336954239756
-4.010874465844249,928,107.45,1210,0.07,127488,58736,0.07881373865529895
-4.009870830680785,936,105.24,1220,0.07,128483,59240,0.1054165787063539
-4.07646295940112,942,106.17,1230,0.07,129235,59616,0.12749194959178567
-3.9945163428509356,949,104.07,1240,0.07,129998,59992,0.06636588997207582
-4.022881242951277,955,105.39,1250,0.07,130711,60352,0.10376067580364179
-3.697479893212307,962,96.87,1260,0.07,131624,60808,0.06364336953265592
-3.439207514845403,968,89.55,1270,0.07,132300,61144,0.07857766590313986
-3.305002239870394,974,85.44,1280,0.07,133063,61528,0.13252212179941125
-3.0431326879935052,980,80.87,1290,0.07,133829,61912,0.07025034178514034
-3.0452795186559807,988,80.47,1300,0.07,134789,62392,0.05692567059304565
