rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/loss,train/n_updates
258.17,0.07,104721,736,-12.862585179702114,400,0.02169774434150895,47360
262.28,0.07,107625,757,-13.058761964304958,410,0.01700936504494166,48808
265.9,0.07,110349,776,-13.362575521076879,420,0.022075085438700626,50168
263.23,0.07,112979,795,-13.061723060381558,430,0.00848614603819442,51488
262.73,0.07,115679,814,-12.770135294606574,440,0.011875003387103789,52832
261.61,0.07,118150,832,-13.115527129975549,450,0.03403675269510131,54072
269.55,0.07,120827,851,-13.665665310977715,460,0.020115123785217293,55408
269.65,0.07,123583,872,-13.842825269070781,470,0.029024615931120934,56784
268.62,0.07,126025,890,-13.70519735360229,480,0.008649729134049267,58008
263.77,0.07,128353,907,-13.8699580952807,490,0.02030879588710377,59176
261.76,0.07,130997,927,-13.972712678309732,500,0.03231277485610917,60496
255.6,0.07,133285,944,-13.512484116985382,510,0.009868904380709864,61640
247.37,0.07,135186,958,-13.24108504639202,520,0.02462802527588792,62592
248.74,0.07,137953,979,-13.37357646333823,530,0.015457969915587455,63976
242.31,0.07,140010,995,-13.120259432472452,540,0.0297001164581161,65000
245.16,0.07,142766,1015,-13.539756735650915,550,0.014923491664376343,66376
246.37,0.07,145564,1035,-13.499376665249123,560,0.031137678612140007,67776
246.01,0.07,148284,1056,-13.686223920463803,570,0.041120154863165226,69136
250.43,0.07,151168,1077,-13.728706792653806,580,0.0376086178002879,70576
248.88,0.07,153341,1094,-13.720183437636269,590,0.0475096917944029,71664
244.46,0.07,155543,1110,-13.427212557846627,600,0.033565541794814635,72768
243.98,0.07,157783,1126,-13.379444508247989,610,0.0511496867693495,73888
248.43,0.07,160129,1144,-13.47836237173683,620,0.031791384710231796,75064
245.92,0.07,162645,1162,-13.261351535457946,630,0.04512718864134513,76320
249.23,0.07,165033,1181,-13.646983082240835,640,0.047760376386577263,77512
247.61,0.07,167627,1199,-12.918141776829337,650,0.038631057119346224,78808
246.49,0.07,170313,1219,-12.832770498156089,660,0.014573759828635957,80152
249.29,0.07,173313,1241,-13.140605992840674,670,0.02009512002405245,81656
244.13,0.07,175681,1258,-12.939232779798607,680,0.06142874494253192,82840
247.28,0.07,178169,1276,-12.966660354115804,690,0.037475733071914874,84080
249.45,0.07,180588,1294,-13.095904442014064,700,0.025629930256400257,85288
256.14,0.07,183497,1315,-13.97915171632994,710,0.042571321755531244,86744
258.45,0.07,186074,1334,-14.299122973453086,720,0.04362467867031228,88032
260.51,0.07,188796,1354,-14.788177444227774,730,0.04932657043536892,89392
255.34,0.07,190667,1367,-14.429644945970976,740,0.028071495617041364,90328
253.43,0.07,193070,1385,-14.8688320939053,750,0.03898919188941363,91528
250.86,0.07,195499,1402,-14.817838424180396,760,0.07671115703124087,92744
241.68,0.07,197581,1417,-14.311671388554892,770,0.06076980257057585,93784
240.7,0.07,199851,1433,-14.641282464505913,780,0.06959656883554999,94920
