rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9891422500000001,45.7,10,0,467,-2.424822297894851,,
0.96658975,70.85,20,1,1437,-4.0469995604640445,,
0.9378062499999998,88.16666666666667,30,3,2675,-5.121035688024542,,
0.91646275,88.825,40,4,3593,-5.446362703622526,,
0.89456125,89.7,50,6,4535,-5.610223380042036,,
0.87186925,90.85,60,7,5511,-5.634847757415458,,
0.8561522499999998,87.38571428571429,70,8,6187,-5.503404932459737,,
0.8312514999999998,89.725,80,10,7258,-5.827328454653125,,
0.81355825,88.1,90,11,8019,-5.7506895555166615,,
0.7882389999999999,90.08,100,13,9108,-5.934938253430237,,
0.7721035,92.35,110,14,9802,-6.1435925340556095,,
0.7489465000000002,92.61,120,20,10798,-6.1873978465213835,0.11164943534095073,392
0.7205349999999999,92.45,130,29,12020,-6.176849544373827,0.09369340354169253,1008
0.6942857500000004,94.56,140,37,13149,-6.236545119847549,0.09301898856938351,1568
0.6600617500000001,99.86,150,47,14621,-6.453829606204205,0.08502464917546604,2304
0.6430427500000002,97.42,160,53,15353,-6.295954966375495,0.09448788681766018,2672
0.62244325,99.52,170,59,16239,-6.261572866651501,0.1051349311019294,3112
0.5914509999999998,102.14,180,69,17572,-6.081224474978344,0.11488852443289943,3784
0.56947975,103.98,190,76,18517,-6.074583116941989,0.1048774424707517,4256
0.5312102500000001,109.55,200,88,20163,-6.177551986898228,0.06996709498343989,5080
0.5073092499999999,112.89,210,95,21191,-6.197184586261073,0.07071161002386361,5592
0.4822457499999999,113.71,220,103,22269,-6.253599108361116,0.08828143560094759,6128
0.46225075000000004,110.09,230,110,23129,-5.925817227528871,0.10804892738815397,6560
0.43890774999999993,108.84,240,118,24133,-5.777985426311201,0.11725457798456773,7064
0.42342325000000025,100.78,250,123,24799,-5.266189866033491,0.06130159989697859,7392
0.4020797500000003,102.64,260,130,25717,-5.426768872261713,0.10956181614892557,7856
0.39126850000000024,98.43,270,133,26182,-5.21601041367981,0.11966209654929116,8088
0.3686695000000003,94.82,280,141,27154,-5.118383802712468,0.07232596399262547,8576
0.34932550000000007,93.69,290,147,27986,-5.0504461014868784,0.10967467888258398,8992
0.32651724999999987,87.04,300,155,28967,-4.681405613079113,0.11731471831444651,9480
0.31375299999999995,82.25,310,159,29516,-4.4708006643034786,0.10050383675843477,9752
0.2944322500000003,79.78,320,165,30347,-4.222892400240224,0.13657400873489678,10168
0.27148450000000013,81.05,330,173,31334,-4.2834067095308,0.11008315347135067,10664
0.25593025,77.7,340,178,32003,-4.062292221166365,0.11080528923776001,11000
0.2410037500000003,77.46,350,184,32645,-4.001597832500111,0.11047256097663194,11320
0.22347325000000018,75.82,360,190,33399,-3.765811442367156,0.07762744254432619,11696
0.20796550000000025,77.84,370,195,34066,-3.8308954549580623,0.13061969820410013,12032
0.19124875000000008,75.31,380,200,34785,-3.6254465275840535,0.09066634869668633,12392
0.1802514999999999,71.72,390,204,35258,-3.3610524886446456,0.09202687570359558,12624
0.16504600000000036,68.45,400,209,35912,-3.155033959158473,0.1568240642081946,12952
0.1527932500000001,68.23,410,213,36439,-3.129527336309535,0.1918075366411358,13216
0.13847125000000027,66.08,420,218,37055,-2.98448078659413,0.07679657789412886,13520
0.11982474999999992,64.23,430,224,37857,-2.926630819752168,0.07247551018372178,13928
0.10289875000000004,64.82,440,230,38585,-2.95249124447127,0.12599822133779526,14288
