rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9413635,10,2,2522,251.2,14.823758744939951,,
0.9073255,20,4,3986,198.3,10.950431915667972,,
0.8587330000000002,30,6,6076,201.53333333333333,11.850173193137332,,
0.8259505000000003,40,8,7486,186.15,10.850327682906293,,
0.7763815000000002,50,12,9618,191.36,11.09739967062643,,
0.7165825000000003,60,23,12190,202.16666666666666,11.539978684833564,1088,0.04776533820950135
0.66531625,70,34,14395,204.64285714285714,11.47377290545381,2192,0.028689755983577925
0.6389275000000001,80,39,15530,193.125,10.602670381355626,2760,0.009855008585873293
0.6053312499999999,90,47,16975,187.61111111111111,10.088313126776892,3480,0.02914042268821504
0.5828717499999998,100,52,17941,178.41,9.478436566329858,3968,0.010257513513352023
0.55106575,110,59,19309,166.87,8.535644065661849,4648,0.029750524154223967
0.5271414999999997,120,64,20338,162.52,8.257656051891642,5168,0.04884699969261419
0.4887325000000001,130,73,21990,158.14,7.50151578595091,5992,0.04942768254841212
0.4561592499999999,140,80,23391,158.05,7.2448501103475245,6688,0.059928946328000166
0.4227955000000002,150,87,24826,151.08,6.595699614434307,7408,0.05035033817694057
0.39040825000000023,160,95,26219,139.29,5.749412101246488,8104,0.050827075727283955
0.3546265000000003,170,103,27758,132.63,5.183028059866838,8872,0.032076500239782035
0.32860975000000014,180,109,28877,132.47,5.158055147499465,9432,0.06195758338435553
0.2979197499999999,190,116,30197,131.22,5.02661367370856,10096,0.0542794227367267
0.2578134999999999,200,126,31922,138.81,5.235471343019635,10960,0.013863638043403625
0.22400799999999998,210,134,33376,139.67,5.163419956497133,11680,0.06375064278836362
0.18390174999999997,220,143,35101,146.63,5.30507933195074,12544,0.03503844153601676
0.13051975000000038,230,156,37397,153.07,5.42195317263081,13696,0.05687933537410572
0.08897200000000016,240,165,39184,156.93,5.457602190146356,14584,0.047015207179356366
0.07,250,173,40590,156.64,5.335768667489581,15288,0.04757751908618957
0.07,260,183,42548,162.29,5.370924794540237,16272,0.0370507319457829
0.07,270,193,44522,166.64,5.41056642557974,17256,0.03790948906680569
0.07,280,200,45929,169.52,5.412224638386002,17960,0.06155861803563312
0.07,290,204,46686,163.89,5.168505351392695,18336,0.07057788339443505
0.07,300,215,48699,166.77,5.1281203736127114,19344,0.09421062556793913
0.07,310,227,51027,175.51,5.3078125372619605,20512,0.06439000822138041
0.07,320,234,52458,172.57,5.130342444140052,21224,0.05109818809432909
0.07,330,244,54313,168.16,4.9158730868250515,22152,0.0774890169268474
0.07,340,252,55888,166.04,4.783015430701134,22936,0.05426211503800005
0.07,350,263,57927,172.37,4.91314326504587,23960,0.08743517228867859
0.07,360,271,59575,169.27,4.8077170906691045,24784,0.06634059944190085
0.07,370,278,60864,162.42,4.591633808024644,25424,0.06512278504669666
0.07,380,289,63064,170.35,4.778967747432922,26528,0.05408145661931485
0.07,390,296,64299,175.13,4.902616820558012,27144,0.05554875486996025
0.07,400,302,65554,167.55,4.673807360873309,27776,0.06854468397796154
0.07,410,313,67528,164.01,4.501503875688062,28760,0.0313193405745551
0.07,420,318,68492,159.34,4.367495367411025,29240,0.08145669067744166
0.07,430,323,69508,150.95,4.133811642940434,29752,0.033956280327402055
0.07,440,330,70881,148.93,4.0603437333403045,30440,0.0686037817504257
0.07,450,336,71963,139.36,3.786272246443965,30976,0.06457921920809895
0.07,460,342,73141,134.66,3.6450331229675417,31568,0.06738101947121322
0.07,470,348,74286,133.22,3.5766491615477047,32136,0.10598942299839109
0.07,480,353,75240,120.76,3.209209409446945,32616,0.03336707514245063
0.07,490,360,76675,122.76,3.2537867322247975,33336,0.06942556391004473
0.07,500,367,78006,123.52,3.28909327628928,34000,0.04539652407402173
0.07,510,374,79362,117.34,3.1666277272569308,34680,0.033001212985254824
0.07,520,383,81029,124.37,3.3576171825065195,35512,0.05911152099724859
0.07,530,388,81975,123.67,3.3373221651332465,35984,0.06860888068331406
0.07,540,395,83403,124.22,3.3466628842531327,36696,0.09241305198520422
0.07,550,402,84664,126.01,3.360814998965679,37328,0.05660698970314115
0.07,560,410,86229,129.88,3.471171098633414,38112,0.07961070362944156
0.07,570,417,87608,132.22,3.5277201585092577,38800,0.043225151603110135
0.07,580,424,89036,136.96,3.637949273836412,39512,0.0669288940844126
0.07,590,430,90132,133.57,3.5117460494162844,40064,0.056423426896799356
0.07,600,437,91461,133.55,3.473773304600853,40728,0.04321734223049134
0.07,610,441,92278,128.16,3.3502700470225877,41136,0.1140598010388203
0.07,620,446,93200,120.71,3.137750846362995,41592,0.03085248067509383
0.07,630,456,94945,128.7,3.305422172422551,42472,0.054944018193054944
0.07,640,462,96210,127.07,3.2600697059388763,43104,0.054950057237874717
0.07,650,466,96949,121.85,3.1455791917132268,43472,0.13310893764719367
0.07,660,470,97828,114.99,2.913404308528888,43912,0.05406203225720674
0.07,670,477,99105,113.97,2.863900266026464,44552,0.11432589759351686
0.07,680,481,99930,107.94,2.705003236282855,44960,0.06564223271561787
0.07,690,486,100823,105.91,2.6560045565778165,45408,0.06587817741092294
0.07,700,490,101653,100.92,2.534570619203283,45824,0.05368081689812243
0.07,710,497,103052,106.74,2.6459344587335174,46520,0.07755663269199431
0.07,720,504,104350,110.5,2.7215636091337676,47168,0.041250688780564815
0.07,730,510,105415,103.7,2.5711593617862785,47704,0.09984424413414672
0.07,740,515,106413,101.03,2.522801655876169,48200,0.08832722448278219
0.07,750,521,107490,104.41,2.601687927052268,48744,0.06499583675758913
0.07,760,526,108469,105.41,2.6411358483946645,49232,0.09944479918340221
0.07,770,530,109366,101.61,2.564480290965924,49680,0.07487938873236999
0.07,780,537,110720,106.9,2.701535031981754,50352,0.13491378171602264
0.07,790,545,112178,112.55,2.8607656479589183,51088,0.05311586015159264
0.07,800,550,113224,114.71,2.9039613432697355,51608,0.051331699069123715
0.07,810,555,114204,110.52,2.7955925319927273,52096,0.12212412967346609
0.07,820,563,115670,112.2,2.8392820937441376,52832,0.06286843374255113
0.07,830,568,116620,111.05,2.799635991946575,53304,0.039964833500562236
0.07,840,571,117204,106.91,2.67436889058828,53600,0.06232983592781238
0.07,850,575,117875,102.85,2.6482291924506205,53936,0.07402782491408288
0.07,860,579,118655,100.86,2.629586560313638,54320,0.08783938665874302
0.07,870,583,119428,99.62,2.61014283896826,54712,0.07639019115595147
0.07,880,587,120337,95.17,2.4833289565897965,55168,0.05093296041013673
0.07,890,595,121711,94.33,2.452456266724253,55848,0.06267037344514392
0.07,900,601,122857,95.33,2.4682625461024754,56424,0.03831609999178909
0.07,910,604,123562,92.58,2.4086840929736795,56776,0.07521528011420742
0.07,920,607,123985,82.15,2.1715329822797984,56992,0.004043232882395387
0.07,930,610,124729,80.09,2.126583361939428,57360,0.06162931665312499
0.07,940,613,125203,78.99,2.123922985371091,57600,0.05114483123179525
0.07,950,616,125729,77.54,2.033070994580765,57864,0.08626792195718735
0.07,960,621,126716,79.61,2.0765715341934325,58352,0.08541870885528624
0.07,970,624,127378,78.5,2.052593911976663,58688,0.06330508197424933
0.07,980,630,128560,81.23,2.1349777527672256,59272,0.039240248093847185
0.07,990,633,129110,72.99,1.9531881227131922,59552,0.07210540410596877
0.07,1000,636,129700,67.43,1.8484470530880708,59848,0.12064769020071253
0.07,1010,640,130490,68.28,1.860164973596622,60240,0.1423976902733557
0.07,1020,643,130958,68.73,1.8651587988617095,60472,0.0971701659145765
0.07,1030,646,131523,66.94,1.8187676481034005,60760,0.13089557504281402
0.07,1040,649,132131,68.28,1.8524296674297078,61064,0.061700762540567666
