rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9683335000000001,135.2,10,1,1362,-7.609257319111423,,
0.95287225,100.35,20,2,2027,-5.8173729299408095,,
0.9305755,98.53333333333333,30,3,2986,-5.935855016838828,,
0.9162069999999999,89.1,40,4,3604,-5.370515685324761,,
0.8999784999999999,85.04,50,5,4302,-5.059021929957647,,
0.8841219999999997,82.06666666666666,60,6,4984,-4.8513053484228585,,
0.8742640000000003,76.25714285714285,70,7,5408,-4.451643340376523,,
0.8559197499999999,76.4625,80,8,6197,-4.522264236033413,,
0.82457875,82.83333333333333,90,10,7545,-5.004336090200146,,
0.8028864999999998,83.78,100,12,8478,-5.086978530081032,,
0.7843794999999999,78.12,110,13,9274,-4.835384199149929,,
0.7544800000000003,84.33,120,18,10560,-5.319329005646938,0.07365068420040188,272
0.720256,89.46,130,29,12032,-5.628410633007299,0.05581769929267466,1008
0.6754067500000001,102.57,140,42,13961,-6.476046825813184,0.055343649386486504,1976
0.6251169999999999,117.22,150,58,16124,-7.399009904463936,0.0829864908446325,3056
0.5950314999999999,123.34,160,68,17418,-7.6967535763765484,0.10357286786893383,3704
0.57240925,128.83,170,75,18391,-8.095193061612425,0.06607809447450563,4192
0.5515307500000001,129.92,180,82,19289,-8.038367398676806,0.08637486284715123,4640
0.5325355,124.61,190,88,20106,-7.586895770229583,0.05079267063410953,5048
0.5154700000000003,122.62,200,93,20840,-7.435766826022786,0.09632194426376373,5416
0.49235950000000017,124.6,210,101,21834,-7.4165682371705115,0.06044708064291626,5912
0.47099275000000007,120.93,220,108,22753,-7.017383618753831,0.06132246583001688,6376
0.4513232500000003,114.67,230,114,23599,-6.561897193718973,0.059869354125112295,6792
0.44030274999999985,100.12,240,118,24073,-5.691515613437922,0.09804142650682479,7032
0.4251670000000003,85.0,250,123,24724,-4.828534776199323,0.08084121893625706,7360
0.4038002500000003,81.25,260,130,25643,-4.838534310373276,0.08050440798979253,7816
0.3853397500000001,79.46,270,136,26437,-4.603864596827772,0.1351842349395156,8216
0.3689950000000004,77.51,280,141,27140,-4.51297938936342,0.09958582284161821,8568
0.3494185000000002,77.76,290,148,27982,-4.525385985185975,0.1432992722839117,8984
0.3325622500000003,77.67,300,154,28707,-4.494686455131847,0.09991921007167548,9352
0.31524100000000044,75.18,310,159,29452,-4.413290017885144,0.09005345858167857,9720
0.3009655000000002,72.13,320,164,30066,-4.252029470544867,0.06373132998123765,10032
0.2768785,74.03,330,172,31102,-4.3517623948620034,0.1253895068075508,10544
0.2586737499999999,77.12,340,179,31885,-4.442619796699987,0.10639514971990138,10936
0.24630474999999996,75.93,350,183,32417,-4.265567208975046,0.07222114119213074,11208
0.22603075000000028,75.46,360,190,33289,-4.020416443906755,0.08358682715333998,11640
0.19589875,80.48,370,200,34585,-4.3341316309161595,0.10800261399708688,12288
0.16411599999999993,87.12,380,211,35952,-4.714084689819972,0.07305581076070666,12968
0.13565799999999983,90.94,390,221,37176,-4.907849200922788,0.07357911259168759,13584
0.11849949999999998,91.07,400,227,37914,-4.870143540877918,0.10291065159253776,13952
0.08304325000000001,98.87,410,239,39439,-5.218100310536333,0.04838404187466949,14712
0.07,116.98,420,257,41864,-6.065275574118951,0.0674974168650806,15928
0.07,124.24,430,271,43626,-6.360292896732496,0.07647863682359457,16808
0.07,131.99,440,284,45184,-6.69146291573996,0.07422942668199539,17584
0.07,139.13,450,293,46430,-7.015663145033974,0.07379154535010457,18208
0.07,143.56,460,303,47745,-7.173393849262239,0.07097782636992633,18872
0.07,142.71,470,312,48956,-7.051455136950554,0.06525235762819648,19472
0.07,138.04,480,319,49856,-6.741990948702594,0.1545851854607463,19920
0.07,132.53,490,324,50529,-6.414895702200528,0.1077977285021916,20264
0.07,132.96,500,331,51310,-6.4163282027093445,0.09125693084206432,20648
0.07,125.19,510,337,52058,-6.005629165068471,0.0686460065189749,21024
0.07,111.91,520,346,53155,-5.382664937937311,0.10300201014615595,21576
