time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
10,-17.389453496721693,20,2956,294.6,0.9312729999999999,,
20,-18.553809902917,39,5776,287.8,0.8657079999999999,,
30,-19.586434803670596,59,8776,291.53333333333336,0.7959579999999999,,
40,-19.351817688899906,80,11590,288.75,0.7305325000000003,792,0.00026966036966769025
50,-19.157296396954543,104,14463,288.26,0.66373525,2224,0.010153613289730856
60,-19.21827035904704,129,17463,290.05,0.5939852499999999,3728,0.010497434566786978
70,-18.418190080106307,151,20222,287.8857142857143,0.5298384999999999,5104,0.010751230394816957
80,-18.02865177115322,174,22991,286.3875,0.4654592499999999,6488,0.0010164707928197458
90,-17.351252831461313,196,25728,284.8666666666667,0.4018240000000002,7856,0.0009908019746944774
100,-16.90077024048038,218,28495,283.95,0.33749125,9240,0.021091230657475535
110,-16.355895940484466,240,31304,282.48,0.27218200000000015,10648,0.0012130043760407716
120,-15.82759816170407,264,34304,284.28,0.20243200000000006,12144,0.0006794567379984073
130,-15.239742518952532,287,37304,284.28,0.13268200000000008,13648,0.0006113127565186005
140,-15.058575976176792,311,40304,286.14,0.07,15144,0.011542742773599457
150,-14.603035776466916,334,43250,286.87,0.07,16624,0.0011697445588652045
160,-14.044086024083407,355,45988,284.25,0.07,17992,0.011506251452374272
170,-14.150649217662519,378,48988,286.66,0.07,19488,0.01202572347392561
180,-13.875312113496783,400,51702,286.11,0.07,20848,0.0005417290394689189
190,-14.171123122140834,420,54314,284.86,0.07,22152,0.0011574182935873978
200,-14.364675536549301,443,57314,287.19,0.07,23656,0.0008871810860000551
210,-14.33093030083505,464,59918,285.14,0.07,24952,0.011812607324827695
220,-14.141104945379036,483,62425,280.21,0.07,26208,0.0007811355862941127
230,-14.15017539616827,507,65425,280.21,0.07,27712,0.0009341546610812657
240,-14.013178889760763,530,68425,280.21,0.07,29208,0.0008948719623731449
250,-13.988329816534728,551,71032,276.82,0.07,30512,0.001065083735738881
260,-13.88911432673941,570,73452,273.64,0.07,31720,0.0011382240991224535
270,-13.660392080691112,589,76042,269.54,0.07,33016,0.012906568706966937
280,-13.842654612436176,610,78838,270.36,0.07,34416,0.0013665401347680017
290,-13.397159907183816,626,81032,266.18,0.07,35512,0.012676376958552282
300,-13.207910675354908,646,83763,263.49,0.07,36880,0.004365375043562381
310,-13.50392202927049,666,86388,263.7,0.07,38192,0.0024634567016619258
320,-13.636424627396632,684,88827,263.02,0.07,39408,0.0035745390923693776
330,-13.343022855885508,704,91463,259.38,0.07,40728,0.004832640406675637
340,-12.874930484894598,720,93721,251.96,0.07,41856,0.03408018417758285
350,-12.809726453753754,741,96438,253.06,0.07,43216,0.014959994372475194
360,-12.824432159952625,763,99407,258.55,0.07,44696,0.00614110694732517
370,-12.857511508479707,783,102145,260.03,0.07,46072,0.006799007027439075
380,-12.83949677987703,804,104916,259.78,0.07,47456,0.010615125287586125
390,-12.865092905424667,823,107496,263.64,0.07,48744,0.025930443549441407
400,-12.9146754737774,842,110050,261.87,0.07,50024,0.027844142539834138
410,-12.985573605458763,864,113050,265.62,0.07,51520,0.01815454542884254
420,-13.051128326049666,883,115610,266.83,0.07,52800,0.0015506318777624983
430,-12.918707951700512,902,118077,265.14,0.07,54032,0.01925709554052446
440,-13.080898244072738,919,120386,265.65,0.07,55192,0.00852303057035897
450,-13.21092409866233,941,123386,268.48,0.07,56688,0.01199448397528613
460,-13.04097295406827,960,125944,264.37,0.07,57968,0.023009779753920157
470,-13.057675327795602,981,128726,264.81,0.07,59360,0.0011087037637480535
480,-12.847031692790345,998,131108,260.92,0.07,60552,0.0017879846818686929
490,-13.123984855093909,1021,134108,265.12,0.07,62048,0.022521456761751324
500,-12.801220566116477,1039,136552,264.02,0.07,63272,0.0018563871381047647
510,-12.469273036681363,1058,139223,260.73,0.07,64608,0.026913000554486644
520,-12.540042413413055,1081,142223,265.13,0.07,66104,0.006809353915741667
530,-12.56920680669363,1100,144904,267.27,0.07,67448,0.017940522215212695
540,-12.71504944690941,1121,147699,272.13,0.07,68848,0.014008116821059957
550,-12.105805161568012,1135,149646,261.6,0.07,69816,0.023514842097938526
560,-12.042791246143425,1153,152022,259.78,0.07,71008,0.016804443577711936
570,-11.678190491862633,1168,154103,252.77,0.07,72048,0.05057088262401521
580,-11.838356167116508,1190,156980,257.72,0.07,73488,0.027051295663113706
590,-11.466636354840725,1206,159138,249.3,0.07,74568,0.01911352269235067
600,-11.671613951109943,1224,161625,249.73,0.07,75808,0.057753387780394405
610,-11.311498767272026,1238,163452,241.29,0.07,76720,0.04786959166813176
620,-11.104308405757878,1257,166062,237.39,0.07,78024,0.06967256996358628
630,-11.14244125228629,1275,168415,234.11,0.07,79200,0.029117804137058556
640,-11.001552756290089,1292,170752,229.53,0.07,80368,0.02342374973522965
