rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.9811907500000001,79.9,809,10,-4.905280856506641,0,,
0.9585219999999999,88.2,1784,20,-5.734816774375888,1,,
0.9352255,91.86666666666666,2786,30,-5.687739766280576,3,,
0.9144400000000001,91.0,3680,40,-5.761471722098618,4,,
0.8867957500000002,96.38,4869,50,-6.056862775176047,5,,
0.84759625,108.25,6555,60,-6.776953091764372,7,,
0.8215330000000002,108.65714285714286,7676,70,-6.8916582837127205,9,,
0.7871462499999999,113.4375,9155,80,-7.353373741939227,11,,
0.7512714999999999,117.86666666666666,10698,90,-7.707474921479368,16,344,0.09209840045332385
0.722302,118.44,11944,100,-7.750373404841332,23,968,0.07372530657448806
0.6927279999999999,123.07,13216,110,-7.942909363648423,29,1600,0.10204452335892711
0.67563925,120.67,13951,120,-7.642008082687488,33,1968,0.038257918480667286
0.6583644999999998,118.08,14694,130,-7.4652665903898185,37,2344,0.06596096901921555
0.6389275000000001,117.5,15530,140,-7.303431246190118,41,2760,0.07502479368122295
0.6176770000000003,114.75,16444,150,-7.043925640610359,46,3216,0.0574140741082374
0.6006580000000002,105.21,17176,160,-6.372910266496225,50,3584,0.09358262439491227
0.5866382500000002,100.03,17779,170,-5.951321057058336,53,3888,0.07616248837439343
0.5693169999999999,92.69,18524,180,-5.2910562334953966,57,4256,0.0941743548028171
0.5525072500000002,84.49,19247,190,-4.6367111595081125,61,4616,0.10291625349782407
0.5358137499999998,79.21,19965,200,-4.207311642571489,65,4976,0.09412814595270902
0.5074952500000001,78.67,21183,210,-4.185092200698475,72,5584,0.12209098949097097
0.47368975000000024,85.86,22637,220,-4.646539194527045,80,6312,0.05136208300245926
0.4364432500000004,94.45,24239,230,-5.1688995798556,89,7112,0.11944849882274866
0.4036375000000002,100.2,25650,240,-5.503218224909228,98,7824,0.0702060975600034
0.37113399999999985,105.04,27048,250,-5.789419522047098,105,8520,0.061341123189777136
0.3380725000000002,111.94,28470,260,-6.140925441531109,114,9232,0.08518594061024487
0.3072894999999999,119.15,29794,270,-6.455721475024184,121,9896,0.08814992709085345
0.26971750000000005,127.86,31410,280,-6.8196268129277975,131,10704,0.0837015473516658
0.22872775,138.26,33173,290,-7.277495787510235,142,11584,0.10983299999497831
0.1969915000000001,144.73,34538,300,-7.531034905385752,150,12264,0.10114673804491758
0.1707190000000004,143.85,35668,310,-7.397818746552373,156,12832,0.0816352826077491
0.13696000000000008,143.83,37120,320,-7.253148962624671,165,13552,0.06663684151135385
0.10250350000000008,142.63,38602,330,-7.02433208519044,174,14296,0.04170962225180119
0.07,144.27,40177,340,-6.972510266981905,183,15088,0.10626559756929055
0.07,138.07,40955,350,-6.588774108988414,187,15472,0.07252205832628533
0.07,140.43,42613,360,-6.646275262788667,196,16304,0.0800739546539262
0.07,138.71,43765,370,-6.526882800836526,203,16880,0.07052236568415537
0.07,137.46,45256,380,-6.411713852956582,211,17624,0.05349756951909512
0.07,140.08,47281,390,-6.361909900711091,221,18640,0.03926602588035166
0.07,133.76,48014,400,-5.981260078390125,226,19000,0.030711537110619247
0.07,128.11,48579,410,-5.678220073709195,229,19288,0.06220697914250195
0.07,118.52,49072,420,-5.159550483186925,232,19528,0.04384592658607289
0.07,106.8,49382,430,-4.617657784979366,234,19688,0.08642421767581254
0.07,95.05,49782,440,-4.068872265973793,236,19888,0.053319681668654084
0.07,92.04,50259,450,-3.9134129154876063,239,20128,0.045708216610364616
0.07,82.29,50942,460,-3.4153976360841374,243,20464,0.09910218199365772
0.07,78.33,51698,470,-3.20513230251228,247,20848,0.04586155904689804
0.07,69.12,52268,480,-2.806605838723259,250,21128,0.11484188342001289
0.07,52.88,52669,490,-2.167412810771332,252,21328,0.07629247117438354
0.07,55.14,53628,500,-2.326611947962065,258,21808,0.07682231123908423
0.07,59.45,54624,510,-2.5579212084910714,264,22304,0.06838859501294792
0.07,78.57,57029,520,-3.404604316242617,277,23512,0.05445632233750075
0.07,99.84,59466,530,-4.311849515609376,291,24728,0.07629543292568997
0.07,116.65,61547,540,-5.071523723827307,303,25768,0.05371458537410945
0.07,133.61,63720,550,-5.798324224442052,315,26856,0.06966913348878734
0.07,139.4,64982,560,-6.035048554477146,322,27488,0.03710347518790513
0.07,145.69,66367,570,-6.206783034900497,330,28176,0.09205700669554062
0.07,156.15,67983,580,-6.540698624705372,339,28984,0.06954396973014809
0.07,163.57,69126,590,-6.783759737556434,345,29560,0.08388799431850202
0.07,171.3,70858,600,-7.038994748502099,355,30424,0.061346401111222804
0.07,170.17,71741,610,-6.931742226816966,360,30864,0.09246751596219838
0.07,158.98,73027,620,-6.451724361270659,367,31512,0.07003062561852857
0.07,145.88,74154,630,-5.879847013201605,373,32072,0.036924524261849
0.07,135.26,75173,640,-5.3561395963063045,379,32584,0.07081316845142283
0.07,129.15,76735,650,-5.067648815646714,388,33360,0.0538170303334482
0.07,129.04,77986,660,-5.069084137760308,395,33992,0.06181878250208683
0.07,125.83,79050,670,-5.023218330669669,401,34520,0.04707177623640746
0.07,118.75,79958,680,-4.81306472443382,406,34976,0.09628702147165313
0.07,115.21,80747,690,-4.742504587990871,411,35368,0.08646709530148655
0.07,101.55,81113,700,-4.227509656371145,413,35552,0.055320432991720736
0.07,97.34,81575,710,-4.083995286148698,416,35784,0.07939714784151874
0.07,87.38,81865,720,-3.6913779600944214,418,35928,0.11248676531249657
0.07,80.29,82283,730,-3.4096419397027495,421,36136,0.10568610701011494
0.07,74.79,82752,740,-3.2179985304076775,423,36368,0.09642153623281047
0.07,70.15,83850,750,-2.974730098391205,429,36920,0.15034192515304312
0.07,69.31,85017,760,-2.93140695707029,436,37504,0.05499827707535587
0.07,76.63,86813,770,-3.1037045501855944,446,38400,0.08621459832647815
0.07,80.19,88077,780,-3.2281991663862715,453,39032,0.07076511517516337
0.07,86.5,89497,790,-3.3503429547897543,461,39744,0.08838601730531082
0.07,93.06,90519,800,-3.6261529424209713,467,40256,0.05409308982780203
0.07,95.82,91257,810,-3.7615854875194827,471,40624,0.03752782123046927
0.07,100.78,92043,820,-3.956734399055053,475,41016,0.08102728327503428
0.07,105.3,92913,830,-4.152503108310341,480,41456,0.03795774275204167
0.07,109.01,93753,840,-4.272886247968686,485,41872,0.06308685566182248
0.07,103.36,94286,850,-4.120718113156959,488,42136,0.07252198783680797
0.07,97.8,94897,860,-3.899870143821831,492,42448,0.056987742718774825
0.07,87.9,95703,870,-3.630356074742041,496,42848,0.06599737610667944
0.07,80.11,96188,880,-3.352851424160109,499,43088,0.07778904985752888
0.07,72.86,96883,890,-3.1884934093483626,503,43440,0.03884013422066346
0.07,71.28,97747,900,-3.149707459118772,508,43872,0.07018578558927402
0.07,68.34,98191,910,-3.011266670299877,511,44088,0.07468273333506659
0.07,69.99,99142,920,-3.121452496819393,516,44568,0.03823081273003481
0.07,72.31,100244,930,-3.2313782396314474,523,45120,0.10598069871775806
0.07,81.47,102000,940,-3.711323222554591,532,45992,0.10568502405658364
0.07,92.61,103647,950,-4.190654417684809,542,46816,0.05859242251608521
0.07,102.81,105278,960,-4.639016868419606,551,47632,0.11369708634447306
0.07,107.12,106515,970,-4.826174109589039,558,48256,0.05136116937501356
0.07,108.39,107127,980,-4.874481516873007,561,48560,0.08506631437921897
0.07,108.3,107813,990,-4.8743437680066695,565,48904,0.1287051027175039
0.07,104.8,108327,1000,-4.6968854394357775,568,49160,0.02769196539884433
