time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/n_updates
22,3000,0.9302499999999999,10,299.0,-21.807606422194176,,
46,6000,0.8604999999999999,20,299.0,-22.731710696832383,,
69,8846,0.7943305,30,293.8666666666667,-21.17310704494174,,
99,11846,0.7245805000000001,40,295.15,-20.711183873581838,0.0002678592481970554,920
134,14846,0.6548305,50,295.92,-21.00590316013537,0.0004392857717903098,2416
169,17846,0.5850804999999999,60,296.43333333333334,-21.019804256035805,0.0006026614864822477,3920
199,20433,0.5249327499999997,70,290.9,-20.348058723829947,0.0007333312205446418,5216
234,23433,0.4551827500000002,80,291.9125,-19.755541710379212,0.0011904776256415062,6712
270,26394,0.38633949999999995,90,292.26666666666665,-19.62361371288895,0.0010162767284782603,8192
305,29306,0.31863549999999985,100,292.06,-19.614861542990376,0.0009854797426669393,9648
338,32051,0.2548142499999999,110,289.51,-19.314236617488636,0.000793072693340946,11024
375,35051,0.18506425000000037,120,289.51,-18.757903480438785,0.011532466029166244,12520
410,37945,0.11777874999999993,130,289.99,-19.0087303419755,0.0007894596856203862,13968
448,40945,0.07,140,289.99,-19.038365373813914,0.00088296334433835,15472
485,43945,0.07,150,289.99,-18.847716461262543,0.0006675017393718008,16968
522,46945,0.07,160,289.99,-18.659368879767758,0.0011137383626191877,18472
559,49945,0.07,170,294.12,-18.9004357215637,0.001036931440467015,19968
594,52677,0.07,180,291.44,-19.00280446955355,0.012116298406908754,21336
633,55677,0.07,190,291.83,-19.02012941770361,0.0006945565328351222,22832
672,58677,0.07,200,292.71,-19.389227360979707,0.0005854899136465974,24336
710,61677,0.07,210,295.26,-19.24626118788428,0.001151184733316768,25832
748,64677,0.07,220,295.26,-19.471942503974365,0.0007899490010458976,27336
787,67677,0.07,230,296.32,-19.517601218918525,0.0011444371120887809,28832
821,70368,0.07,240,293.23,-19.173569221257882,0.0010403882333775982,30176
860,73368,0.07,250,293.23,-19.4446138046845,0.0007073633787513245,31680
899,76368,0.07,260,293.23,-19.61940225899565,0.001595148100022925,33176
937,79368,0.07,270,293.23,-19.437510522415607,0.001960739704372827,34680
976,82368,0.07,280,295.91,-19.766788000276637,0.0011093205466750078,36176
1014,85368,0.07,290,295.91,-19.87483949356236,0.0009338858508272097,37680
1052,88286,0.07,300,295.09,-19.5020979393251,0.0013242003406048752,39136
1088,91153,0.07,310,293.76,-19.776263075122742,0.0015645351304556243,40576
1124,93907,0.07,320,291.3,-19.471405774112043,0.0014520169315801468,41952
1162,96907,0.07,330,291.3,-19.24763894890855,0.013917233773099724,43448
1200,99907,0.07,340,294.39,-19.481925517216858,0.0021300571752362885,44952
1239,102907,0.07,350,294.39,-19.230571719969227,0.0016535939212189987,46448
1277,105907,0.07,360,294.39,-18.866925183914528,0.0009943472177837975,47952
1315,108907,0.07,370,294.39,-19.01323997557108,0.0009287834764108993,49448
1353,111907,0.07,380,294.39,-18.953563760630562,0.001177679412649013,50952
1391,114907,0.07,390,294.39,-18.78629844412437,0.0012532306791399606,52448
1429,117907,0.07,400,295.21,-18.48200640294829,0.0011884361229022034,53952
1466,120907,0.07,410,296.54,-18.43273399065784,0.0013963616656837985,55448
1505,123907,0.07,420,299.0,-18.582603179909253,0.015147917765716556,56952
1543,126907,0.07,430,299.0,-18.72650796950878,0.0012960605126863811,58448
1580,129907,0.07,440,299.0,-18.7379399555544,0.0007189205643953755,59952
1618,132907,0.07,450,299.0,-18.450234603324024,0.001402222096658079,61448
1655,135907,0.07,460,299.0,-18.579528936964106,0.0014329949408420362,62952
1693,138907,0.07,470,299.0,-18.70835583712973,0.000960186698648613,64448
1731,141907,0.07,480,299.0,-18.525658593874915,0.0010419325044495054,65952
1768,144907,0.07,490,299.0,-18.242414228904057,0.0011302216444164515,67448
1806,147907,0.07,500,299.0,-18.298162205956828,0.0012565266297315247,68952
1844,150907,0.07,510,299.0,-18.17607968062573,0.0023831292273825966,70448
1882,153907,0.07,520,299.0,-18.07625417317299,0.001295939611736685,71952
1920,156907,0.07,530,299.0,-17.73637857765273,0.0008068970491876826,73448
1958,159907,0.07,540,299.0,-17.552882424060034,0.0007683466428716201,74952
1995,162907,0.07,550,299.0,-17.62079560078637,0.0009174279475701042,76448
2029,165626,0.07,560,296.19,-17.748721075024733,0.0011790052740252577,77808
2066,168577,0.07,570,295.7,-17.97524897178169,0.0011857252102345228,79288
2104,171577,0.07,580,295.7,-18.181944784322535,0.002950199086626526,80784
2146,174577,0.07,590,295.7,-18.53937462880233,0.001066909604560351,82288
2192,177577,0.07,600,295.7,-18.79844303057733,0.002326343732420355,83784
2235,180577,0.07,610,295.7,-18.98768166192415,0.0013539250503527,85288
2278,183577,0.07,620,295.7,-19.50885999952026,0.0022138076346891467,86784
2323,186577,0.07,630,295.7,-19.74913916822895,0.00246951690496644,88288
2369,189577,0.07,640,295.7,-20.29675072716141,0.0019171531894244254,89784
2412,192577,0.07,650,295.7,-20.73828693498703,0.0024797126097837463,91288
2457,195577,0.07,660,298.51,-21.196493446325803,0.011923883415875025,92784
2501,198577,0.07,670,299.0,-21.086037917789504,0.0013680881456821226,94288
