rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9462227499999998,10,2,2313,230.3,-14.707684090201605,,
0.9041170000000002,20,4,4124,205.2,-12.079293051507403,,
0.8704510000000001,30,6,5572,184.73333333333332,-10.795444374799763,,
0.8260202500000001,40,8,7483,186.075,-11.123096505157983,,
0.7775672500000002,50,11,9567,190.34,-11.388006061353574,,
0.7396929999999999,60,18,11196,185.6,-10.875401148387557,592,0.02776636977750968
0.7010049999999999,70,26,12860,182.71428571428572,-10.412023239649528,1424,0.05526213243865641
0.66257275,80,34,14513,180.4125,-9.96459201677786,2256,0.01850054200986051
0.6299762500000002,90,41,15915,175.83333333333334,-9.508809410474404,2952,0.07279325029958272
0.60509875,100,46,16985,168.85,-8.948289086179138,3488,0.03626931077815243
0.581221,110,52,18012,155.99,-7.892958768331725,4000,0.04536785667005461
0.5516237500000001,120,58,19285,150.61,-7.483105439399165,4640,0.035925102172768675
0.5343025000000002,130,62,20030,143.58,-6.934353622702573,5008,0.062150540441507474
0.50991325,140,67,21079,134.96,-6.166011802555196,5536,0.08752812828606693
0.4903135000000002,150,72,21922,122.55,-5.2606894283274555,5960,0.06977645078586647
0.45499675000000006,160,79,23441,121.45,-4.996836720052237,6720,0.06017993454588577
0.4227025000000001,170,87,24830,118.7,-4.780383030925461,7408,0.0433688477933174
0.3936400000000003,180,93,26080,114.67,-4.538842877327867,8032,0.051308941110619344
0.3569515,190,102,27658,116.43,-4.505223453821651,8824,0.018729574629105628
0.32221600000000006,200,110,29152,120.67,-4.602133567326019,9568,0.034700955176958814
0.28469049999999996,210,119,30766,126.54,-4.7060213938868465,10376,0.026756828709039837
0.2583947500000001,220,125,31897,125.12,-4.510973171574025,10944,0.048632622201694176
0.22258975000000003,230,133,33437,133.07,-4.696550538171572,11712,0.018930407386505976
0.19320174999999995,240,140,34701,135.22,-4.665915327488427,12344,0.01174212119076401
0.15374650000000012,250,149,36398,143.76,-4.820910449055202,13192,0.03303486807271838
0.12703225000000007,260,155,37547,140.06,-4.586865447158559,13768,0.08028232905780897
0.09641199999999983,270,162,38864,139.34,-4.4095402397990275,14424,0.059327857044991106
0.07,280,169,40170,139.9,-4.334578616074357,15080,0.045381443516816944
0.07,290,175,41381,136.23,-4.125887497513044,15688,0.025787398277316242
0.07,300,182,42716,134.64,-4.017677395660662,16352,0.07620439189486206
0.07,310,190,44161,132.95,-3.8784949493012806,17080,0.030059747106861323
0.07,320,197,45626,136.29,-3.9250441621370644,17808,0.0425430255709216
