rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss
0.267822625,300,-47.14572567769299,62983,116.69,554,21488,1.8537112474441528
0.25548850000000023,310,-46.4084680747334,64044,115.67,564,22016,1.902515396475792
0.24372400000000005,320,-45.44032968120392,65056,116.74,574,22520,1.5854552164673805
0.23590037499999994,330,-44.39769500074872,65729,112.62,580,22864,1.8462317138910294
0.22264787500000005,340,-42.40387776008987,66869,111.11,591,23432,2.213512599468231
0.20865137500000008,350,-42.37214618050769,68073,113.52,603,24032,2.1086248010396957
0.19775874999999998,360,-39.72208018781884,69010,108.92,612,24504,2.177827224135399
0.1812512500000002,370,-37.888824271568645,70430,110.22,626,25208,1.9559835493564606
0.16533662500000013,380,-38.84530738371362,71799,116.95,639,25896,2.240114212036133
0.15002650000000006,390,-35.68747712718784,73116,113.8,652,26552,2.4741798490285873
0.13280987500000008,400,-33.26098284844497,74597,115.14,667,27296,1.9584831446409225
0.11863900000000027,410,-32.54911476384673,75816,116.72,679,27904,2.3626015931367874
0.10087600000000019,420,-32.690879496096315,77344,121.88,694,28664,2.403506174683571
0.08054387500000026,430,-32.87901104312938,79093,132.64,712,29544,2.2937447130680084
0.07,440,-33.287573234939394,80359,133.9,725,30176,2.2071011066436768
0.07,450,-33.259078236043116,82349,141.76,744,31168,2.75396066904068
0.07,460,-34.23164151998545,84048,149.38,761,32016,2.371546819806099
0.07,470,-34.34007990160162,85689,151.59,777,32840,2.808802843093872
0.07,480,-32.78752533525086,87014,151.15,791,33504,2.5889695584774017
0.07,490,-32.076794290807875,88043,148.27,801,34016,3.468347132205963
0.07,500,-32.24336867563923,89301,146.04,814,34648,3.231724590063095
0.07,510,-33.21583001063225,91142,152.26,832,35568,3.060529440641403
0.07,520,-32.46667424826649,92805,153.61,848,36400,3.1055856347084045
0.07,530,-33.528255169505584,95026,158.33,871,37512,2.5699137449264526
0.07,540,-33.48416052394555,97083,166.24,896,38536,2.455349087715149
0.07,550,-33.07544070804664,99001,165.52,919,39496,3.1708931028842926
0.07,560,-34.38388072144626,100689,165.41,939,40344,3.133683532476425
0.07,570,-38.19385977547149,102727,169.38,963,41360,3.080597087740898
0.07,580,-40.30852663990675,104745,176.31,986,42368,3.095962256193161
0.07,590,-43.495348668582174,106515,183.72,1004,43256,3.4775088727474213
0.07,600,-46.81820093366737,108450,190.49,1023,44224,3.469633102416992
0.07,610,-46.97359991482749,109811,185.69,1037,44904,3.8558728396892548
0.07,620,-47.33081426295336,110918,180.13,1048,45456,3.6830593943595886
0.07,630,-47.06909029544467,112046,169.2,1060,46016,4.025201320648193
0.07,640,-47.321712397250685,113476,162.93,1074,46736,2.985289514064789
0.07,650,-47.58285873867677,114898,157.97,1089,47448,3.5673031955957413
0.07,660,-45.743362149692246,115806,150.17,1098,47896,3.4599152207374573
0.07,670,-42.62859231070392,117093,142.66,1111,48544,3.9878032505512238
0.07,680,-41.7627552699609,118876,140.31,1129,49432,3.737769365310669
0.07,690,-40.25559155627897,120692,140.77,1146,50344,3.450869768857956
0.07,700,-37.3992021835642,122262,137.12,1162,51128,4.348824471235275
0.07,710,-37.23371065594293,124592,146.81,1184,52288,3.602685332298279
0.07,720,-38.1477950501642,126465,154.47,1203,53232,4.385041832923889
0.07,730,-39.221996839238734,128818,166.72,1226,54408,3.900093138217926
0.07,740,-38.829764900821026,131048,174.72,1248,55520,3.442270964384079
0.07,750,-39.2095975913348,133762,187.64,1274,56880,3.557251274585724
0.07,760,-40.1754673480399,136459,205.53,1299,58224,3.3157133758068085
0.07,770,-40.73608615494648,139031,218.38,1325,59512,2.618953287601471
0.07,780,-42.38173788651004,141382,224.06,1348,60688,2.895621880888939
0.07,790,-42.504204153098655,143637,228.45,1370,61816,2.6540006697177887
0.07,800,-45.00318083109255,146022,236.6,1394,63008,1.6645196825265884
0.07,810,-45.844152193613326,148143,234.51,1415,64064,1.77742800116539
0.07,820,-45.547740645302014,150235,236.7,1435,65112,1.5314281284809113
0.07,830,-44.6220483052037,152618,237.0,1457,66304,0.9397337138652802
0.07,840,-47.93018830529038,155389,242.41,1483,67688,0.8498082980513573
0.07,850,-48.20230880714381,157961,240.99,1507,68976,0.8382481038570404
0.07,860,-49.09917742224988,160567,240.08,1531,70280,0.8147112242877483
0.07,870,-49.136220586104166,162764,236.33,1552,71376,0.6909109726548195
0.07,880,-47.720689050763895,165048,235.66,1573,72520,0.717341024428606
0.07,890,-50.2611053454284,167992,242.55,1601,73992,0.49838635697960854
0.07,900,-48.91908468029361,170312,241.9,1623,75152,0.4387645274400711
0.07,910,-48.5600023575246,172431,241.88,1643,76208,0.4403792545199394
0.07,920,-48.69969747649924,174813,244.78,1666,77400,0.41700344160199165
0.07,930,-47.38535548676013,175950,232.32,1677,77968,0.4406396057456732
0.07,940,-44.12013423880581,178125,226.36,1697,79056,0.3849654048681259
0.07,950,-42.22371476751064,179921,218.6,1715,79960,0.3277717512100935
0.07,960,-40.73263907343855,181413,207.46,1730,80704,0.3455940894782543
0.07,970,-39.226876708375464,182749,198.85,1743,81368,0.32964632846415043
0.07,980,-37.656530934758194,183638,184.9,1751,81816,0.2309492714703083
0.07,990,-33.89387253125163,184970,168.78,1764,82480,0.2758262865245342
0.07,1000,-31.75522842044614,185919,155.07,1773,82952,0.2726127738133073
0.07,1010,-30.495924838121095,187783,152.52,1791,83888,0.259226905182004
0.07,1020,-28.814148324049356,188863,139.5,1802,84424,0.19637747295200825
0.07,1030,-28.461597488923402,190285,142.35,1815,85136,0.2285682111978531
0.07,1040,-28.068982132265155,191583,133.58,1828,85784,0.1824110485613346
0.07,1050,-29.036143981759114,192939,129.18,1841,86464,0.20522445905953646
0.07,1060,-31.69712413173962,194970,134.57,1860,87480,0.2545457296073437
0.07,1070,-31.68902901441909,196751,139.02,1878,88368,0.2060657013207674
0.07,1080,-32.77282327757921,198519,147.81,1895,89256,0.1985206911340356
0.07,1090,-32.508338074764495,200065,149.95,1910,90032,0.19333694502711296
