time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates
1633,1210,0.07,176371,-64.55081607860028,203.47,0.4974100645631552,78184
1650,1220,0.07,178054,-66.51518417114619,194.51,0.4856395348906517,79024
1665,1230,0.07,179701,-67.5398111691792,186.56,0.5982143543660641,79848
1680,1240,0.07,181348,-66.59041156545814,176.89,0.4700281210243702,80672
1696,1250,0.07,183034,-65.14038077388182,172.95,0.5073350556194782,81512
1703,1260,0.07,183731,-62.69131286493056,155.52,0.4916982315480709,81864
1718,1270,0.07,185402,-60.42303334930156,157.28,0.42103058844804764,82696
1736,1280,0.07,187235,-53.076963311662304,158.73,0.5343246012926102,83616
1752,1290,0.07,189011,-50.62210247518475,160.72,0.5252494663000107,84504
1768,1300,0.07,190657,-48.87760872555932,163.44,0.3364893514662981,85328
1778,1310,0.07,191710,-39.25103029858697,152.39,0.3980186339467764,85848
1789,1320,0.07,192817,-34.482216717401755,146.63,0.3919360227882862,86408
1799,1330,0.07,193902,-30.148676961293408,141.01,0.37970181554555893,86944
1818,1340,0.07,195896,-28.5491817374449,144.48,0.4199201725423336,87944
1830,1350,0.07,197210,-28.641231801658396,140.76,0.41871504858136177,88600
1848,1360,0.07,199113,-29.406478570064433,152.82,0.4252975694835186,89552
