rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss
6.246098974661955,92182,716,0.07,860,158.18,41088,0.10464819014305249
6.1344293533156735,93511,729,0.07,870,155.68,41752,0.1347943855507765
6.074423309220646,94782,740,0.07,880,157.46,42384,0.08932871010620147
5.982786036898077,96279,754,0.07,890,159.57,43136,0.13533733985968865
5.568560766807094,97189,762,0.07,900,151.32,43592,0.1600458705215715
5.121400632811689,98676,776,0.07,910,144.37,44336,0.1603540859068744
4.919799033875709,100231,789,0.07,920,142.98,45112,0.1755981568712741
4.651196087914239,102125,807,0.07,930,140.37,46056,0.09049057052470744
4.7969810124513375,104063,825,0.07,940,146.51,47024,0.04536923083651345
4.9364991218853636,105626,839,0.07,950,150.75,47808,0.06096434508799575
5.111601438893965,107813,859,0.07,960,155.31,48904,0.13292215173714794
5.005306996223378,108863,867,0.07,970,152.52,49424,0.19259478992898948
5.1016458058227325,110314,879,0.07,980,154.32,50152,0.14746756412205286
4.985118565483045,111262,886,0.07,990,148.83,50624,0.10114816194982268
5.102884278003926,112655,897,0.07,1000,153.66,51320,0.13453849899815395
5.056059766474089,114065,908,0.07,1010,152.89,52032,0.11864301236346364
5.414655005635276,116623,928,0.07,1020,162.92,53304,0.14438193093519658
5.303496951495941,118040,939,0.07,1030,158.15,54016,0.10182879403873812
5.229155009155754,119544,951,0.07,1040,153.81,54768,0.18496214761398733
5.375550219377448,121593,968,0.07,1050,158.67,55792,0.18612520791066345
4.878685706292549,122220,973,0.07,1060,143.07,56104,0.11571166089561302
5.310149881221756,124419,990,0.07,1070,154.56,57208,0.1146742786077084
5.49583758164404,126286,1004,0.07,1080,158.72,58136,0.09987432300113142
5.758592629497958,127904,1016,0.07,1090,165.42,58944,0.12641939602326602
5.8893196204868605,129349,1028,0.07,1100,165.94,59672,0.10212236629740801
6.354276027145114,131813,1047,0.07,1110,176.48,60904,0.042218520829919726
6.034456614514656,133341,1060,0.07,1120,166.18,61664,0.11346138440421782
6.423934297344749,135664,1078,0.07,1130,175.24,62824,0.0710849218594376
6.809908525212918,138202,1098,0.07,1140,185.58,64096,0.08437296796182636
6.759544422703473,139914,1112,0.07,1150,182.21,64952,0.09718278306536376
7.172017868662615,141613,1125,0.07,1160,192.93,65800,0.09939735080115497
7.0411603798155795,143380,1139,0.07,1170,188.61,66688,0.11233509067096747
7.316734124520637,145579,1157,0.07,1180,191.93,67784,0.12655305690714158
7.507420313308486,147622,1173,0.07,1190,196.18,68808,0.07036589999916032
7.745053157363734,149706,1190,0.07,1200,202.57,69848,0.09848880441859365
7.58021631134068,151590,1206,0.07,1210,196.77,70792,0.12601895733678248
7.719639708943207,153392,1220,0.07,1220,199.51,71688,0.11201138436445035
7.711338739521739,155562,1238,0.07,1230,197.98,72776,0.1528903209255077
7.212282948151169,156638,1247,0.07,1240,183.36,73312,0.11195446667261422
7.192689664672247,158239,1260,0.07,1250,182.25,74112,0.0723712668986991
7.275786347300584,160104,1275,0.07,1260,183.91,75048,0.04409007825597655
7.322890724688355,161887,1290,0.07,1270,184.07,75936,0.07432851083285641
7.052745586083194,163579,1304,0.07,1280,179.0,76784,0.06912128199473955
7.109043276398321,165691,1321,0.07,1290,179.69,77840,0.07184248453995679
6.992857285487417,167355,1335,0.07,1300,175.49,78672,0.015911120310192928
6.917174130228016,169258,1350,0.07,1310,175.68,79624,0.08310064725810662
7.009525137456171,171397,1368,0.07,1320,179.05,80696,0.04257092274201568
6.854891645138326,173407,1384,0.07,1330,177.45,81696,0.08490046199585777
7.075728903428677,175145,1398,0.07,1340,184.07,82568,0.015745675991638564
6.984664960978442,176667,1411,0.07,1350,183.28,83328,0.056955638734507374
7.06340173016052,178804,1428,0.07,1360,186.0,84400,0.028885998457553796
7.132350472189089,180975,1445,0.07,1370,189.88,85480,0.05566469542100094
7.114953828439432,182671,1459,0.07,1380,189.92,86328,0.01540250048856251
7.16742707126243,184913,1477,0.07,1390,191.22,87456,0.02833102316071745
7.104928668034642,186515,1490,0.07,1400,190.6,88256,0.02759883797261864
7.275757001833509,188643,1508,0.07,1410,192.85,89320,0.042826267490454484
7.148118077712751,190255,1521,0.07,1420,187.58,90120,0.09194303552794736
7.24334550561269,192386,1538,0.07,1430,188.79,91192,0.04240281270176638
7.453169351294383,194541,1556,0.07,1440,192.96,92264,0.02843659666541498
7.746215290274478,196747,1574,0.07,1450,199.8,93368,0.07105392953963019
7.955217831823917,199317,1595,0.07,1460,204.13,94656,0.071041031711502
