Wall time,Step,Value
1693398883.7146251,486,0.8133337497711182
1693398884.0596812,835,3.0547633171081543
1693398884.2164981,999,4.669517517089844
1693398884.3267558,1094,5.719712734222412
1693398884.49968,1279,6.082104682922363
1693398884.8602083,1647,5.986224174499512
1693398885.0797703,1853,6.150274276733398
1693398885.2837567,2061,6.26643180847168
1693398885.8100219,2601,5.635210037231445
1693398886.5009694,3307,4.987231731414795
1693398886.7519314,3563,5.167486190795898
1693398887.1669202,3996,5.1064372062683105
1693398887.3637266,4199,5.256813049316406
1693398887.5046442,4338,5.4627461433410645
1693398887.9440525,4804,5.3992791175842285
1693398888.101272,4950,5.5692219734191895
1693398888.289865,5144,5.689682483673096
1693398888.352375,5206,5.882345199584961
1693398888.6507745,5520,5.897375106811523
1693398888.9017096,5773,5.95788049697876
1693398889.2782087,6159,5.927117347717285
1693398889.4120235,6296,6.034121513366699
1693398889.5694253,6451,6.119512557983398
1693398889.7417378,6631,6.176775932312012
1693398889.804834,6696,6.300702095031738
1693398890.307317,7213,6.332160472869873
1693398890.4801397,7388,6.431524276733398
1693398890.7786229,7697,6.358177661895752
1693398891.249323,8195,6.151902675628662
1693398891.5565097,8511,6.084053993225098
1693398891.7135556,8679,6.174010276794434
1693398891.8862886,8845,6.20268440246582
1693398892.0431871,9012,6.221686840057373
1693398892.341586,9316,6.434629440307617
1693398892.70274,9698,6.669986724853516
1693398899.5732775,10110,6.558132648468018
1693398900.2689714,10325,6.671389102935791
1693398900.7398531,10480,6.719552040100098
1693398901.4002352,10685,6.6866536140441895
1693398901.651129,10777,6.857771396636963
1693398902.751206,11204,6.565487384796143
1693398903.734104,11571,6.475159645080566
1693398904.8172271,11969,6.28975772857666
1693398905.1951022,12114,6.3805437088012695
1693398906.0664504,12431,6.344610214233398
1693398906.553351,12606,6.447047710418701
1693398907.126782,12813,6.41942024230957
1693398907.5905242,12983,6.413441181182861
1693398907.8730772,13094,6.459305286407471
1693398908.5794253,13342,6.369293212890625
1693398909.670629,13728,6.496232509613037
1693398910.3921983,14000,6.438016891479492
1693398911.9241934,14570,6.283673286437988
1693398912.9298036,14921,6.3450822830200195
1693398913.8727102,15246,6.329789638519287
1693398914.719762,15529,6.27260160446167
1693398916.2178755,16053,6.067935943603516
1693398916.6883986,16215,6.088954448699951
1693398918.155648,16712,5.961117267608643
1693398918.6735494,16902,6.052584648132324
1693398919.8420215,17331,6.053737640380859
1693398920.4540281,17534,6.048340797424316
1693398920.830236,17660,6.044259071350098
1693398921.4505649,17871,6.043544769287109
1693398922.235684,18138,5.936001777648926
1693398923.4232357,18555,5.959500789642334
1693398924.3660827,18887,5.878098011016846
1693398925.9595988,19440,5.716884613037109
1693398926.602651,19650,5.65252161026001
1693398927.9499207,20110,5.558376789093018
1693398928.7503047,20376,5.491685390472412
1693398929.4895709,20618,5.458806037902832
1693398930.8553643,21080,5.312434673309326
1693398931.460118,21292,5.253520488739014
1693398931.883899,21447,5.296433448791504
1693398932.2961206,21606,5.407674312591553
1693398932.8141162,21809,5.470635414123535
1693398933.5448012,22084,5.65933895111084
1693398933.9053795,22223,5.788912296295166
