Wall time,Step,Value
1693398883.7146251,486,121.5
1693398884.0596812,835,104.375
1693398884.2164981,999,83.25
1693398884.3267558,1094,68.375
1693398884.49968,1279,63.95000076293945
1693398884.8602083,1647,68.625
1693398885.0797703,1853,66.17857360839844
1693398885.2837567,2061,64.40625
1693398885.8100219,2601,72.25
1693398886.5009694,3307,82.67500305175781
1693398886.7519314,3563,80.9772720336914
1693398887.1669202,3996,83.25
1693398887.3637266,4199,80.75
1693398887.5046442,4338,77.46428680419922
1693398887.9440525,4804,80.06666564941406
1693398888.101272,4950,77.34375
1693398888.289865,5144,75.64705657958984
1693398888.352375,5206,72.30555725097656
1693398888.6507745,5520,72.63157653808594
1693398888.9017096,5773,72.1624984741211
1693398889.2782087,6159,73.32142639160156
1693398889.4120235,6296,71.54545593261719
1693398889.5694253,6451,70.11956787109375
1693398889.7417378,6631,69.07291412353516
1693398889.804834,6696,66.95999908447266
1693398890.307317,7213,67.2699966430664
1693398890.4801397,7388,65.52999877929688
1693398890.7786229,7697,66.9800033569336
1693398891.249323,8195,71.01000213623047
1693398891.5565097,8511,72.31999969482422
1693398891.7135556,8679,70.31999969482422
1693398891.8862886,8845,69.91999816894531
1693398892.0431871,9012,69.51000213623047
1693398892.341586,9316,67.1500015258789
1693398892.70274,9698,63.90999984741211
1693398899.5732775,10110,65.47000122070312
1693398900.2689714,10325,63.290000915527344
1693398900.7398531,10480,62.810001373291016
1693398901.4002352,10685,63.470001220703125
1693398901.651129,10777,59.72999954223633
1693398902.751206,11204,62.540000915527344
1693398903.734104,11571,64.2699966430664
1693398904.8172271,11969,67.62999725341797
1693398905.1951022,12114,65.94000244140625
1693398906.0664504,12431,66.58000183105469
1693398906.553351,12606,64.47000122070312
1693398907.126782,12813,65.16999816894531
1693398907.5905242,12983,65.31999969482422
1693398907.8730772,13094,64.62999725341797
1693398908.5794253,13342,66.45999908447266
1693398909.670629,13728,65.1500015258789
1693398910.3921983,14000,66.12000274658203
1693398911.9241934,14570,68.7300033569336
1693398912.9298036,14921,67.26000213623047
1693398913.8727102,15246,67.3499984741211
1693398914.719762,15529,68.5
1693398916.2178755,16053,72.08000183105469
1693398916.6883986,16215,72.02999877929688
1693398918.155648,16712,73.95999908447266
1693398918.6735494,16902,72.04000091552734
1693398919.8420215,17331,72.20999908447266
1693398920.4540281,17534,72.08999633789062
1693398920.830236,17660,71.80000305175781
1693398921.4505649,17871,71.86000061035156
1693398922.235684,18138,73.61000061035156
1693398923.4232357,18555,73.51000213623047
1693398924.3660827,18887,73.16000366210938
1693398925.9595988,19440,74.70999908447266
1693398926.602651,19650,75.36000061035156
1693398927.9499207,20110,76.79000091552734
1693398928.7503047,20376,77.69999694824219
1693398929.4895709,20618,78.05000305175781
1693398930.8553643,21080,80.97000122070312
1693398931.460118,21292,81.9800033569336
1693398931.883899,21447,81.05000305175781
1693398932.2961206,21606,78.77999877929688
1693398932.8141162,21809,78.08999633789062
1693398933.5448012,22084,75.13999938964844
1693398933.9053795,22223,73.0199966430664
1693398934.062443,22272,70.26000213623047
1693398934.5488193,22465,69.36000061035156
1693398935.2547607,22726,66.7300033569336
1693398935.6490428,22858,66.43000030517578
1693398935.9532654,22975,62.630001068115234
1693398936.5182433,23192,62.900001525878906
1693398936.879362,23343,60.119998931884766
1693398937.155379,23439,59.04999923706055
1693398937.5245361,23580,59.20000076293945
1693398938.4544046,23937,60.65999984741211
1693398938.9839396,24139,60.0099983215332
1693398939.355308,24271,57.15999984741211
1693398940.1699903,24584,56.970001220703125
1693398940.5309033,24719,52.790000915527344
1693398941.1905534,24970,53.20000076293945
1693398941.6227562,25128,50.18000030517578
1693398942.4080455,25428,50.52000045776367
1693398942.7451358,25548,49.29999923706055
1693398943.090976,25679,45.9900016784668
1693398943.5077188,25827,45.349998474121094
1693398944.0100338,26023,45.7599983215332
1693398945.5252986,26607,50.0099983215332
1693398946.027372,26799,49.900001525878906
1693398946.4508805,26971,48.869998931884766
1693398946.8902597,27149,49.2599983215332
1693398947.2195733,27277,50.04999923706055
1693398948.5301847,27768,53.029998779296875
1693398948.985285,27940,52.13999938964844
1693398949.4326653,28100,52.41999816894531
1693398950.7347207,28580,56.04999923706055
1693398950.9381518,28648,54.560001373291016
1693398951.2362359,28765,54.220001220703125
1693398951.9189484,29015,55.7599983215332
1693398952.844485,29330,57.5
1693398953.0484018,29408,54.709999084472656
1693398953.4644914,29547,54.08000183105469
1693398953.7469285,29639,53.68000030517578
1693398954.2489197,29808,52.2400016784668
1693398955.1908054,30121,54.02000045776367
1693398955.5127046,30242,52.720001220703125
1693398955.8264935,30343,52.150001525878906
1693398956.587703,30606,51.779998779296875
1693398956.7524621,30663,51.150001525878906
1693398957.4616206,30930,52.5099983215332
1693398957.932349,31102,52.75
1693398958.403069,31270,52.470001220703125
1693398958.9050574,31450,48.43000030517578
1693398960.6638281,32061,52.619998931884766
1693398961.981312,32511,55.400001525878906
1693398962.8723514,32803,56.540000915527344
1693398963.9160898,33136,58.59000015258789
1693398964.9101636,33435,56.66999816894531
1693398965.3219013,33568,56.279998779296875
1693398965.776668,33713,56.130001068115234
1693398966.2160919,33858,52.779998779296875
1693398966.6436498,33993,53.45000076293945
1693398966.8623497,34062,52.970001220703125
1693398967.2330468,34188,51.72999954223633
1693398967.7592914,34349,50.189998626708984
1693398968.1355684,34461,50.529998779296875
1693398968.5917633,34606,50.59000015258789
1693398969.247677,34782,51.43000030517578
1693398969.8620338,34966,51.58000183105469
1693398970.115246,35034,49.130001068115234
1693398970.4227746,35120,48.779998779296875
1693398970.838677,35243,49.0
1693398971.145752,35329,47.22999954223633
1693398971.7093358,35502,48.38999938964844
1693398972.0211582,35600,46.70000076293945
1693398972.4499915,35718,46.15999984741211
1693398972.775213,35831,45.61000061035156
1693398973.252099,35989,45.38999938964844
1693398973.6134648,36111,40.5
1693398974.2140117,36292,37.810001373291016
1693398974.5689757,36409,36.060001373291016
1693398974.9142354,36511,33.75
1693398975.1370451,36590,31.549999237060547
1693398975.4593883,36705,31.3700008392334
