rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
-10.02546988472806,10,1,161.2,0.9622885000000002,1622,,
-11.270026505710073,20,4,173.7,0.9187645000000001,3494,,
-12.055763126652886,30,6,183.3,0.8714507499999999,5529,,
-13.475927480772054,40,9,194.25,0.8184174999999999,7810,,
-14.199115756821143,50,13,198.0,0.7686625000000002,9950,,
-13.168590678872985,60,19,187.38333333333333,0.7372052500000001,11303,648,0.01848944329049118
-12.293833280965812,70,25,178.12857142857143,0.7084682500000004,12539,1264,0.037003054210799746
-11.525606060373736,80,31,170.3,0.6813819999999999,13704,1848,0.02804427731098258
-10.667832451640463,90,35,159.72222222222223,0.6636887500000002,14465,2232,0.01898604275629623
-10.177869025523902,100,40,154.34,0.6388345,15534,2760,0.05570062142214738
-9.729521995892291,110,46,149.54,0.612283,16676,3336,0.07367731556587387
-8.908858199093855,120,51,140.4,0.5900095000000002,17634,3816,0.02903288314701058
-7.750656206943005,130,53,124.12,0.5805467500000001,18041,4016,0.09190513170324266
-6.439846260077901,140,58,111.18,0.5575990000000001,19028,4512,0.05616178744821809
-5.271687255586979,150,65,101.64,0.5300245000000001,20214,5104,0.03842042092583142
-4.928586702201322,160,70,98.21,0.506542,21224,5608,0.047815600817557424
-4.852296524074742,170,77,98.39,0.47738650000000016,22478,6232,0.03962793532991782
-4.7843673603274395,180,83,98.25,0.4506257500000004,23629,6808,0.03975420305505395
-4.924722285486065,190,89,101.19,0.42609700000000017,24684,7336,0.08909547753864899
-4.7987683506897,200,93,99.74,0.40461400000000036,25608,7800,0.04743163718376309
-4.718577983680237,210,99,98.99,0.3798062499999999,26675,8336,0.07309007900767028
-4.616689173183488,220,103,96.48,0.3633685000000002,27382,8688,0.08935008168919012
-5.048159761222487,230,110,105.66,0.3325622500000003,28707,9352,0.05435443011811003
-4.882164088233657,240,114,102.15,0.31777524999999984,29343,9664,0.03135370754171163
