rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9742854999999998,109.6,10,1,1106,-6.670184795647697,,
0.9530117499999998,100.05,20,2,2021,-6.560439205422,,
0.9318077499999998,96.76666666666667,30,3,2933,-6.091642377229953,,
0.9085577499999998,97.325,40,5,3933,-6.233132982980212,,
0.8933522499999998,90.74,50,6,4587,-5.784193041051592,,
0.8600582500000001,99.31666666666666,60,8,6019,-6.325531273855718,,
0.8373662500000001,98.92857142857143,70,9,6995,-6.2006040308515535,,
0.82411375,93.5625,80,10,7565,-5.81419416799511,,
0.8093732499999999,90.1,90,12,8199,-5.533311765138799,,
0.7738472500000001,96.27,100,14,9727,-5.8497754763493575,,
0.765082,88.98,110,15,10104,-5.360775601021738,0.059071462601423264,48
0.7238364999999998,97.57,120,29,11878,-5.840898356101575,0.10111234900978161,936
0.7015629999999999,98.03,130,36,12836,-5.968135234533145,0.09173604520765366,1416
0.6614102500000003,105.3,140,49,14563,-6.439886820762017,0.0916832013608655,2280
0.6251867499999999,114.34,150,61,16121,-6.927532432059689,0.07429487635090481,3056
0.59328775,113.74,160,71,17493,-6.807639584320881,0.030423165910178795,3744
0.5532745000000001,121.19,170,84,19214,-7.20466274525132,0.05902277535642497,4600
0.5294897500000002,125.72,180,92,20237,-7.550004159485358,0.013683654193300754,5112
0.5030080000000001,130.77,190,101,21376,-7.785852496627004,0.06095277186250314,5680
0.4751080000000002,127.49,200,111,22576,-7.512743468018869,0.07927927986020222,6280
0.46164625000000026,129.51,210,116,23155,-7.642952449545403,0.13310931966407225,6576
0.42863125000000024,125.97,220,127,24575,-7.293267981071463,0.09939832135569304,7280
0.40101025,128.27,230,137,25763,-7.274677605910654,0.07827528472989798,7880
0.38687424999999986,117.08,240,142,26371,-6.450364866537484,0.13633078336715698,8184
0.37120374999999994,108.24,250,148,27045,-5.918862780642185,0.0896315478021279,8520
0.34237375000000003,106.92,260,158,28285,-5.80647023888961,0.10744797007646412,9136
0.3212860000000002,98.78,270,165,29192,-5.338794875921056,0.09618427511304617,9592
0.302407,96.67,280,172,30004,-5.137465472512952,0.044760018470697105,10000
0.28210975000000016,94.01,290,179,30877,-4.974581783780899,0.08178841974586248,10432
0.25902250000000016,91.94,300,187,31870,-4.913255164964957,0.09908414410892874,10928
0.23491225000000016,96.52,310,196,32907,-5.150612284474049,0.11845470685511827,11448
0.20824449999999994,93.79,320,206,34054,-4.894746616860359,0.08810571895446628,12024
0.17992600000000025,94.09,330,216,35272,-4.921550713314415,0.10989731969311833,12632
0.16227924999999976,95.6,340,222,36031,-4.990376163363108,0.08249138621613383,13008
0.1412612499999999,97.9,350,229,36935,-5.084990376349901,0.09127903007902205,13464
0.12877600000000033,90.87,360,234,37472,-4.670542408200078,0.12512180488556623,13728
0.10629325000000012,91.47,370,242,38439,-4.657290581426199,0.06917921267449856,14216
0.07702149999999985,95.94,380,252,39698,-4.7914961084319385,0.10929240100085735,14848
0.07,97.38,390,261,40715,-4.888259082953246,0.06995180225931108,15352
0.07,110.21,400,279,42991,-5.452429463393393,0.07912911428138614,16488
0.07,120.97,410,297,45104,-5.955540939610123,0.15892759908456355,17544
0.07,119.03,420,305,46057,-5.874790247776175,0.09446874749846756,18024
0.07,120.36,430,316,47408,-5.889479006745693,0.06784446781966835,18696
0.07,122.16,440,324,48347,-5.955534406218537,0.09763504727743566,19168
0.07,121.5,450,331,49185,-5.889333328978114,0.10310018667951226,19592
0.07,128.83,460,342,50455,-6.239054893467166,0.07214732025749981,20224
0.07,133.27,470,354,51866,-6.471852729692614,0.06362296035513282,20928
0.07,130.19,480,362,52817,-6.319576223964795,0.09275013115257025,21408
0.07,131.38,490,371,53953,-6.350381565153276,0.12398532475344837,21976
0.07,117.23,500,379,54814,-5.65318085085756,0.0884441762464121,22400
0.07,109.38,510,390,56142,-5.255964567303316,0.08397743105888367,23064
0.07,113.14,520,401,57471,-5.417743535800549,0.08647388825193048,23728
0.07,114.64,530,413,58972,-5.518389453457856,0.0766422743909061,24480
0.07,115.58,540,422,60005,-5.588170895565906,0.08688093768432736,25000
0.07,113.81,550,427,60666,-5.516501490215367,0.0733156711794436,25328
0.07,116.02,560,440,62157,-5.576604180509434,0.09018677589483559,26072
0.07,108.26,570,446,62792,-5.179944916835535,0.10518216877244413,26392
0.07,103.14,580,450,63231,-4.953911219214076,0.044867319404147565,26608
0.07,95.81,590,453,63634,-4.624979227552987,0.10058943124022335,26816
0.07,94.45,600,460,64359,-4.534882798535687,0.08932760788593441,27176
0.07,86.85,610,464,64927,-4.126327869784138,0.06253548804670572,27456
0.07,84.27,620,474,65998,-3.9004166405380385,0.03544744988903403,27992
0.07,73.6,630,477,66432,-3.3669068690592905,0.0747693395242095,28208
0.07,70.26,640,483,67131,-3.151999657842738,0.07691979920491576,28560
0.07,69.13,650,488,67679,-3.0869005496025568,0.08497543807607144,28832
0.07,62.18,660,495,68475,-2.691145571556224,0.10017135622911155,29232
0.07,63.81,670,502,69273,-2.731687746222048,0.05993975221645087,29632
0.07,66.03,680,508,69934,-2.7741138447885643,0.1180128357373178,29960
0.07,73.2,690,517,71054,-3.016325345394249,0.10322253685444593,30520
0.07,73.03,700,523,71762,-3.0004627072164194,0.12641243904363364,30880
0.07,75.95,710,531,72622,-3.1985441566960198,0.07283171487506479,31304
0.07,73.84,720,539,73482,-3.1157749258858485,0.10747831931803375,31736
0.07,79.11,730,547,74443,-3.261156418956074,0.07815865834709257,32216
0.07,85.44,740,558,75775,-3.4418923674615085,0.06716417870484293,32880
0.07,90.36,750,567,76815,-3.583336277636897,0.060839142301119864,33400
0.07,92.21,760,575,77796,-3.6718950130694226,0.08404513006098568,33896
0.07,96.72,770,586,79045,-3.763169981247106,0.10693219164386392,34520
0.07,105.37,780,598,80571,-4.083239645976993,0.07450389268342406,35280
0.07,112.51,790,613,82405,-4.283701286051282,0.05296674300916493,36200
0.07,124.49,800,628,84311,-4.834116808514372,0.09378786280285567,37152
0.07,130.59,810,640,85781,-4.9432721923489,0.09981762280222028,37888
0.07,137.0,820,653,87282,-5.2269143988819255,0.06750205962453038,38640
0.07,142.37,830,665,88780,-5.4206008677747874,0.11590236076153815,39384
0.07,145.41,840,679,90416,-5.500786857244898,0.058564454317092896,40200
0.07,149.26,850,691,91841,-5.642011723835886,0.12216791254468262,40920
0.07,148.71,860,699,92767,-5.659095548598173,0.07475657551549375,41376
0.07,146.0,870,707,93745,-5.647424654917261,0.11127332889009267,41872
0.07,139.78,880,715,94649,-5.441731167055949,0.08198057510890067,42320
0.07,130.34,890,722,95539,-5.171862865723899,0.06012968753930181,42768
0.07,117.79,900,728,96190,-4.627489277383323,0.06726019876077771,43088
0.07,113.14,910,736,97195,-4.528479658782355,0.11419836059212685,43592
0.07,111.51,920,748,98533,-4.582026821069857,0.08090475178323686,44264
0.07,110.54,930,760,99934,-4.678662685239316,0.10836689407005906,44960
0.07,105.73,940,770,101089,-4.605377206059429,0.13951959274709225,45544
0.07,102.12,950,780,102153,-4.504553902398472,0.03770635032560676,46072
0.07,102.62,960,788,103129,-4.598182476455031,0.09425145341083407,46560
0.07,103.52,970,797,104197,-4.6360502581703,0.09416687302291393,47096
0.07,108.51,980,808,105600,-4.957089474845254,0.07460364094004035,47792
0.07,114.43,990,821,107082,-5.343174517256988,0.050211347290314734,48536
0.07,124.54,1000,835,108744,-5.866012476312263,0.0375455979956314,49368
0.07,127.47,1010,846,110042,-6.046783533263177,0.0752908467547968,50016
0.07,128.73,1020,859,111506,-6.176531094912369,0.09102446725592017,50752
0.07,132.18,1030,874,113252,-6.398002962929028,0.06678998237475753,51624
0.07,131.33,1040,883,114322,-6.452165309397427,0.07886383053846657,52160
0.07,135.2,1050,896,115773,-6.735328348040133,0.1311636110767722,52880
0.07,147.27,1060,914,117956,-7.36008221886382,0.1008074851706624,53976
0.07,154.31,1070,929,119728,-7.749235357240426,0.0882629236439243,54856
0.07,154.92,1080,941,121192,-7.75421596960999,0.056849234737455845,55592
0.07,151.84,1090,951,122366,-7.507193710825974,0.08937567472457886,56176
0.07,151.77,1100,965,124021,-7.377396347945852,0.04974768287502229,57008
0.07,157.88,1110,980,125930,-7.591678155422228,0.08118794008623809,57960
0.07,154.67,1120,990,127073,-7.374852495274691,0.049564722226932645,58536
0.07,157.62,1130,1008,129114,-7.330450101005128,0.08030251367017627,59552
0.07,159.83,1140,1018,130405,-7.296943153427541,0.032777270302176476,60200
0.07,159.55,1150,1031,131828,-7.298582614186415,0.12513086129911244,60912
0.07,153.83,1160,1045,133439,-6.912873696756269,0.06307719822507352,61712
0.07,148.76,1170,1056,134704,-6.692613598360153,0.09376443503424525,62344
0.07,151.02,1180,1070,136394,-6.715901054031439,0.05021507618948817,63192
0.07,155.87,1190,1084,138053,-6.92118586999627,0.08357749134302139,64024
0.07,148.61,1200,1092,138982,-6.5945912125730715,0.04472885443829,64488
0.07,149.93,1210,1110,141023,-6.726165439531911,0.07249956205487251,65504
0.07,154.92,1220,1124,142665,-6.835567642025831,0.07833315245807171,66328
0.07,150.22,1230,1138,144236,-6.670468430016074,0.10745298117399216,67112
0.07,150.13,1240,1149,145518,-6.726039653413973,0.07056477968581021,67752
0.07,152.83,1250,1163,147211,-6.761926914901227,0.09205708745867014,68600
0.07,154.51,1260,1177,148990,-6.755666922070467,0.08940466318745166,69488
0.07,150.87,1270,1184,149891,-6.506349646517071,0.049194190418347716,69944
0.07,144.87,1280,1193,150981,-6.296818111263809,0.07430860714521259,70488
0.07,148.61,1290,1209,153014,-6.472752842813145,0.07872751448303461,71504
0.07,153.86,1300,1221,154468,-6.723218449005319,0.051115857204422355,72232
0.07,148.82,1310,1235,156005,-6.506502503801535,0.06992143322713673,73000
0.07,156.26,1320,1256,158391,-6.976266000801271,0.08955878345295787,74192
0.07,158.7,1330,1271,160206,-7.224813913982578,0.04400747758336365,75096
0.07,157.03,1340,1281,161321,-7.231371284940025,0.04840696812607348,75656
0.07,155.89,1350,1293,162900,-7.331918461335163,0.05990358744747937,76448
0.07,152.5,1360,1306,164340,-7.320382781178512,0.0788006188813597,77168
0.07,155.46,1370,1316,165537,-7.524749225473114,0.055561826447956264,77768
0.07,158.23,1380,1325,166904,-7.639576537770687,0.05873027537018061,78448
0.07,150.3,1390,1334,168144,-7.289447895887289,0.07388161518611014,79064
0.07,148.4,1400,1344,169408,-7.226840130809869,0.08319407375529408,79696
0.07,153.12,1410,1361,171417,-7.402680875524606,0.08919648197479546,80704
0.07,144.83,1420,1374,172974,-6.95340361036515,0.09445134177803993,81480
0.07,139.85,1430,1385,174291,-6.676523231412415,0.10240811808034778,82144
0.07,139.15,1440,1394,175336,-6.629672074403641,0.05650749243795872,82664
0.07,135.34,1450,1404,176534,-6.241762359885239,0.04294747463427484,83264
0.07,133.54,1460,1415,177794,-6.151633733265303,0.06150533352047205,83896
0.07,131.4,1470,1423,178777,-5.976154898173933,0.07556846807710826,84384
0.07,133.28,1480,1435,180332,-5.9701614934580745,0.08478790405206382,85160
0.07,134.5,1490,1446,181694,-5.992587287344486,0.05914313718676567,85840
0.07,133.5,1500,1456,182858,-5.924510545509821,0.08646862301975489,86424
0.07,129.81,1510,1470,184498,-5.769919783680401,0.039261764381080866,87248
0.07,120.64,1520,1475,185138,-5.440740603648058,0.07612374587915838,87568
0.07,119.49,1530,1486,186340,-5.300919724822019,0.08575444738380611,88168
0.07,118.63,1540,1495,187299,-5.213177412546558,0.07370262430049479,88648
0.07,123.91,1550,1509,189025,-5.500619866051765,0.06952802196610719,89512
0.07,125.86,1560,1521,190480,-5.625516050874165,0.11427043378353119,90232
0.07,122.93,1570,1527,191170,-5.5781243728092935,0.09012451488524675,90584
0.07,116.19,1580,1534,192051,-5.386791909471586,0.07209153636358678,91024
0.07,115.11,1590,1545,193305,-5.3381094178194415,0.07566026411950588,91648
0.07,110.6,1600,1551,194018,-5.168559114393997,0.03180381748825312,92008
0.07,104.86,1610,1560,195084,-4.855394468062085,0.06728655844926834,92536
0.07,106.42,1620,1567,195880,-4.910207439524744,0.042076028883457184,92936
0.07,101.53,1630,1573,196593,-4.758409916351587,0.07607738859951496,93296
0.07,100.02,1640,1580,197401,-4.662178247469377,0.09137668227776885,93696
0.07,93.63,1650,1589,198488,-4.391247222275925,0.10096640605479479,94240
0.07,89.49,1660,1598,199529,-4.115982292508371,0.07917531311977655,94760
