rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
-14.626216464579795,22,3000,0.965125,299.0,10,,
-13.994472019313175,43,6000,0.9302499999999999,299.0,20,,
-12.960107160514207,62,8851,0.8971071249999999,294.03333333333336,30,,
-12.33648642105882,81,11640,0.8646849999999999,290.0,40,,
-12.456248085851799,103,14640,0.8298099999999999,291.8,50,,
-12.445835033606807,122,17453,0.7971088749999999,289.8833333333333,60,,
-12.318658982264074,144,20453,0.762233875,291.1857142857143,70,224,0.018655858919373713
-12.619405277659936,171,23453,0.7273588750000002,292.1625,80,1720,0.00942179407866206
-12.016569099721286,191,25774,0.70037725,285.3777777777778,90,2880,0.00016861518088262528
-11.394858772536486,206,27528,0.6799870000000001,274.28,100,3760,0.01812904559119488
-10.883313095757284,227,29844,0.6530635,267.44,110,4920,0.00040594819620309863
-10.356097348454965,251,32515,0.6220131250000001,264.15,120,6256,0.009375693476613378
-10.003274580310547,268,34478,0.5991932499999999,255.27,130,7232,0.0014267815131461248
-9.662622414300552,287,36602,0.57450175,248.62,140,8296,0.010429046262288466
-9.138542970824291,307,38847,0.5484036250000002,241.07,150,9416,0.02658962315763347
-8.279730580756302,320,40191,0.5327796250000001,226.38,160,10088,0.011017871511285193
-7.592958556272455,332,41536,0.517144,209.83,170,10760,0.026356524438597262
-6.478693633898571,343,42631,0.5044146250000001,190.78,180,11312,0.020075675245607272
-6.012074240587378,352,43608,0.4930570000000001,177.34,190,11800,0.02072693989612162
-5.823419929873882,361,44675,0.4806531250000001,170.47,200,12336,0.02668733475729823
-5.257866121752572,370,45640,0.46943500000000016,156.96,210,12816,0.04209732578601688
-4.718113513900719,378,46506,0.4593677500000001,138.91,220,13248,0.017923759063705802
-4.412304301087818,389,47698,0.4455107500000002,131.2,230,13848,0.01697450934443623
-3.9249026411616423,396,48397,0.437384875,116.95,240,14192,0.03038765606470406
-3.511447898640622,404,49318,0.42667825000000015,103.71,250,14656,0.049168499070219696
-3.8014248751551722,418,50776,0.4097290000000001,104.85,260,15384,0.05124543933197856
-3.92131111897483,430,52084,0.39452350000000014,104.48,270,16040,0.03504683566279709
-4.2770763750539444,445,53772,0.3749005000000001,110.41,280,16880,0.03768627671524882
-4.39123190641889,454,54711,0.36398462500000006,110.03,290,17352,0.056056268978863955
-4.1994828847175,458,55228,0.3579745,104.53,300,17608,0.07536901207640767
-3.9985910295586184,463,55782,0.35153425000000016,100.42,310,17888,0.0557071203365922
-3.9507456871215902,469,56361,0.3448033749999998,97.55,320,18176,0.07646899065002799
-3.983315750037998,479,57426,0.3324227500000001,96.28,330,18712,0.05497504351660609
-4.163541187577087,489,58505,0.3198793750000002,100.08,340,19248,0.05526851210743189
-4.021468352661258,495,59157,0.3122998750000001,97.39,350,19576,0.06530575640499592
-3.5788080438280487,501,59812,0.30468550000000005,89.36,360,19904,0.07328964537009597
-3.2556613289512155,508,60532,0.2963155000000002,83.48,370,20264,0.07710122689604759
-2.7859084854406957,514,61230,0.2882012500000003,73.58,380,20608,0.07539662858471274
-2.6645667251332292,521,61932,0.2800405,71.21,390,20960,0.07118032267317176
-2.763877474784647,529,62766,0.27034525,74.38,400,21376,0.07719304645434022
-2.7824241727115875,535,63364,0.26339350000000006,74.82,410,21680,0.05916810943745077
-2.7645298326515135,540,63942,0.2566742500000002,74.81,420,21968,0.07015612395480275
-2.55925730634803,547,64670,0.24821125,71.44,430,22328,0.07225266564637423
-2.4073373715722077,554,65355,0.24024812500000003,67.5,440,22672,0.07466403907164931
-2.3866908797710487,559,65923,0.23364512500000012,66.66,450,22960,0.06787630589678884
-2.3681471751812753,565,66540,0.22647250000000008,66.28,460,23264,0.068907730281353
-2.2498328472753646,570,67032,0.2207530000000001,64.0,470,23512,0.07907418580725789
-2.169099139353169,575,67514,0.21514975000000036,61.84,480,23752,0.06573805818334222
-2.0917126197263642,579,68007,0.2094186250000002,59.75,490,24000,0.07579224975779653
-1.9510239775042026,584,68511,0.20355962500000013,56.45,500,24248,0.07636117236688733
-1.945087091419028,589,69069,0.19707287500000004,56.05,510,24528,0.07375388080254197
-1.9785043595756635,595,69702,0.18971425000000008,56.6,520,24848,0.06922144955024123
-1.8948301573164172,600,70229,0.18358787499999996,54.59,530,25112,0.08868780266493559
-1.7901851362711483,605,70672,0.1784380000000001,52.17,540,25328,0.05901668407022953
-1.783163567632839,610,71201,0.17228837500000005,51.78,550,25600,0.06408141180872917
-1.7245977974520093,614,71676,0.16676650000000026,50.36,560,25832,0.07465057913213968
-1.7782731035375403,620,72259,0.1599891250000003,51.27,570,26128,0.07015646900981665
-1.8037917477990895,625,72811,0.15357212500000006,51.97,580,26400,0.059487299993634224
-1.7690940509316724,629,73251,0.14845712500000008,51.44,590,26624,0.06373856170102954
-1.7670814311537026,634,73730,0.14288875000000034,51.19,600,26864,0.06638340139761567
-1.6949948580771794,638,74172,0.13775050000000022,50.03,610,27080,0.0753661710768938
-1.607641097851611,643,74650,0.1321937499999999,48.48,620,27320,0.0578345344401896
-1.5295660095012007,646,75006,0.12805525000000006,46.77,630,27496,0.06845047604292631
-1.5104430535291804,650,75430,0.12312625000000021,46.58,640,27712,0.0553238051943481
-1.4521395033848896,654,75861,0.11811587500000009,45.6,650,27928,0.06842999439686537
-1.4459978502296282,659,76349,0.11244287500000005,45.73,660,28168,0.06013879366219044
-1.4830551055972803,665,77003,0.10484012500000017,46.44,670,28496,0.054460518527776
-1.4318605315646484,670,77487,0.0992136250000002,45.76,680,28736,0.06109421793371439
-1.4350536044559365,675,77959,0.09372662500000017,46.08,690,28976,0.053575994446873665
-1.4210260881843673,680,78471,0.0877746250000001,46.41,700,29232,0.061228529550135136
-1.5045214913624383,686,79131,0.08010212500000014,48.59,710,29560,0.05394560657441616
-1.539880987132924,694,80018,0.07,52.68,720,30008,0.051652281545102596
-1.6313769212550513,703,80929,0.07,58.23,730,30464,0.054245124105364084
-1.9476797380570128,719,82559,0.07,70.29,740,31272,0.052265525329858065
-2.141196848962457,734,84161,0.07,82.0,750,32080,0.047385654877871275
-2.3884969341665294,753,86167,0.07,97.18,760,33080,0.0352350645698607
-2.650342027396025,768,87708,0.07,106.05,770,33848,0.039846042171120644
-2.9876919793695493,790,89978,0.07,123.91,780,34984,0.03179209819063544
-3.2266595864510457,806,91698,0.07,136.39,790,35848,0.03524015657603741
-3.3809952386801414,818,92939,0.07,143.68,800,36464,0.034885634668171406
-3.7560868898574085,843,95243,0.07,160.12,810,37616,0.03835133626125753
-3.9511840773175773,862,97159,0.07,170.41,820,38576,0.03444236423820257
-4.184820400646542,882,99254,0.07,182.25,830,39624,0.027347740717232227
-4.123000826741256,899,101131,0.07,184.72,840,40560,0.023620273685082793
