time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/n_updates
22,3000,0.9302499999999999,10,299.0,21.807606422194176,,
46,6000,0.8604999999999999,20,299.0,22.731710696832383,,
69,8846,0.7943305,30,293.8666666666667,21.17310704494174,,
99,11846,0.7245805000000001,40,295.15,20.711183873581838,0.00024296786068589427,920
134,14846,0.6548305,50,295.92,21.00590316013537,0.0003152357148792362,2416
169,17846,0.5850804999999999,60,296.43333333333334,21.019804256035805,0.00044595845611183904,3920
199,20433,0.5249327499999997,70,290.9,20.348058723829947,0.0009036530027515255,5216
234,23433,0.4551827500000002,80,291.9125,19.755541710379212,0.0012070754237356596,6712
270,26394,0.38633949999999995,90,292.26666666666665,19.62361371288895,0.001081190010154387,8192
305,29306,0.31863549999999985,100,292.06,19.614861542990376,0.00132898407173343,9648
338,32051,0.2548142499999999,110,289.51,19.314236617488636,0.0008748277796257753,11024
375,35051,0.18506425000000037,120,289.51,18.757903480438785,0.0010415265132905915,12520
410,37945,0.11777874999999993,130,289.99,19.0087303419755,0.0009233431774191558,13968
448,40945,0.07,140,289.99,19.038365373813914,0.0009114290805882774,15472
485,43945,0.07,150,289.99,18.847716461262543,0.0008256103974417783,16968
522,46945,0.07,160,289.99,18.659368879767758,0.001188587280921638,18472
559,49945,0.07,170,294.12,18.9004357215637,0.0007624892459716648,19968
594,52677,0.07,180,291.44,19.00280446955355,0.0007919528725324199,21336
633,55677,0.07,190,291.83,19.02012941770361,0.0007708884222665802,22832
672,58677,0.07,200,292.71,19.389227360979707,0.0005813715397380292,24336
710,61677,0.07,210,295.26,19.24626118788428,0.0006430367138818838,25832
748,64677,0.07,220,295.26,19.471942503974365,0.000716725829988718,27336
787,67677,0.07,230,296.32,19.517601218918525,0.0007409500540234149,28832
821,70368,0.07,240,293.23,19.173569221257882,0.0013563501597673167,30176
860,73368,0.07,250,293.23,19.4446138046845,0.01432201996067306,31680
899,76368,0.07,260,293.23,19.61940225899565,0.0008326084061991423,33176
937,79368,0.07,270,293.23,19.437510522415607,0.01449885164402076,34680
976,82368,0.07,280,295.91,19.766788000276637,0.0007206607006082777,36176
1014,85368,0.07,290,295.91,19.87483949356236,0.0008027082949411124,37680
1052,88286,0.07,300,295.09,19.5020979393251,0.0007354744120675605,39136
1088,91153,0.07,310,293.76,19.776263075122742,0.0008130804671964142,40576
1124,93907,0.07,320,291.3,19.471405774112043,0.0007270289497682825,41952
1162,96907,0.07,330,291.3,19.24763894890855,0.015123411838430911,43448
1200,99907,0.07,340,294.39,19.481925517216858,0.0008066019436228089,44952
1239,102907,0.07,350,294.39,19.230571719969227,0.0006202537588251289,46448
1277,105907,0.07,360,294.39,18.866925183914528,0.000698564232152421,47952
1315,108907,0.07,370,294.39,19.01323997557108,0.000780587834015023,49448
1353,111907,0.07,380,294.39,18.953563760630562,0.0005349131279217545,50952
1391,114907,0.07,390,294.39,18.78629844412437,0.0004665155302063795,52448
1429,117907,0.07,400,295.21,18.48200640294829,0.0004285701797925867,53952
1466,120907,0.07,410,296.54,18.43273399065784,0.000336602683091769,55448
1505,123907,0.07,420,299.0,18.582603179909253,0.00035611208659247495,56952
1543,126907,0.07,430,299.0,18.72650796950878,0.00043545365406316705,58448
1580,129907,0.07,440,299.0,18.7379399555544,0.0004617252816387918,59952
1618,132907,0.07,450,299.0,18.450234603324024,0.0005275255862216,61448
1655,135907,0.07,460,299.0,18.579528936964106,0.0004991914720449131,62952
1693,138907,0.07,470,299.0,18.70835583712973,0.0004973405921191443,64448
1731,141907,0.07,480,299.0,18.525658593874915,0.00044394558426574804,65952
1768,144907,0.07,490,299.0,18.242414228904057,0.00043644930701702833,67448
1806,147907,0.07,500,299.0,18.298162205956828,0.00048049614633782767,68952
1844,150907,0.07,510,299.0,18.17607968062573,0.00045397028588922694,70448
1882,153907,0.07,520,299.0,18.07625417317299,0.0004605953799909912,71952
1920,156907,0.07,530,299.0,17.73637857765273,0.01211135679113795,73448
1958,159907,0.07,540,299.0,17.552882424060034,0.0006630527568631805,74952
1995,162907,0.07,550,299.0,17.62079560078637,0.0006253269493754487,76448
2029,165626,0.07,560,296.19,17.748721075024733,0.0004323823559388984,77808
2066,168577,0.07,570,295.7,17.97524897178169,0.0005779657294624485,79288
2104,171577,0.07,580,295.7,18.181944784322535,0.0006521776158479042,80784
2146,174577,0.07,590,295.7,18.53937462880233,0.00038170834159245715,82288
2192,177577,0.07,600,295.7,18.79844303057733,0.0008144966850522906,83784
2235,180577,0.07,610,295.7,18.98768166192415,0.00046172337351890747,85288
2278,183577,0.07,620,295.7,19.50885999952026,0.0008569890342187136,86784
2323,186577,0.07,630,295.7,19.74913916822895,0.00045932555440231226,88288
2369,189577,0.07,640,295.7,20.29675072716141,0.0005104286192363361,89784
2412,192577,0.07,650,295.7,20.73828693498703,0.0005319427182257641,91288
2457,195577,0.07,660,298.51,21.196493446325803,0.0005779681559943128,92784
2501,198577,0.07,670,299.0,21.086037917789504,0.0004063443593622651,94288
