rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.9768662500000003,98.5,995,10,-5.843038573217601,1,,
0.9523839999999999,101.4,2048,20,-5.853162433014916,2,,
0.9346210000000001,92.73333333333333,2812,30,-5.48112533421268,3,,
0.910162,95.6,3864,40,-5.834200441153018,4,,
0.8970025,87.6,4430,50,-5.406875045588686,5,,
0.8854704999999998,81.1,4926,60,-4.984860243386959,5,,
0.8563615000000001,87.25714285714285,6178,70,-5.600338869646209,7,,
0.8247182499999999,93.2375,7539,80,-5.985771348188929,9,,
0.81402325,87.87777777777778,7999,90,-5.628077380145116,10,,
0.7876577500000003,90.33,9133,100,-5.921554219001114,11,,
0.7729404999999998,86.71,9766,110,-5.767324357233506,12,,
0.7334619999999998,93.16,11464,120,-6.215845905132535,20,728,0.07472928923743893
0.7048877500000001,97.81,12693,130,-6.385295468085223,26,1344,0.10248147277161479
0.695425,91.36,13100,140,-5.9086493059576215,28,1544,0.1570971654728055
0.6680597499999998,97.47,14277,150,-6.144189901456557,34,2136,0.11199384892825037
0.6487622499999999,100.81,15107,160,-6.275391884951416,39,2552,0.10305235016858205
0.6380207500000004,92.91,15569,170,-5.584435401204726,41,2784,0.15661286376416683
0.6255122499999999,84.68,16107,180,-4.9920945573328614,44,3048,0.09401171753415838
0.5983562500000001,91.76,17275,190,-5.309227995743532,50,3632,0.13002344069536775
0.5827787499999999,87.12,17945,200,-4.771968181602922,53,3968,0.08620492258341983
0.5682939999999999,87.02,18568,210,-4.674938870581562,57,4280,0.14755210559815168
0.5500195,77.9,19354,220,-4.046333964086908,61,4672,0.10192611179081723
0.5314660000000002,73.59,20152,230,-3.798585806634358,65,5072,0.10347578604705632
0.5127032500000002,77.59,20959,240,-4.0035869017525085,69,5472,0.13792270689737052
0.49498675000000036,73.44,21721,250,-3.7862531944635567,74,5856,0.06093111727386713
0.47764225000000027,72.6,22467,260,-3.7726926377436403,78,6232,0.11281930690165609
0.4643200000000002,73.71,23040,270,-3.832098718026627,81,6512,0.09569405461661518
0.44641750000000013,76.03,23810,280,-3.948590010767752,85,6904,0.12861788272857666
0.4267945000000001,72.79,24654,290,-3.780205502640432,90,7320,0.12828635517507792
0.4116820000000002,72.59,25304,300,-3.7879146836736037,93,7648,0.09553761454299092
0.3923844999999998,74.66,26134,310,-3.8595710554445968,98,8064,0.11839693877846003
0.3659027500000003,78.19,27273,320,-4.0358069955802,104,8632,0.11694938503205776
0.3466982499999999,78.47,28099,330,-4.086753484224938,109,9048,0.11758635635487735
0.3267730000000001,78.97,28956,340,-4.114623099376428,113,9472,0.09644721867516637
0.29108425000000004,86.7,30491,350,-4.520885232311345,122,10240,0.07415064866654575
0.2585575000000002,93.23,31890,360,-4.813929498070065,130,10944,0.09346350259147584
0.23863225000000032,96.07,32747,370,-4.948209536959678,135,11368,0.10817341390065849
0.20822125000000036,101.45,34055,380,-5.203275848975398,142,12024,0.16057318402454257
0.17774049999999986,106.12,35366,390,-5.436240572020613,149,12680,0.06638530385680497
0.1422144999999999,114.9,36894,400,-5.8621423878431145,158,13440,0.08195000817067921
0.10610725000000043,122.13,38447,410,-6.194568659298959,166,14216,0.08826792950276285
0.07,128.17,40190,420,-6.396222557177705,175,15088,0.08721205522306263
0.07,134.42,41641,430,-6.5770947618988735,183,15816,0.07980593270622194
0.07,137.08,42764,440,-6.609320044348793,189,16376,0.09371303301304579
0.07,127.27,43318,450,-6.045997525745151,192,16656,0.07182240311522037
0.07,117.34,43724,460,-5.5171365997029955,194,16856,0.10986594075802714
0.07,113.08,44155,470,-5.274165096787747,197,17072,0.08445030159782618
0.07,104.02,44557,480,-4.8007774016513345,199,17272,0.07074446603655815
0.07,96.31,45097,490,-4.358691844962649,202,17544,0.1320532156387344
0.07,85.27,45521,500,-3.77969082913825,204,17760,0.13792006392031908
0.07,78.8,46427,510,-3.3985592511619753,209,18208,0.07086764648556709
0.07,72.19,47509,520,-3.017414903900038,215,18752,0.08621785999275744
0.07,66.66,48407,530,-2.7504576327653485,220,19200,0.08313927421113476
0.07,59.21,48785,540,-2.421589722723114,222,19392,0.10067524434998631
0.07,61.07,49525,550,-2.520371447367167,226,19760,0.05315368116134778
0.07,63.65,50189,560,-2.6445203049083887,229,20088,0.06765354116214439
0.07,73.28,51583,570,-3.0565844491801717,237,20784,0.10590752342250198
0.07,87.12,53369,580,-3.692204913538796,246,21680,0.06844797194935381
0.07,100.21,55218,590,-4.332281149911132,256,22608,0.07034688664134592
0.07,112.73,56894,600,-4.90467462872913,265,23440,0.07466357498196885
