time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/loss,train/n_updates
10,-136.01250789020463,298.3,2993,21,0.965206375,,
20,-145.305488695193,298.65,5993,42,0.930331375,,
30,-151.1612659721637,298.76666666666665,8993,63,0.895456375,,
40,-144.614119674892,297.9,11956,84,0.8610115000000002,,
50,-140.8219565880192,294.0,14750,104,0.82853125,,
60,-142.1021951297367,294.8333333333333,17750,126,0.7936562500000001,,
70,-143.92354105199604,295.24285714285713,20737,149,0.758932375,0.014417086611501873,368
80,-137.77975689734154,291.175,23374,172,0.7282772499999999,0.008748326043132693,1680
90,-129.11355434069654,278.2111111111111,25129,188,0.707875375,0.024227824294939637,2560
100,-130.19118365940744,274.93,27593,211,0.6792313750000001,0.030980963725596666,3792
110,-120.74048245913193,256.91,28784,222,0.6653859999999999,0.01695410651154816,4384
120,-109.27250392271888,241.37,30230,235,0.6485762500000001,0.02630186011083424,5112
130,-98.4959852376927,231.98,32291,253,0.624617125,0.023025223286822438,6144
140,-93.55987828664867,226.08,34664,275,0.597031,0.04122156044468284,7328
150,-86.9936491182475,222.34,37084,296,0.5688985,0.06163375824689865,8536
160,-76.58667347508286,209.87,38837,312,0.548519875,0.0484971625264734,9416
170,-68.82654817088351,210.0,41837,339,0.5136448750000002,0.08920354256406426,10912
180,-63.051870629383004,201.04,43578,355,0.49340575,0.07099223928526044,11784
190,-62.4932064652934,208.7,46099,379,0.46409912500000006,0.04223215067759156,13048
200,-54.36359522899577,209.65,48658,402,0.4343507500000001,0.04903031559661031,14328
210,-55.9013264396724,223.26,51210,426,0.40468375,0.0931110568344593,15600
220,-56.597862614682896,230.15,53345,446,0.37986437500000014,0.08863331284373999,16672
230,-56.06898474696202,233.8,55771,469,0.3516621249999998,0.09299494978040457,17880
240,-53.01596917053038,233.65,58129,491,0.324250375,0.1017277492210269,19064
250,-51.55187029827659,232.93,60477,513,0.29695487500000006,0.0673011988401413,20232
260,-52.01454464151745,240.8,63017,537,0.267427375,0.10866216570138931,21504
270,-48.119946244974315,231.75,65112,556,0.24307299999999987,0.09217100590467453,22552
280,-47.63331124122764,232.46,66924,574,0.22200850000000039,0.1452188021503389,23456
290,-48.835871787192055,233.29,69528,598,0.19173700000000027,0.1008081752806902,24760
300,-49.113047855178756,225.71,71329,615,0.17080037500000023,0.14910190925002098,25664
310,-45.52822522317108,213.16,72626,628,0.15572275000000024,0.10723359044641256,26312
320,-43.34073097415475,206.99,74144,643,0.1380760000000003,0.10684314835816622,27064
