time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,train/loss,train/n_updates
3000,299.0,24,0.965125,10,-3.58935515961083,,
6000,299.0,45,0.9302499999999999,20,-12.785408381132072,,
9000,299.0,66,0.8953749999999999,30,-15.698659349529013,,
12000,299.0,87,0.8604999999999999,40,-18.686091900274278,,
15000,299.0,108,0.8256250000000002,50,-12.464145701520083,,
17835,296.25,128,0.7926681250000001,60,-8.813589042179894,,
20835,296.64285714285717,151,0.7577931250000001,70,-10.626097663776628,0.023328321985900402,416
23835,296.9375,178,0.722918125,80,0.3796277697676958,0.06440250319428742,1912
26835,297.1666666666667,205,0.6880431250000002,90,11.24713597538968,0.18393485341221094,3416
29532,294.32,230,0.6566905000000001,100,21.15214468747757,0.2918865643441677,4760
31782,286.82,250,0.6305342500000001,110,32.83252230863251,0.37535497546195984,5888
33975,278.75,270,0.605040625,120,44.27021081319631,0.5241235308349133,6984
36139,270.39,295,0.579884125,130,58.70801614104931,0.7771306000649929,8064
37400,253.0,309,0.5652249999999999,140,67.3877821710679,0.7502673864364624,8696
38854,237.54,325,0.5483222500000002,150,75.10470722479982,0.9352141246199608,9424
40492,225.57,343,0.5292805000000002,160,82.5497807303005,0.9282032772898674,10240
41854,209.19,356,0.5134472499999999,170,90.77414466707107,1.150750920176506,10920
42993,190.58,367,0.5002063750000001,180,88.93931980628977,1.2056351155042648,11496
44153,172.18,379,0.4867213750000001,190,84.81792701094646,1.0329122096300125,12072
45736,161.04,394,0.46831900000000004,200,80.10089361599003,1.1793247759342194,12864
47204,153.22,408,0.4512535000000001,210,75.64285618296623,1.2634233310818672,13600
48739,146.64,422,0.43340912500000006,220,72.56978935939175,1.4125884771347046,14368
50046,138.07,435,0.41821525000000015,230,66.81208863819936,1.379108302295208,15016
51989,144.89,453,0.3956278750000002,240,71.08979201566194,1.2848241701722145,15992
53737,147.83,470,0.3753073749999999,250,72.18189460898975,2.014992654323578,16864
55437,148.45,486,0.3555448750000001,260,74.05250214047788,2.0413356870412827,17712
57278,153.24,503,0.3341432500000002,270,80.05184030304495,1.7233811020851135,18632
58713,156.2,517,0.31746137499999993,280,82.42084359742859,2.405595824122429,19352
60252,159.99,531,0.2995705000000001,290,87.10814268741713,2.3067887276411057,20120
62252,164.16,551,0.2763205000000002,300,94.35444853251967,2.0257964581251144,21120
64453,171.49,572,0.250733875,310,102.6860771456886,2.134349450469017,22224
67055,182.16,597,0.22048562500000002,320,116.15623105392491,2.1667432636022568,23520
68459,183.13,610,0.20416412500000003,330,117.07905616598754,2.19944766163826,24224
70843,187.54,632,0.17645012500000024,340,124.8595820483309,2.0333317816257477,25416
73471,196.34,658,0.1458996250000001,350,133.76680060807638,1.9081873446702957,26728
75279,197.42,675,0.124881625,360,136.96655782898486,2.0186571180820465,27632
77446,200.68,696,0.0996902500000002,370,140.7978751487738,2.1503463089466095,28720
79492,206.79,715,0.07590550000000029,380,148.58049890776914,1.9513127952814102,29744
81766,214.14,737,0.07,390,155.57781207581664,1.7475065290927887,30880
83810,214.58,756,0.07,400,158.19568372998134,1.7346103712916374,31904
85396,208.43,771,0.07,410,155.5560251319381,1.6264610290527344,32696
87306,201.51,790,0.07,420,151.5686583551131,2.0297070145606995,33648
89920,213.61,815,0.07,430,163.47109697763673,1.644337996840477,34952
92521,215.78,840,0.07,440,166.11065493943948,1.2424875646829605,36256
94567,209.96,859,0.07,450,163.11484722458997,1.4005580469965935,37280
97416,220.37,887,0.07,460,173.07985414099767,1.210642270743847,38704
100289,227.43,914,0.07,470,180.6349647686584,1.0549966469407082,40144
102904,233.12,939,0.07,480,186.3661364071876,1.303336575627327,41448
105831,239.65,966,0.07,490,193.47064429541865,1.274557963013649,42912
108831,249.21,994,0.07,500,203.19804683471554,1.342789426445961,44408
111779,262.83,1022,0.07,510,216.00386184564078,1.166222333908081,45888
114779,273.73,1050,0.07,520,225.77096103909298,1.4555530473589897,47384
117648,276.28,1077,0.07,530,230.9362435719537,1.24185448884964,48816
120639,280.18,1104,0.07,540,235.24446144598932,1.6227399557828903,50312
123639,289.72,1132,0.07,550,244.73904170553786,1.2874309942126274,51816
126432,289.16,1159,0.07,560,245.04117867420163,1.0403845980763435,53208
129432,290.43,1187,0.07,570,245.71268946288737,1.4606710076332092,54712
132296,292.92,1213,0.07,580,247.9822698509728,1.2134479507803917,56144
135296,293.65,1242,0.07,590,248.865802504102,0.9447565264999866,57640
138296,293.65,1270,0.07,600,247.93304956720553,1.039350088685751,59144
141296,294.17,1298,0.07,610,246.99019124420963,0.9646445028483868,60640
144072,291.93,1325,0.07,620,245.19802213737483,0.4872652441263199,62032
146693,289.45,1349,0.07,630,241.5738915189965,1.0882586911320686,63344
149220,284.81,1373,0.07,640,237.4311787008648,0.41499379463493824,64608
151835,280.96,1398,0.07,650,232.3851413482399,0.696832537651062,65912
154286,277.54,1421,0.07,660,229.643328181687,0.5681595131754875,67136
156526,269.94,1443,0.07,670,224.27042193800574,0.31169668957591057,68256
158752,263.56,1463,0.07,680,217.97146670053388,0.6092780195176601,69368
161215,258.19,1487,0.07,690,213.67921060259124,0.5224158279597759,70600
163819,254.23,1513,0.07,700,210.89072109069076,0.8877060022205114,71904
166560,251.64,1539,0.07,710,209.34363737337011,0.24572892300784588,73272
169208,250.36,1564,0.07,720,207.720016611858,0.6198160573840141,74600
171833,250.4,1588,0.07,730,208.2316331190623,0.8382772617042065,75912
174237,249.17,1611,0.07,740,207.35646851263428,0.4413066506385803,77112
176688,247.53,1633,0.07,750,207.1140871455963,0.45678142830729485,78336
179050,246.64,1655,0.07,760,202.59747922008498,0.22737681586295366,79520
182050,254.24,1683,0.07,770,208.44612030146945,1.0962385553866625,81024
184747,258.95,1708,0.07,780,211.94134123006413,0.1784826535731554,82368
187224,259.09,1732,0.07,790,211.58779740350042,0.2511731591075659,83608
189848,259.29,1756,0.07,800,210.61286669326145,0.8858230393379927,84920
192598,259.38,1781,0.07,810,210.09425344493502,0.19396989047527313,86296
195192,258.84,1805,0.07,820,208.26014987037772,0.21867446415126324,87592
198192,262.59,1833,0.07,830,208.1898130556853,0.22272509336471558,89088
