rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9850734999999998,10,63.2,0,642,-3.893045856188593,,
0.9546392500000002,20,96.55,2,1951,-5.8477467608056966,,
0.9335282500000003,30,94.3,3,2859,-5.765467748512766,,
0.9248560000000002,40,79.8,4,3232,-4.739756763497892,,
0.9080927499999999,50,78.06,5,3953,-4.638174495336333,,
0.8850520000000002,60,81.4,6,4944,-4.765622128498896,,
0.8654987500000001,70,81.64285714285714,8,5785,-4.768603346883284,,
0.8459919999999999,80,81.8,9,6624,-4.728524268877132,,
0.829624,90,80.42222222222222,10,7328,-4.666903701220901,,
0.8136047499999999,100,79.17,11,8017,-4.616172114535823,,
0.78361225,110,85.65,14,9307,-5.0867897150589245,,
0.7615712500000003,120,82.04,17,10255,-4.8150191931775,120,0.08380256047530565
0.7276727500000002,130,87.54,27,11713,-5.211504175408914,856,0.05583923625090392
0.6754067500000001,140,106.29,43,13961,-6.43373910743775,1976,0.046781981698586605
0.6404387500000002,150,114.12,53,15465,-6.782916599899485,2728,0.04801840864820406
0.6104695,160,117.1,62,16754,-6.908292324048127,3376,0.057484531702357344
0.5959150000000002,170,114.95,67,17380,-6.752254649053335,3688,0.07778060839336831
0.5733625000000001,180,116.26,74,18350,-6.7715906814589575,4168,0.09625289155519567
0.5617607499999999,190,114.21,78,18849,-6.57678835306555,4424,0.08721729970420711
0.5406962499999998,200,116.38,84,19755,-6.6216405265318405,4872,0.06863804298336618
0.52270075,210,111.22,90,20529,-6.169433147801601,5264,0.06823324493598193
0.5003807499999999,220,111.34,97,21489,-6.110997663828657,5744,0.07840492078685202
0.46590100000000023,230,111.59,108,22972,-5.899735305854225,6480,0.08888545399531722
0.4482774999999999,240,96.69,114,23730,-4.9132612310198915,6864,0.14829156547784805
0.4198660000000002,250,93.87,123,24952,-4.847034539453521,7472,0.07178438518894836
0.3806664999999999,260,97.84,136,26638,-5.138925669731939,8312,0.15531407605158165
0.36334525000000006,270,99.03,141,27383,-5.228180395859303,8688,0.06306683277944103
0.34032775000000004,280,99.23,149,28373,-5.289722539546538,9184,0.11190415953751653
0.3211697499999999,290,102.48,155,29197,-5.556885748518921,9592,0.10822138329967856
