rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,time/episodes,train/n_updates,time/time_elapsed
299.0,3000,0.07,-20.91149459452615,5.732392492063809e-05,10,1000,24
299.0,6000,0.07,-19.070415895040295,0.00011343799542373745,20,2496,49
299.0,9000,0.07,-20.484205378733133,0.0002759331782726804,30,4000,75
