rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
0.9305290000000003,13,-20.72471348377862,2988,297.8,10,,
0.8607790000000002,27,-18.309578772175662,5988,298.4,20,,
0.7910290000000001,42,-19.214043790727764,8988,298.6,30,,
0.721279,60,-19.573502115680252,11988,298.7,40,992,0.00019107573461951688
0.651529,81,-19.536169290887937,14988,298.76,50,2488,0.0003176603750034701
0.5817789999999999,102,-19.90241810007455,17988,298.8,60,3992,0.0004915403696941212
0.5120289999999998,123,-19.758927281258444,20988,298.8285714285714,70,5488,0.0008515652007190511
0.44227899999999987,144,-19.813744169127936,23988,298.85,80,6992,0.0008079791914497036
0.3725289999999998,166,-19.618593453514542,26988,298.8666666666667,90,8488,0.002251971440273337
0.30277900000000024,189,-19.617233738046526,29988,298.88,100,9992,0.0009878777927951887
0.23302900000000015,212,-19.5566348380107,32988,299.0,110,11488,0.001087606760847848
0.16327900000000017,235,-20.124894104165136,35988,299.0,120,12992,0.0008687045992701314
0.09352900000000008,259,-19.96376485065193,38988,299.0,130,14488,0.010911880686762743
0.07,283,-20.048158134992278,41988,299.0,140,15992,0.0009076649148482829
0.07,307,-20.173242790946798,44988,299.0,150,17488,0.0015716465713921934
0.07,331,-20.05619436183624,47988,299.0,160,18992,0.0009817888530960772
0.07,353,-19.89717315818902,50782,296.94,170,20384,0.0012345284121693112
0.07,377,-20.0047283979113,53782,296.94,180,21888,0.0022736498212907463
0.07,401,-19.894654411446165,56782,296.94,190,23384,0.001196730627270881
0.07,425,-20.01404858263272,59721,296.33,200,24856,0.0017484094423707575
0.07,447,-19.814105541113726,62606,295.18,210,26296,0.0015699911455158144
0.07,471,-19.491652407140847,65606,295.18,220,27800,0.001815608913602773
0.07,495,-19.44310585457759,68606,295.18,230,29296,0.0022142181915114634
0.07,519,-19.324024767134446,71606,295.18,240,30800,0.0026911306340480223
0.07,545,-19.23147742935203,74606,295.18,250,32296,0.0018992358236573637
0.07,570,-18.928497747922197,77606,295.18,260,33800,0.0022517275938298553
0.07,595,-19.125556845320318,80606,297.24,270,35296,0.003435209480812773
0.07,620,-18.98013807306739,83606,297.24,280,36800,0.0020772605494130403
0.07,645,-18.88371415984579,86486,296.04,290,38240,0.003310539686935954
0.07,670,-18.59222866224836,89466,296.45,300,39728,0.006121796410297975
0.07,696,-18.830579075808895,92466,297.6,310,41232,0.004346878005890176
0.07,721,-18.894106633249493,95466,297.6,320,42728,0.00401647764374502
0.07,747,-19.07122102365533,98466,297.6,330,44232,0.003760860243346542
0.07,772,-18.736894317850084,101332,296.26,340,45664,0.004244702620781027
0.07,797,-18.708537618627208,104332,296.26,350,47160,0.0035615410306490958
0.07,822,-18.922445915650215,107271,295.65,360,48632,0.004131953464820981
0.07,848,-19.044453975932374,110271,295.65,370,50128,0.013395460744504817
0.07,874,-18.958593176118992,113271,295.65,380,51632,0.0027354514895705506
0.07,900,-19.34342125397239,116271,296.85,390,53128,0.009000288555398583
0.07,927,-19.43277848248805,119271,297.05,400,54632,0.0017607411136850715
0.07,954,-19.4789487510886,122243,296.77,410,56120,0.0016097411717055365
0.07,982,-19.454839359370965,125243,296.77,420,57616,0.001405827650160063
0.07,1009,-19.457477877411158,128243,296.77,430,59120,0.0016016298613976687
0.07,1034,-19.58285909371686,131012,295.8,440,60504,0.010480640979949385
0.07,1060,-19.534190135134306,134012,295.8,450,62000,0.0019820641609840095
0.07,1088,-19.582133318441013,137012,296.41,460,63504,0.011593178118346259
0.07,1115,-19.459499524635632,140012,296.41,470,65000,0.0012066939671058208
0.07,1144,-19.7876520816457,143012,296.41,480,66504,0.01195138884941116
0.07,1171,-19.691680699791025,146012,296.41,490,68000,0.0011422571187722497
0.07,1199,-19.977811810676496,149012,296.41,500,69504,0.002546606912801508
0.07,1226,-19.92369385726907,151947,296.04,510,70968,0.001188641632325016
0.07,1254,-19.894707396846634,154947,296.04,520,72472,0.003891259395459201
0.07,1281,-19.854070704145244,157947,296.04,530,73968,0.0015490273217437789
0.07,1307,-20.15569465413142,160947,298.35,540,75472,0.0013810239943268243
0.07,1334,-20.27021979425032,163947,298.35,550,76968,0.0008746391831664369
0.07,1360,-20.106542195150606,166947,298.35,560,78472,0.002360571779718157
0.07,1387,-20.43413888167193,169947,298.35,570,79968,0.001135691210947698
0.07,1414,-19.989512719925653,172947,298.35,580,81472,0.0016276586611638777
0.07,1441,-20.10621064407156,175947,298.35,590,82968,0.001804302926757373
0.07,1467,-19.73007365744635,178947,298.35,600,84472,0.0014775259805901442
0.07,1493,-19.393136558436247,181858,298.11,610,85928,0.0045942780780023895
0.07,1517,-19.480946749913493,184858,298.11,620,87424,0.0016123459354275838
0.07,1541,-19.43014296692546,187854,298.07,630,88920,0.003779151535127312
0.07,1565,-19.096541590156445,190854,298.07,640,90424,0.0009518828483123798
0.07,1589,-19.194609609357244,193854,298.07,650,91920,0.0016849700077727903
0.07,1613,-19.34144986598033,196825,297.78,660,93408,0.004034841665998101
0.07,1637,-18.84176199805546,199825,297.78,670,94912,0.012371425691526383
