rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.20164150000000003,97.45,350,201,34338,4.365164254565315,0.13909276050981134,12168
0.17157924999999974,100.96,360,211,35631,4.5205851650972235,0.06994826998561621,12808
0.14074975000000012,106.92,370,222,36957,4.748337317358,0.09363779181148857,13472
0.09092500000000003,120.96,380,239,39100,5.457718950618055,0.14850828482303768,14544
0.07,125.81,390,250,40549,5.657818973860626,0.1369035558309406,15272
0.07,132.51,400,263,42099,5.963353992266845,0.2071726352442056,16048
0.07,139.79,410,274,43422,6.27655816638231,0.09128708590287715,16704
0.07,148.83,420,288,45219,6.634801728352486,0.11867224040906876,17608
0.07,145.16,430,295,46152,6.416046223769029,0.10727521521039307,18072
0.07,144.45,440,306,47464,6.332608764452555,0.1471988462144509,18728
0.07,143.58,450,318,48796,6.1342506078932555,0.06564169866032898,19392
0.07,145.62,460,330,50293,6.185601120348155,0.1612609236035496,20144
0.07,147.31,470,342,51788,6.277158406185871,0.17138725437689573,20888
0.07,144.5,480,357,53650,6.076199038819158,0.23972286109346896,21824
0.07,140.36,490,366,54685,5.876949760319112,0.03953152440954,22336
0.07,130.41,500,371,55240,5.422914100886362,0.13148218963760883,22616
0.07,123.65,510,376,55887,5.096905157249715,0.1295374253531918,22936
0.07,113.28,520,382,56647,4.66812701467063,0.1320560245658271,23320
0.07,110.33,530,388,57285,4.541346179485555,0.1442549650091678,23640
0.07,104.06,540,393,57970,4.267841061937095,0.1510892643709667,23984
0.07,98.1,550,400,58706,4.0456470438421475,0.07187568233348429,24352
0.07,87.08,560,403,59101,3.592803546820495,0.13364846172044054,24544
0.07,80.25,570,410,59913,3.3239367366456087,0.19710059091448784,24952
0.07,70.08,580,416,60758,2.877225172482825,0.05403557833051309,25376
0.07,67.42,590,423,61527,2.7829471000122292,0.14556394011015072,25760
0.07,72.45,600,431,62585,2.9930526041534864,0.08254725951701403,26288
0.07,71.34,610,436,63121,2.9849683232931876,0.14725843124324456,26560
0.07,75.47,620,445,64294,3.136479354121132,0.16242723836330697,27144
0.07,78.28,630,453,65213,3.2405394548984208,0.25893413578160107,27600
0.07,77.97,640,458,65867,3.2451877275672962,0.0720107049564831,27928
0.07,85.21,650,471,67327,3.5636725818729484,0.10204234416596591,28656
0.07,88.97,660,477,68098,3.7304094438400246,0.16229542717337608,29048
0.07,87.13,670,483,68726,3.6139959018608345,0.1494552734075114,29360
0.07,87.93,680,491,69651,3.5684451601880744,0.1617941702133976,29824
0.07,94.6,690,502,71087,3.743356187006432,0.15215425030328333,30536
0.07,93.27,700,509,72012,3.6329772784227465,0.1633495963178575,31000
0.07,94.99,710,515,72720,3.674953760115437,0.1620060348068364,31352
0.07,95.48,720,525,73942,3.6248436151449965,0.13456920313183218,31968
0.07,94.22,730,531,74735,3.5030296820236635,0.08495609479723498,32360
0.07,99.7,740,541,75937,3.6079131673801546,0.13210713909938931,32968
0.07,97.06,750,551,77133,3.344135749089696,0.10123331390786916,33560
0.07,102.03,760,561,78401,3.4143602808434097,0.16120590374339372,34200
0.07,107.05,770,571,79531,3.5191404177643983,0.2079439844819717,34760
0.07,106.76,780,578,80427,3.510226175978752,0.16737747692968696,35208
0.07,103.75,790,588,81562,3.3792148547010497,0.11780067323707044,35776
0.07,108.01,800,598,82913,3.5346494370905557,0.13074258947744966,36456
0.07,112.92,810,608,84112,3.6734388862012706,0.21547663456294686,37048
0.07,109.95,820,615,85037,3.5435629886525963,0.16085002687759697,37512
0.07,108.58,830,621,85693,3.563236116053292,0.298795972019434,37840
0.07,101.05,840,624,86142,3.3457055047992594,0.11561366386013106,38064
0.07,98.99,850,632,87132,3.3556938960744582,0.21242647746112198,38560
0.07,92.98,860,638,87799,3.1625887094423377,0.12906378036132082,38896
0.07,91.55,870,646,88786,3.2051426066505773,0.14719359669834375,39392
0.07,94.82,880,656,90009,3.3550979045956253,0.09859482676256448,40000
0.07,94.52,890,665,91114,3.380729722672864,0.14365674724103883,40552
0.07,89.22,900,671,91935,3.163134516191643,0.17741740151541308,40960
0.07,87.15,910,679,92927,3.0927302436195747,0.14625909947790205,41456
0.07,85.09,920,685,93646,3.077151694850581,0.1900339525891468,41816
0.07,91.47,930,696,94940,3.307760155871138,0.07208137062843889,42464
0.07,97.11,940,704,95953,3.532706443072061,0.12036076816730201,42976
0.07,97.15,950,712,96947,3.5315739165184628,0.09915327501948923,43472
0.07,101.21,960,720,98020,3.6917786893372493,0.07891330844722688,44008
0.07,104.38,970,730,99324,3.721256339744974,0.1655907190288417,44656
0.07,104.83,980,741,100592,3.6581156695104755,0.11548351310193539,45288
0.07,103.1,990,749,101524,3.5986626674583393,0.1596052556997165,45760
0.07,107.31,1000,759,102766,3.7733219289536413,0.2655821479856968,46376
0.07,109.32,1010,769,103959,3.846563713197991,0.2393059857422486,46976
0.07,108.78,1020,774,104624,3.820082081691337,0.19111307535786182,47304
0.07,107.22,1030,783,105762,3.703049338116139,0.11256671376759186,47880
0.07,108.53,1040,793,106906,3.7855356896825776,0.19338698242790997,48448
0.07,106.44,1050,799,107691,3.6905744925627113,0.160317832196597,48840
0.07,101.06,1060,804,108226,3.525452508103212,0.08547125768382102,49112
0.07,94.68,1070,809,108892,3.344873646501228,0.12365729594603181,49440
0.07,89.89,1080,816,109681,3.254154171094987,0.16585099027724937,49840
0.07,88.15,1090,822,110439,3.204119237102056,0.15258412074763328,50216
0.07,81.63,1100,827,111029,2.9779531042686505,0.09743812243686989,50512
0.07,78.24,1110,834,111883,2.8944141308347837,0.1874956011888571,50936
0.07,81.61,1120,842,112885,3.0107239264563983,0.1444264295278117,51440
0.07,80.83,1130,851,113945,2.990078427790731,0.17442498868331313,51968
0.07,76.45,1140,856,114651,2.779726917361125,0.23351878696121275,52320
0.07,74.76,1150,861,115267,2.7173617752000636,0.11072173118009232,52632
0.07,81.18,1160,871,116444,2.9233581772521124,0.09402247070102021,53216
0.07,82.44,1170,878,117236,2.975326599213006,0.1236304747289978,53616
0.07,82.42,1180,885,118023,2.9398098426167802,0.2920732875354588,54008
