time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates
48077,-8.711622124705832,432,340,45.38,0.36478343750000003,0.18841128796339035,19032
48266,-8.009135319737876,433,350,42.18,0.364251875,0.13982666842639446,19128
48454,-7.833806278685033,435,360,41.7,0.36372312500000004,0.15789728332310915,19224
49367,-8.84805047033144,444,370,44.86,0.3611553125,0.1601682510226965,19680
49688,-9.085559423672503,447,380,45.51,0.3602525,0.17838374804705381,19840
50038,-8.037202654632125,450,390,40.26,0.359268125,0.13832589145749807,20016
50784,-8.104213230544087,457,400,42.04,0.35717000000000004,0.18396108178421855,20384
51116,-8.256683068650057,460,410,42.51,0.35623625000000003,0.17712567932903767,20552
51346,-7.848452508664134,462,420,39.8,0.355589375,0.18408582638949156,20672
51711,-7.949074028166748,466,430,40.84,0.3545628125,0.28236542642116547,20848
52263,-8.134437426730095,471,440,40.86,0.35301031250000003,0.17125439178198576,21128
52825,-8.758343633617608,476,450,44.59,0.35142968750000003,0.24456640984863043,21408
53081,-8.87478340182513,479,460,45.27,0.3507096875,0.2644703835248947,21536
53528,-7.68976104910033,483,470,40.61,0.3494525,0.3610479375347495,21760
53936,-7.770989748576668,487,480,41.48,0.3483050000000001,0.11829738225787878,21960
54195,-7.717436595553881,489,490,40.57,0.3475765625,0.2918446883559227,22096
54377,-6.782456836373951,491,500,34.93,0.3470646875,0.1707381885498762,22184
54684,-6.794991882533502,494,510,34.68,0.34620125,0.3602397292852402,22336
54955,-6.898525101142286,497,520,35.09,0.3454390625,0.25624686013907194,22472
55189,-6.544772888629963,499,530,33.78,0.3447809375,0.27061241306364536,22592
55495,-6.080550572633954,502,540,31.32,0.3439203125,0.20446196850389242,22744
55688,-5.444564113963931,504,550,27.63,0.3433775,0.3125820606946945,22840
57519,-11.304949554148543,521,560,43.38,0.3382278125,0.2557904664427042,23752
59471,-18.83294084104493,539,570,58.43,0.3327378125,0.33956384006887674,24728
61519,-25.276758650962712,558,580,74.83,0.32697781249999996,0.2523215878754854,25752
64031,-32.05823569039519,583,590,97.36,0.31991281250000003,0.2563634980469942,27008
66536,-38.259211917335335,608,600,120.59,0.31286749999999997,0.3134580496698618,28264
69536,-46.17877625483871,637,610,147.52,0.30443,0.40030697360634804,29760
72058,-53.57122663954985,661,620,170.03,0.297336875,0.3647740948945284,31024
74603,-60.19490028738823,685,630,193.14,0.29017906250000003,0.263779005035758,32296
77603,-66.82658133695234,713,640,220.08,0.28174156250000004,0.4026764966547489,33800
80328,-74.5476481790782,739,650,245.4,0.2740775,0.3666060194373131,35160
83076,-76.36180424053755,765,660,254.57,0.26634874999999997,0.37730791233479977,36536
85507,-78.04823653484311,787,670,259.36,0.2595115625,0.3490042369812727,37752
88351,-78.68063174934807,814,680,267.32,0.2515128125,0.4542016200721264,39168
90638,-77.95512295764324,836,690,265.07,0.24508062500000005,0.45307199098169804,40312
93086,-79.22290602521,859,700,264.5,0.23819562500000002,0.39517969638109207,41536
95503,-81.45160945437647,882,710,258.67,0.23139781250000002,0.454240458086133,42744
98287,-80.59659250560645,909,720,261.29,0.22356781249999996,0.4686482176184654,44136
101083,-79.71238592718606,936,730,263.8,0.21570406250000002,0.46086300164461136,45536
103341,-78.27839142983821,958,740,256.38,0.20935343750000002,0.5350760892033577,46664
104030,-71.45520194338691,964,750,236.02,0.207415625,0.5035068541765213,47008
104308,-63.749390182366376,967,760,211.32,0.20663375,0.6106196045875549,47152
104875,-54.707944339504365,973,770,192.68,0.20503906249999998,0.46021671406924725,47432
105146,-47.305779262603934,976,780,166.95,0.20427687499999997,0.4167885519564152,47568
105536,-41.27786477943265,979,790,147.98,0.20317999999999997,0.5045913457870483,47760
105935,-34.26384352079606,984,800,127.49,0.2020578125,0.49760792031884193,47960
106098,-23.740193361692427,985,810,104.95,0.20159937500000003,0.4546714350581169,48048
106279,-16.936345781322554,987,820,78.92,0.20109031250000003,0.4820839874446392,48136
106848,-11.892889535445937,993,830,56.65,0.19948999999999995,0.40901079028844833,48416
107014,-6.380069591450417,995,840,35.73,0.19902312499999997,0.5193613544106483,48504
107206,-5.536701219921742,997,850,30.76,0.19848312500000004,0.537171047180891,48600
107434,-5.430026366830394,999,860,30.26,0.197841875,0.3883044756948948,48712
107628,-4.739328694273172,1001,870,26.53,0.19729625,0.5165332444012165,48808
107841,-4.539081292906497,1003,880,25.95,0.19669718749999998,0.509560901671648,48920
108068,-4.348432024482276,1006,890,24.32,0.19605874999999995,0.6220389790832996,49032
108248,-3.9359957647851305,1008,900,22.13,0.19555249999999996,0.42850517109036446,49120
108698,-4.427104945646834,1012,910,25.0,0.19428687499999997,0.4921829216182232,49344
108886,-4.455472122888397,1014,920,25.07,0.193758125,0.4697054326534271,49440
109228,-3.992305554586609,1018,930,22.8,0.19279625000000006,0.7088920399546623,49608
109468,-4.21845775169926,1020,940,23.54,0.19212124999999997,0.676286868751049,49728
109721,-4.318993077204636,1023,950,24.15,0.19140968749999998,0.4930601380765438,49856
110238,-4.944761622148573,1028,960,27.04,0.18995562500000002,0.5519990362226963,50112
110487,-5.065786056768216,1030,970,27.59,0.1892553125,0.5315403267741203,50240
111242,-6.394850452895871,1038,980,33.01,0.18713187500000006,0.5037342607975006,50616
111567,-6.584519286856009,1041,990,33.99,0.18621781250000002,0.6028271615505219,50776
111783,-6.542211448793511,1043,1000,34.35,0.18561031249999999,0.5145500935614109,50888
112454,-6.819639935738797,1050,1010,36.56,0.183723125,0.5239193439483643,51224
112627,-6.897467340404583,1052,1020,36.41,0.18323656249999998,0.580395545810461,51312
112941,-6.87327432318065,1055,1030,36.13,0.1823534375,0.5646726116538048,51464
113147,-6.7906676437423155,1057,1040,35.79,0.1817740625,0.7087647095322609,51568
114494,-12.88841732986359,1070,1050,46.73,0.17798562499999998,0.7058742865920067,52240
116504,-19.313901485315107,1089,1060,61.66,0.1723325,0.5525386705994606,53248
119504,-29.242338698087423,1119,1070,89.17,0.163895,0.5653479993343353,54744
122293,-37.1468242051671,1146,1080,109.51,0.1560509375,0.6486242599785328,56144
125012,-43.427467483340095,1173,1090,133.45,0.14840375,0.5661901049315929,57504
127475,-51.5869880327681,1198,1100,155.92,0.1414765625,0.7356936484575272,58736
129781,-59.20325572778064,1221,1110,172.27,0.13499093750000002,0.854824498295784,59888
132520,-68.9016520005933,1247,1120,197.93,0.12728750000000005,0.804776769131422,61256
135458,-78.68615219984707,1275,1130,224.17,0.11902437500000002,0.7770882248878479,62728
137709,-85.41595320413742,1297,1140,244.62,0.1126934375,0.673554852604866,63848
140709,-89.01697596990363,1325,1150,261.15,0.1042559375,0.8188770860433578,65352
143379,-87.79781251735221,1351,1160,267.75,0.09674656250000002,0.8901418596506119,66688
146020,-86.07309160566501,1377,1170,264.16,0.08931875000000006,0.7852586954832077,68008
149020,-84.72553661156188,1406,1180,266.27,0.08088125000000002,0.9145629480481148,69504
151628,-84.88512926795848,1431,1190,265.16,0.07354624999999998,0.8363355398178101,70808
153258,-79.76144448461588,1447,1200,256.83,0.06896187499999995,1.051193818449974,71624
153445,-71.46355636013317,1449,1210,235.64,0.06843593749999999,0.9123967438936234,71720
153692,-61.823963819199534,1451,1220,210.72,0.06774124999999998,0.989734098315239,71840
153802,-51.656964215494654,1452,1230,182.44,0.06743187500000003,0.9069817513227463,71896
153937,-44.7980966633356,1454,1240,161.28,0.06705218750000003,0.9794928878545761,71968
154211,-35.196275567137526,1456,1250,134.02,0.06628156249999995,0.8906611055135727,72104
154373,-29.33401315901793,1458,1260,108.94,0.06582593749999999,0.921728603541851,72184
154539,-20.928346866700576,1460,1270,84.19,0.06535906250000001,0.7946876287460327,72264
155031,-13.671745132884311,1465,1280,59.11,0.06397531249999999,0.9187536314129829,72512
155548,-7.619395411489714,1471,1290,38.2,0.06252125000000003,0.8647431060671806,72768
158406,-17.79055238278717,1498,1300,50.48,0.05448312500000002,0.9181664660573006,74200
160890,-26.1221857584775,1523,1310,73.45,0.05,0.9068145975470543,75440
163558,-32.75381697179915,1549,1320,97.66,0.05,1.2193114683032036,76776
165606,-37.65800701574391,1570,1330,117.04,0.05,0.8933106958866119,77800
167957,-44.12256163343003,1594,1340,139.2,0.05,1.1205742359161377,78976
170217,-48.60186689306085,1617,1350,159.06,0.05,0.982044093310833,80104
172184,-55.42412862655899,1635,1360,177.11,0.05,1.0072407200932503,81088
175184,-64.24547848792426,1664,1370,205.45,0.05,1.1611520797014236,82584
176527,-66.12423859041067,1677,1380,213.96,0.05,1.185614913702011,83256
178802,-74.96270475729821,1698,1390,231.54,0.05,1.0182046741247177,84400
180910,-68.97118100372278,1719,1400,224.04,0.05,1.1499149799346924,85448
183570,-69.50750691434658,1744,1410,225.8,0.05,1.2888413220643997,86784
185116,-67.33805291818884,1759,1420,214.58,0.05,1.0794030129909515,87552
187731,-72.79743039489708,1785,1430,220.25,0.05,1.1266219094395638,88864
189868,-73.2878502215213,1807,1440,218.11,0.05,1.2582472637295723,89928
192648,-77.31397925257532,1833,1450,223.31,0.05,1.1573155000805855,91320
194818,-78.90084784487695,1855,1460,225.34,0.05,1.292745128273964,92408
197040,-77.30821870284089,1876,1470,217.56,0.05,1.2459719479084015,93512
199749,-86.07562711739156,1903,1480,231.22,0.05,1.2610705345869064,94872
