rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates
0.31073050000000013,280,116,-6.393626311071907,29646,119.68,0.09632925619371235,9816
0.25639524999999996,290,129,-7.073170225754649,31983,132.51,0.04333972331369296,10984
0.2127317499999999,300,140,-7.699332881133391,33861,143.64,0.10438724583946168,11928
0.18404124999999993,310,147,-7.902541958003906,35095,147.65,0.04349682555766776,12544
0.141517,320,157,-8.435006929585162,36924,157.7,0.06870888581033796,13456
0.11996425000000033,330,162,-8.139041213114172,37851,153.01,0.10443717567250133,13920
0.098086,340,167,-7.97925179268784,38792,150.74,0.10196136066224426,14392
0.08448475000000022,350,170,-7.610875950564247,39377,144.05,0.032909430912695825,14688
0.07,360,174,-7.15216607600921,40084,136.53,0.09303365839878097,15040
0.07,370,177,-6.7629057502047365,40764,130.0,0.05966623092535883,15376
0.07,380,181,-6.077310770283632,41498,117.52,0.08398634695913643,15744
0.07,390,191,-5.784668020840193,43353,112.7,0.09340305626392365,16672
0.07,400,202,-5.764567710908242,45399,114.38,0.057259686349425465,17696
0.07,410,213,-6.083125099868891,47461,122.66,0.051321427221409976,18728
0.07,420,224,-6.082592612721222,49477,124.53,0.049147602228913456,19736
0.07,430,233,-6.363587128175934,51078,131.27,0.0584223025070969,20536
0.07,440,242,-6.731720017009352,52781,138.89,0.058141294051893055,21384
0.07,450,248,-6.933886562595493,53904,144.27,0.04070664837490767,21944
0.07,460,257,-7.308947847063098,55595,154.11,0.06704885643557645,22792
0.07,470,262,-7.427331756137249,56525,156.61,0.04850150836864486,23256
0.07,480,269,-7.665503024710916,57836,162.38,0.07647864398313686,23912
0.07,490,278,-7.440801260533439,59556,161.03,0.06802823327598162,24776
0.07,500,285,-6.974750504809323,60866,153.67,0.07815983291948214,25432
0.07,510,293,-6.622505299911802,62320,147.59,0.12389351613819599,26152
0.07,520,298,-6.098099967295719,63321,137.44,0.04896630652365275,26656
0.07,530,305,-5.966203967708846,64640,134.62,0.09492928814142942,27312
0.07,540,310,-5.482796766512048,65391,125.1,0.06778218489489518,27688
0.07,550,315,-5.468680049144615,66417,124.13,0.05941411879030056,28208
0.07,560,324,-5.512179653520029,68023,123.28,0.05981615532073192,29008
0.07,570,336,-6.153793629437103,70264,136.39,0.050680586326052435,30128
0.07,580,343,-6.234357198653548,71606,136.7,0.03938734417897649,30800
0.07,590,350,-6.089204465332994,72879,132.23,0.06899427706957795,31432
0.07,600,357,-6.08439409891251,74103,131.37,0.10879081403254531,32048
0.07,610,365,-6.139401096359873,75703,132.83,0.031743326646392234,32848
0.07,620,373,-6.265842579217917,77161,137.4,0.012386688875267282,33576
0.07,630,378,-6.012200738739037,78122,133.82,0.10022388162906282,34056
0.07,640,384,-6.151109444062554,79311,138.2,0.090133149351459,34648
0.07,650,390,-6.111725339172965,80414,138.97,0.05167890721349977,35200
0.07,660,396,-5.694148458110723,81404,132.81,0.09040944511070848,35696
0.07,670,400,-4.971018924591573,82193,118.29,0.09866955196775962,36096
0.07,680,404,-4.675519638136746,83007,113.01,0.032519262604182586,36496
0.07,690,410,-4.578510692766992,84113,111.34,0.0911127726722043,37056
0.07,700,414,-4.346255762693404,84824,106.21,0.05266053997911513,37408
0.07,710,418,-3.9358551956253343,85464,96.61,0.07074132534035016,37728
0.07,720,420,-3.5746314262721786,85904,86.43,0.10984995341277681,37944
0.07,730,425,-3.6179571975023266,86758,85.36,0.062308438908075914,38376
0.07,740,431,-3.678921741726192,87899,84.88,0.0610033666016534,38944
0.07,750,440,-4.0348437580620615,89583,90.69,0.1306874550646171,39784
0.07,760,446,-4.266473851126148,90812,93.08,0.11044287007825915,40400
0.07,770,452,-4.354719412000511,91754,94.61,0.1187671629304532,40872
0.07,780,457,-4.415715371999884,92717,96.1,0.11094117432367057,41352
0.07,790,464,-4.50295733902507,94028,98.15,0.10139988252194598,42008
0.07,800,468,-4.530563931687067,94823,98.99,0.08985002661938779,42408
0.07,810,477,-4.951457997737081,96430,108.66,0.13422437943518162,43208
0.07,820,486,-5.486744617844142,98067,120.63,0.0533511548419483,44032
0.07,830,494,-5.747931543595283,99565,127.07,0.0629862550413236,44776
0.07,840,500,-5.768962800992658,100741,127.42,0.10404564943746664,45368
0.07,850,509,-5.714886398406764,102343,126.6,0.0740024232363794,46168
0.07,860,520,-6.1262848985399545,104383,134.71,0.0750960338045843,47184
0.07,870,530,-6.598483959769109,106208,143.54,0.10387956045451574,48096
0.07,880,539,-6.923864739293311,107866,150.49,0.07215993196587078,48928
0.07,890,550,-7.303277549399054,109951,158.23,0.05524504877394065,49968
0.07,900,559,-7.684536659250923,111533,166.1,0.09503288200357929,50760
0.07,910,569,-7.870320765178776,113477,169.47,0.10282564201042987,51736
0.07,920,577,-7.766628154919615,114886,167.19,0.06431846402119845,52440
0.07,930,587,-7.968457803518958,116844,171.79,0.08593359583755955,53416
0.07,940,592,-7.822010078693007,117784,169.43,0.0934672623698134,53888
0.07,950,601,-7.867295338429874,119482,170.39,0.06283264944795519,54736
