rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.2675320000000002,31504,300,175,106.92,-4.931915100837899,10744,0.06123161630239338
0.25372149999999993,32098,310,180,97.85,-4.473560172670832,11048,0.0795616990653798
0.22140399999999993,33488,320,191,102.51,-4.668154173439925,11736,0.10645392804872245
0.2005952499999999,34383,330,198,97.41,-4.452787074739108,12184,0.09748561808373779
0.1781822500000002,35347,340,206,99.01,-4.527602588803995,12672,0.08045823476277292
0.15993099999999993,36132,350,212,94.45,-4.253484090746118,13064,0.12528827553614974
0.13974999999999982,37000,360,219,93.9,-4.1932914202801825,13496,0.09854211565107107
0.12194049999999979,37766,370,225,86.68,-3.7947370679854697,13880,0.027322905662003905
0.10299175000000016,38581,380,232,86.63,-3.7727646513726283,14288,0.0694645083276555
0.07392925000000017,39831,390,242,90.41,-3.93440253901186,14912,0.09435993805527687
0.07,41076,400,252,94.72,-4.1490439812476305,15536,0.12030667799990624
0.07,42081,410,260,98.83,-4.343384541503233,16040,0.10778114339336753
0.07,43889,420,274,103.01,-4.668794514949159,16944,0.052554340683855116
0.07,45654,430,287,111.71,-5.039663146534199,17824,0.07931188127258793
0.07,47618,440,302,121.71,-5.494409973535268,18808,0.0356109564891085
0.07,48988,450,313,127.56,-5.804203250013206,19488,0.1041716025210917
0.07,51113,460,330,140.13,-6.333234874903183,20552,0.101948551251553
0.07,53069,470,345,152.03,-6.804822593415917,21528,0.09211147506721318
0.07,54538,480,357,158.57,-7.074990082244523,22264,0.06735529738944024
0.07,55655,490,366,157.24,-6.971463323395143,22824,0.06789350206963718
0.07,56558,500,372,153.82,-6.811532968034929,23272,0.05262062209658325
0.07,57815,510,382,156.34,-6.87483370298892,23904,0.09055112453643233
0.07,58854,520,390,148.65,-6.440738458631269,24424,0.04282622830942273
0.07,59942,530,398,141.88,-6.15896481638806,24968,0.08008564525516704
0.07,61239,540,409,135.21,-5.7957918574083305,25616,0.06844429456396028
0.07,62484,550,418,133.96,-5.668415578442724,26240,0.0490780922700651
0.07,63808,560,428,125.95,-5.277972741017135,26896,0.060268054134212434
0.07,65426,570,441,122.57,-5.088962281201891,27712,0.10316403105389327
